表二 2023年8月份全国出口商品贸易同比指数（SITC2分类）,表二 2023年8月份全国出口商品贸易同比指数（SITC2分类）,表二 2023年8月份全国出口商品贸易同比指数（SITC2分类）,表二 2023年8月份全国出口商品贸易同比指数（SITC2分类）,表二 2023年8月份全国出口商品贸易同比指数（SITC2分类）
"Table 2 Index Number of Exports by SITC2,Aug. 2023","Table 2 Index Number of Exports by SITC2,Aug. 2023","Table 2 Index Number of Exports by SITC2,Aug. 2023","Table 2 Index Number of Exports by SITC2,Aug. 2023","Table 2 Index Number of Exports by SITC2,Aug. 2023"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
SITC编码 code,商品名称 Description,价格指数 Unit value,数量指数 Quantum,价值指数 Value
0-4,初级产品,87.6,108.6,95.1
0,食品及活动物,101.0,104.5,105.5
00,活动物（03章动物除外）,93.7,100.5,94.2
01,肉及肉制品,100.1,93.3,93.4
02,乳品及蛋品,104.4,110.9,115.8
03,鱼（海生哺乳动物除外）、甲壳动物、软体动物、水生无脊椎动物及其制品,99.6,92.8,92.4
04,谷物及谷物制品,111.6,99.1,110.6
05,蔬菜及水果,101.4,106.5,108.0
06,糖、糖制品及蜂蜜,98.8,116.1,114.7
07,咖啡、茶、马黛茶、调味香料及其制品,89.6,124.1,111.2
08,动物饲料（不包括未碾磨谷物）,89.7,111.2,99.8
09,杂项食品,114.4,115.0,131.5
1,饮料及烟类,111.8,121.9,136.3
11,饮料,106.5,143.8,153.1
12,烟草及烟草制品,126.9,76.8,97.4
2,非食用原料（燃料除外）,91.0,95.0,86.4
21,生皮及生毛皮,97.8,29.9,29.3
22,含油子仁及果实,123.2,51.4,63.3
23,生橡胶（包括合成橡胶及再生橡胶）,79.3,114.9,91.2
24,软木及木材,87.2,73.2,63.9
25,纸浆及废纸,86.2,59.4,51.2
26,纺织纤维（不包括羊毛条及其他精梳羊毛）及其废料,92.4,99.5,91.9
27,天然肥料（不包括第56章的货品）及矿物（煤、石油及宝石除外）,84.6,90.4,76.5
28,金属矿砂及金属废料,89.4,121.6,108.7
29,其他动、植物原料,95.9,88.7,85.1
3,矿物燃料、润滑油及有关原料,75.1,115.3,86.6
32,煤、焦炭及煤砖,61.5,92.6,56.9
33,石油、石油产品及有关原料,75.0,117.9,88.5
34,天然气及人造气,85.4,95.2,81.3
35,电力,112.0,154.5,173.1
4,动、植物油、脂及蜡,70.8,141.3,100.1
41,动物油、脂,69.4,240.4,166.9
42,初榨、精制或分离的固定植物油、脂,84.9,146.6,124.5
43,已加工的动、植物油、脂;动植物蜡;动植物油、脂制成的未列名非食用混合物或制品,69.3,129.6,89.8
5-9,工业制品,91.6,105.8,96.8
5,化学品及有关产品,82.9,100.8,83.6
51,有机化学品,83.5,87.8,73.3
52,无机化学品,84.7,92.3,78.1
53,染料、鞣料及着色料,81.0,123.0,99.6
54,医药品,91.4,88.4,80.8
55,精油、香膏及芳香料;盥洗及光洁制品,94.0,115.2,108.2
56,肥料（272组货品除外）,62.3,104.4,65.1
57,初级形状的塑料,80.4,117.2,94.2
58,非初级形状的塑料,88.1,114.5,100.9
59,未列名化学原料及产品,76.6,113.9,87.3
6,按原料分类的制成品,89.5,105.5,94.4
61,皮革、皮革制品及已鞣毛皮,97.4,81.0,78.9
62,橡胶制品,97.9,115.7,113.3
63,软木及木制品（家俱除外）,90.1,112.7,101.5
64,纸、纸板及纸浆、纸或纸板制品,86.3,109.4,94.4
65,纺织纱线、织物未列名制品及有关产品,93.8,106.7,100.1
66,未列名非金属矿物制品,88.7,105.0,93.1
67,钢铁,76.1,101.2,77.0
68,有色金属,94.3,96.6,91.1
69,未列名金属制品,90.5,109.7,99.3
7,机械及运输设备,94.9,104.4,99.1
71,动力机械及设备,102.0,95.9,97.9
72,特种工业专用机械,92.4,107.5,99.3
73,金工机械,103.9,102.9,106.9
74,通用工业机械设备及零件,95.0,108.0,102.6
75,办公室用机械及自动数据处理设备,90.1,95.1,85.6
76,电信及声音的录制或重放装置及设备,91.0,101.0,92.0
77,未列名电力机械、装置、器具及其电气零件（包括相应家用电器的非电器零件,95.8,104.8,100.5
78,陆路车辆（包括气垫式）,98.0,116.7,114.4
79,其他运输设备,131.0,103.5,135.5
8,杂项制品,90.0,107.4,96.7
81,活动房屋;卫生、水道、供热及照明装置,85.9,115.3,99.0
82,家俱及其零件;寝俱、褥垫、弹簧床垫、软座垫及类似的填充制品,89.8,114.7,103.0
83,旅行用品、手提包及类似容器,90.7,110.0,99.8
84,服装及衣着附件,90.6,102.9,93.2
85,鞋靴,87.1,96.4,84.0
87,专业、科学及控制用仪器及设备,101.7,96.0,97.6
88,摄影器材及光学物品;钟表,87.8,115.3,101.3
89,未列名杂项制品,89.3,111.1,99.3
9,未分类的商品及交易品,82.8,159.2,131.8
96,硬币（金币除外），没有法定货币,149.0,23.1,34.4
97,金，非货币（不包括黄金矿砂及精矿）,115.1,156.7,180.3
98,其他,80.7,159.6,128.9
