表十三 2025年2月份全国进口商品贸易同比指数（HS2分类）,表十三 2025年2月份全国进口商品贸易同比指数（HS2分类）,表十三 2025年2月份全国进口商品贸易同比指数（HS2分类）,表十三 2025年2月份全国进口商品贸易同比指数（HS2分类）,表十三 2025年2月份全国进口商品贸易同比指数（HS2分类）
"Table 13 Index Number of Imports by HS2, Feb. 2025","Table 13 Index Number of Imports by HS2, Feb. 2025","Table 13 Index Number of Imports by HS2, Feb. 2025","Table 13 Index Number of Imports by HS2, Feb. 2025","Table 13 Index Number of Imports by HS2, Feb. 2025"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
HS编码 	code,商品名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
总指数,总指数,98.6,103.9,102.5
1类,第一类 活动物；动物产品,104.1,104.5,108.8
02,第2章肉及食用杂碎,108.5,95.7,103.9
03,第3章鱼、甲壳动物、软体动物及其他水生无脊椎动物,95.2,110.2,104.9
04,第4章乳品；蛋品；天然蜂蜜；其他食用动物产品,112.4,127.4,143.1
05,第5章其他动物产品,97.8,111.1,108.6
2类,第二类 植物产品,85.4,89.3,76.2
06,第6章活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,110.3,97.0,107.0
07,第7章食用蔬菜、根及块茎,92.0,120.0,110.4
08,第8章食用水果及坚果；甜瓜或柑橘属水果的果皮,79.9,101.4,81.1
09,第9章咖啡、茶、马黛茶及调味香料,115.5,93.8,108.3
10,第10章谷物,89.9,25.5,22.9
11,第11章制粉工业产品；麦芽；淀粉；菊粉；面筋,73.4,164.2,120.5
12,第12章含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,85.3,116.2,99.1
13,第13章虫胶；树胶、树脂及其他植物液、汁,98.6,128.0,126.2
14,第14章编结用植物材料；其他植物产品,109.8,204.5,224.6
3类,第三类 动、植物油、脂、蜡；精制食用油脂,113.1,120.5,136.3
15,第15章动、植物或微生物油、脂及其分解产品；精制的食用油脂；动、植物蜡,113.1,120.5,136.3
4类,第四类 食品；饮料、酒及醋；烟草及制品,106.2,104.8,111.2
16,第16章肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物、昆虫的制品,103.7,189.9,196.9
17,第17章糖及糖食,98.1,16.3,16.0
18,第18章可可及可可制品,123.4,176.1,217.2
19,第19章谷物、粮食粉、淀粉或乳的制品；糕饼点心,104.1,95.2,99.1
20,第20章蔬菜、水果、坚果或植物其他部分的制品,105.7,93.3,98.6
21,第21章杂项食品,134.9,107.2,144.6
22,第22章饮料、酒及醋,107.1,111.9,119.8
23,第23章食品工业的残渣及废料；配制的动物饲料,82.3,132.4,108.9
24,第24章烟草、烟草及烟草代用品的制品；非经燃烧吸用的产品，不论是否含有尼古丁；其他供人体摄入尼古丁的含尼古丁的产品,123.5,179.8,222.1
5类,第五类 矿产品,94.1,98.9,93.1
25,第25章盐；硫磺；泥土及石料；石膏料、石灰及水泥,107.7,94.1,101.3
26,第26章矿砂、矿渣及矿灰,92.4,103.1,95.3
