表十三 2025年2月份全国进口商品贸易同比指数（HS2分类）,表十三 2025年2月份全国进口商品贸易同比指数（HS2分类）,表十三 2025年2月份全国进口商品贸易同比指数（HS2分类）,表十三 2025年2月份全国进口商品贸易同比指数（HS2分类）,表十三 2025年2月份全国进口商品贸易同比指数（HS2分类）
27,第27章矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,94.9,96.7,91.7
6类,第六类 化学工业及其相关工业的产品,100.9,109.3,110.3
28,第28章无机化学品；贵金属、稀土金属、放射性元素及其同位素的有机及无机化合物,96.5,82.3,79.4
29,第29章有机化学品,95.5,112.2,107.2
30,第30章药品,112.7,103.6,116.8
31,第31章肥料,90.2,125.8,113.5
32,第32章鞣料浸膏及染料浸膏；鞣酸及其衍生物；染料、颜料及其他着色料；油漆及清漆；油灰及其他类似胶粘剂；墨水、油墨,102.1,118.1,120.6
33,第33章精油及香膏；芳香料制品及化妆盥洗品,93.1,137.0,127.6
34,第34章肥皂、有机表面活性剂、洗涤剂、润滑剂、人造蜡、调制蜡、光洁剂、蜡烛及类似品、塑型用膏、“牙科用蜡”及牙科用熟石膏制剂,101.2,114.2,115.5
35,第35章蛋白类物质；改性淀粉；胶；酶,100.9,124.7,125.8
36,第36章炸药；烟火制品；引火合金；易燃材料制品,116.6,114.1,133.1
37,第37章照相及电影用品,107.7,106.7,114.9
38,第38章杂项化学产品,104.2,107.9,112.4
7类,第七类 塑料及其制品；橡胶及其制品,104.5,120.6,126.0
39,第39章塑料及其制品,100.3,115.8,116.1
40,第40章橡胶及其制品,120.0,138.3,166.0
8类,第八类 革、毛皮及制品；箱包；肠线制品,86.1,110.2,94.9
41,第41章生皮（毛皮除外）及皮革,91.8,135.7,124.6
42,第42章皮革制品；鞍具及挽具；旅行用品、手提包及类似容器；动物肠线（蚕胶丝除外）制品,83.6,99.4,83.1
43,第43章毛皮、人造毛皮及其制品,128.5,158.7,203.9
9类,第九类 木及制品；木炭；软木；编结品,99.3,98.4,97.7
44,第44章木及木制品；木炭,99.3,98.3,97.6
45,第45章软木及软木制品,85.6,160.7,137.6
46,第46章稻草、秸秆、针茅或其他编结材料制品；篮筐及柳条编结品,94.8,112.9,107.1
10类,第十类 木浆等；废纸；纸、纸板及其制品,99.0,108.8,107.7
47,第47章木浆及其他纤维状纤维素浆；回收（废碎）纸及纸板,99.0,106.0,104.9
48,第48章纸及纸板；纸浆、纸或纸板制品,97.8,118.6,115.9
49,第49章书籍、报纸、印刷图画及其他印刷品；手稿、打字稿及设计图纸,110.6,110.9,122.6
11类,第十一类 纺织原料及纺织制品,93.5,88.7,82.9
50,第50章蚕丝,102.6,109.8,112.7
51,第51章羊毛、动物细毛或粗毛；马毛纱线及其机织物,100.3,82.4,82.7
52,第52章棉花,92.3,60.1,55.5
53,第53章其他植物纺织纤维；纸纱线及其机织物,113.8,51.6,58.7
54,第54章化学纤维长丝；化学纤维纺织材料制扁条及类似品,104.7,97.2,101.7
55,第55章化学纤维短纤,103.8,126.8,131.7
56,第56章絮胎、毡呢及无纺织物；特种纱线；线、绳、索、缆及其制品,96.8,118.1,114.4
57,第57章地毯及纺织材料的其他铺地制品,88.4,145.9,129.0
58,第58章特种机织物；簇绒织物；花边；装饰毯；装饰带；刺绣品,101.4,127.9,129.7
59,第59章浸渍、涂布、包覆或层压的纺织物；工业用纺织制品,103.4,113.4,117.3
60,第60章针织物及钩编织物,98.9,114.2,112.9
61,第61章针织或钩编的服装及衣着附件,89.0,111.3,99.1
62,第62章非针织或非钩编的服装及衣着附件,86.6,116.3,100.7
63,第63章其他纺织制成品；成套物品；旧衣着及旧纺织品；碎织物,82.3,142.4,117.2
12类,第十二类 鞋帽伞等；羽毛品；人造花；人发品,108.1,88.9,96.1
64,第64章鞋靴、护腿和类似品及其零件,106.3,86.5,92.0
65,第65章帽类及其零件,94.3,94.5,89.1
66,第66章雨伞、阳伞、手杖、鞭子、马鞭及其零件,81.0,179.4,145.3
67,第67章已加工羽毛、羽绒及其制品；人造花；人发制品,116.5,100.3,116.9
13类,第十三类 矿物材料制品；陶瓷品；玻璃及制品,113.2,103.6,117.3
68,第68章石料、石膏、水泥、石棉、云母及类似材料的制品,94.8,133.8,126.9
69,第69章陶瓷产品,99.2,119.1,118.1
70,第70章玻璃及其制品,122.4,93.6,114.6
14类,第十四类 珠宝、贵金属及制品；仿首饰；硬币,137.0,57.4,78.7
71,第71章天然或养殖珍珠、宝石或半宝石、贵金属、包贵金属及其制品；仿首饰；硬币,137.0,57.4,78.7
15类,第十五类 贱金属及其制品,104.3,113.8,118.7
72,第72章钢铁,96.3,103.7,99.9
73,第73章钢铁制品,99.8,105.4,105.2
74,第74章铜及其制品,108.8,114.0,124.0
75,第75章镍及其制品,99.3,200.9,199.6
76,第76章铝及其制品,111.3,104.7,116.5
78,第78章铅及其制品,108.4,329.6,357.3
79,第79章锌及其制品,117.6,136.7,160.7
80,第80章锡及其制品,112.1,179.7,201.5
81,第81章其他贱金属、金属陶瓷及其制品,91.5,102.9,94.2
82,第82章贱金属工具、器具、利口器、餐匙、餐叉及其零件,105.0,107.1,112.4
83,第83章贱金属杂项制品,95.1,115.6,110.0
16类,第十六类 机电、音像设备及其零件、附件,95.9,119.3,114.4
84,第84章核反应堆、锅炉、机器、机械器具及零件,106.7,124.0,132.3
85,第85章电机、电气设备及其零件；录音机及放声机、电视图像、声音的录制和重放设备及其零件、附件,92.6,116.7,108.0
17类,第十七类 车辆、航空器、船舶及运输设备,98.7,101.4,100.2
86,第86章铁道及电车道机车、车辆及其零件；铁道及电车道轨道固定装置及其零件；附件；各种机械（包括电动机械）交通信号设备,94.1,160.8,151.2
87,第87章车辆及其零件、附件，但铁道及电车道车辆除外,93.2,78.9,73.6
88,第88章航空器、航天器及其零件,134.9,165.6,223.4
89,第89章船舶及浮动结构体,62.3,2158.8,1345.3
18类,第十八类 光学、医疗等仪器；钟表；乐器,104.9,109.1,114.4
90,第90章光学、照相、电影、计量、检验、医疗或外科用仪器及设备、精密仪器及设备；上述物品的零件、附件,105.3,110.7,116.6
91,第91章钟表及其零件,99.1,80.2,79.5
92,第92章乐器及其零件、附件,105.4,99.7,105.1
19类,第十九类 武器、弹药及其零件、附件,81.2,87.6,71.1
93,第93章武器、弹药及其零件、附件,81.2,87.6,71.1
20类,第二十类 杂项制品,94.7,137.9,130.6
94,第94章家具；寝具、褥垫、弹簧床垫、软坐垫及类似的填充制品；未列名灯具及照明装置；发光标志、发光铭牌及类似品；活动房屋,101.4,123.0,124.6
95,第95章玩具、游戏品、运动用品及其零件、附件,89.0,158.6,141.1
96,第96章杂项制品,92.5,130.2,120.4
21类,第二十一类 艺术品、收藏品及古物,99.0,221.7,219.4
97,第97章艺术品、收藏品及古物,99.0,221.7,219.4
22类,第二十二类 特殊交易品及未分类商品,90.3,59.4,53.7
98,第98章特殊交易品及未分类商品,90.3,59.4,53.7
