表十三 2024年11月份全国进口商品贸易同比指数（HS2分类）,表十三 2024年11月份全国进口商品贸易同比指数（HS2分类）,表十三 2024年11月份全国进口商品贸易同比指数（HS2分类）,表十三 2024年11月份全国进口商品贸易同比指数（HS2分类）,表十三 2024年11月份全国进口商品贸易同比指数（HS2分类）
"Table 13 Index Number of Imports by HS2,Nov. 2024","Table 13 Index Number of Imports by HS2,Nov. 2024","Table 13 Index Number of Imports by HS2,Nov. 2024","Table 13 Index Number of Imports by HS2,Nov. 2024","Table 13 Index Number of Imports by HS2,Nov. 2024"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
HS编码 	code,商品名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
总指数,总指数,96.3,98.9,95.3
1类,第一类 活动物；动物产品,98.7,107.2,105.8
01,第1章活动物,102.6,38.5,39.5
02,第2章肉及食用杂碎,96.2,106.2,102.2
03,第3章鱼、甲壳动物、软体动物及其他水生无脊椎动物,98.9,110.2,109.0
04,第4章乳品；蛋品；天然蜂蜜；其他食用动物产品,108.2,105.8,114.4
05,第5章其他动物产品,96.6,117.3,113.4
2类,第二类 植物产品,88.0,83.4,73.4
06,第6章活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,110.8,86.7,96.0
07,第7章食用蔬菜、根及块茎,97.6,73.9,72.1
08,第8章食用水果及坚果；甜瓜或柑橘属水果的果皮,100.7,108.2,108.9
09,第9章咖啡、茶、马黛茶及调味香料,113.8,71.7,81.6
10,第10章谷物,85.2,35.4,30.2
11,第11章制粉工业产品；麦芽；淀粉；菊粉；面筋,84.7,80.5,68.2
12,第12章含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,85.1,96.6,82.2
13,第13章虫胶；树胶、树脂及其他植物液、汁,90.3,146.5,132.3
14,第14章编结用植物材料；其他植物产品,108.8,97.2,105.7
3类,第三类 动、植物油、脂、蜡；精制食用油脂,111.3,70.7,78.7
15,第15章动、植物或微生物油、脂及其分解产品；精制的食用油脂；动、植物蜡,111.3,70.7,78.7
4类,第四类 食品；饮料、酒及醋；烟草及制品,97.7,98.9,96.6
16,第16章肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物、昆虫的制品,105.8,119.9,126.8
17,第17章糖及糖食,87.3,125.2,109.3
18,第18章可可及可可制品,122.9,113.4,139.3
19,第19章谷物、粮食粉、淀粉或乳的制品；糕饼点心,99.1,123.9,122.8
20,第20章蔬菜、水果、坚果或植物其他部分的制品,98.4,88.3,86.9
21,第21章杂项食品,122.6,101.0,123.8
22,第22章饮料、酒及醋,95.0,109.8,104.3
23,第23章食品工业的残渣及废料；配制的动物饲料,80.1,58.4,46.8
24,第24章烟草、烟草及烟草代用品的制品；非经燃烧吸用的产品，不论是否含有尼古丁；其他供人体摄入尼古丁的含尼古丁的产品,105.3,59.3,62.4
5类,第五类 矿产品,88.2,105.5,93.0
25,第25章盐；硫磺；泥土及石料；石膏料、石灰及水泥,79.8,92.4,73.8
26,第26章矿砂、矿渣及矿灰,93.4,98.8,92.2
