表一 2023年8月份全国出口商品贸易同比指数（HS2分类）,表一 2023年8月份全国出口商品贸易同比指数（HS2分类）,表一 2023年8月份全国出口商品贸易同比指数（HS2分类）,表一 2023年8月份全国出口商品贸易同比指数（HS2分类）,表一 2023年8月份全国出口商品贸易同比指数（HS2分类）
"Table 1 Index Number of Exports by HS2,Aug. 2023","Table 1 Index Number of Exports by HS2,Aug. 2023","Table 1 Index Number of Exports by HS2,Aug. 2023","Table 1 Index Number of Exports by HS2,Aug. 2023","Table 1 Index Number of Exports by HS2,Aug. 2023"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
HS编码 code,商品名称 Description,价格指数 Unit value,数量指数 Quantum,价值指数 Value
总指数,总指数,91.4,105.9,96.8
1类,第一类 活动物；动物产品,99.3,89.0,88.4
01,第1章活动物,93.7,100.5,94.2
02,第2章肉及食用杂碎,95.5,109.3,104.4
03,第3章鱼、甲壳动物、软体动物及其他水生无脊椎动物,99.1,86.9,86.1
04,第4章乳品；蛋品；天然蜂蜜；其他食用动物产品,100.4,102.8,103.2
05,第5章其他动物产品,104.3,83.2,86.8
2类,第二类 植物产品,99.7,109.0,108.6
06,第6章活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,92.6,97.0,89.9
07,第7章食用蔬菜、根及块茎,108.6,115.1,125.0
08,第8章食用水果及坚果；甜瓜或柑橘属水果的果皮,89.8,119.9,107.7
09,第9章咖啡、茶、马黛茶及调味香料,87.4,130.5,114.1
10,第10章谷物,126.2,82.8,104.5
11,第11章制粉工业产品；麦芽；淀粉；菊粉；面筋,99.5,82.8,82.3
12,第12章含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,114.4,81.6,93.4
13,第13章虫胶；树胶、树脂及其他植物液、汁,87.0,85.3,74.2
14,第14章编结用植物材料；其他植物产品,85.1,104.3,88.8
3类,第三类 动、植物油、脂、蜡；精制食用油脂,71.0,141.2,100.2
15,第15章动、植物或微生物油、脂及其分解产品；精制的食用油脂；动、植物蜡,71.0,141.2,100.2
4类,第四类 食品；饮料、酒及醋；烟草及制品,98.3,110.1,108.2
16,第16章肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物、昆虫的制品,100.6,97.6,98.1
17,第17章糖及糖食,98.5,121.6,119.8
18,第18章可可及可可制品,94.3,105.5,99.5
19,第19章谷物、粮食粉、淀粉或乳的制品；糕饼点心,104.0,110.0,114.3
20,第20章蔬菜、水果、坚果或植物其他部分的制品,100.8,88.1,88.8
21,第21章杂项食品,116.2,115.1,133.8
22,第22章饮料、酒及醋,106.3,143.1,152.1
23,第23章食品工业的残渣及废料；配制的动物饲料,89.7,111.3,99.8
24,第24章烟草、烟草及烟草代用品的制品；非经燃烧吸用的产品，不论是否含有尼古丁；其他供人体摄入尼古丁的含尼古丁的产品,81.4,137.2,111.7
5类,第五类 矿产品,76.0,114.1,86.7
25,第25章盐；硫磺；泥土及石料；石膏料、石灰及水泥,82.7,94.0,77.7
26,第26章矿砂、矿渣及矿灰,90.0,113.6,102.2
27,第27章矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,75.1,115.3,86.6
6类,第六类 化学工业及其相关工业的产品,82.9,95.9,79.5
28,第28章无机化学品；贵金属、稀土金属、放射性元素及其同位素的有机及无机化合物,84.7,92.9,78.7
29,第29章有机化学品,84.4,89.9,75.8
30,第30章药品,91.9,91.7,84.3
31,第31章肥料,62.3,104.5,65.1
