表一 2023年8月份全国出口商品贸易同比指数（HS2分类）,表一 2023年8月份全国出口商品贸易同比指数（HS2分类）,表一 2023年8月份全国出口商品贸易同比指数（HS2分类）,表一 2023年8月份全国出口商品贸易同比指数（HS2分类）,表一 2023年8月份全国出口商品贸易同比指数（HS2分类）
32,第32章鞣料浸膏及染料浸膏；鞣酸及其衍生物；染料、颜料及其他着色料；油漆及清漆；油灰及其他类似胶粘剂；墨水、油墨,81.1,123.6,100.2
33,第33章精油及香膏；芳香料制品及化妆盥洗品,100.0,103.2,103.2
34,第34章肥皂、有机表面活性剂、洗涤剂、润滑剂、人造蜡、调制蜡、光洁剂、蜡烛及类似品、塑型用膏、“牙科用蜡”及牙科用熟石膏制剂,83.6,124.8,104.4
35,第35章蛋白类物质；改性淀粉；胶；酶,89.8,112.2,100.7
36,第36章炸药；烟火制品；引火合金；易燃材料制品,105.9,100.6,106.5
37,第37章照相及电影用品,98.2,93.7,92.0
38,第38章杂项化学产品,74.4,100.9,75.0
7类,第七类 塑料及其制品；橡胶及其制品,87.1,116.0,101.0
39,第39章塑料及其制品,85.1,116.0,98.7
40,第40章橡胶及其制品,95.4,115.9,110.5
8类,第八类 革、毛皮及制品；箱包；肠线制品,91.6,104.5,95.7
41,第41章生皮（毛皮除外）及皮革,94.9,107.8,102.4
42,第42章皮革制品；鞍具及挽具；旅行用品、手提包及类似容器；动物肠线（蚕胶丝除外）制品,91.3,106.4,97.1
43,第43章毛皮、人造毛皮及其制品,96.6,74.2,71.6
9类,第九类 木及制品；木炭；软木；编结品,91.8,109.7,100.7
44,第44章木及木制品；木炭,90.1,111.1,100.1
45,第45章软木及软木制品,73.9,207.8,153.7
46,第46章稻草、秸秆、针茅或其他编结材料制品；篮筐及柳条编结品,112.4,95.3,107.1
10类,第十类 木浆等；废纸；纸、纸板及其制品,86.8,107.5,93.3
47,第47章木浆及其他纤维状纤维素浆；回收（废碎）纸及纸板,86.2,59.4,51.2
48,第48章纸及纸板；纸浆、纸或纸板制品,85.7,108.5,93.1
49,第49章书籍、报纸、印刷图画及其他印刷品；手稿、打字稿及设计图纸,93.8,107.3,100.6
11类,第十一类 纺织原料及纺织制品,92.4,104.4,96.4
50,第50章蚕丝,99.9,87.3,87.3
51,第51章羊毛、动物细毛或粗毛；马毛纱线及其机织物,97.8,92.8,90.8
52,第52章棉花,91.9,95.7,87.9
53,第53章其他植物纺织纤维；纸纱线及其机织物,105.4,89.3,94.1
54,第54章化学纤维长丝；化学纤维纺织材料制扁条及类似品,94.2,116.1,109.3
55,第55章化学纤维短纤,92.9,108.3,100.6
56,第56章絮胎、毡呢及无纺织物；特种纱线；线、绳、索、缆及其制品,92.4,111.2,102.7
57,第57章地毯及纺织材料的其他铺地制品,92.1,126.4,116.4
58,第58章特种机织物；簇绒织物；花边；装饰毯；装饰带；刺绣品,94.3,107.1,101.0
59,第59章浸渍、涂布、包覆或层压的纺织物；工业用纺织制品,93.7,101.6,95.2
60,第60章针织物及钩编织物,91.2,110.5,100.8
61,第61章针织或钩编的服装及衣着附件,91.7,105.8,97.0
62,第62章非针织或非钩编的服装及衣着附件,90.5,99.5,90.1
63,第63章其他纺织制成品；成套物品；旧衣着及旧纺织品；碎织物,96.9,99.7,96.5
12类,第十二类 鞋帽伞等；羽毛品；人造花；人发品,85.0,100.2,85.2
64,第64章鞋靴、护腿和类似品及其零件,87.1,96.4,84.0
65,第65章帽类及其零件,76.8,112.4,86.3
66,第66章雨伞、阳伞、手杖、鞭子、马鞭及其零件,86.5,120.1,104.0
67,第67章已加工羽毛、羽绒及其制品；人造花；人发制品,79.3,109.5,86.8
13类,第十三类 矿物材料制品；陶瓷品；玻璃及制品,84.7,109.3,92.6
68,第68章石料、石膏、水泥、石棉、云母及类似材料的制品,82.6,104.8,86.6
69,第69章陶瓷产品,80.9,105.1,85.0
70,第70章玻璃及其制品,90.7,116.2,105.4
14类,第十四类 珠宝、贵金属及制品；仿首饰；硬币,104.3,121.0,126.2
71,第71章天然或养殖珍珠、宝石或半宝石、贵金属、包贵金属及其制品；仿首饰；硬币,104.3,121.0,126.2
15类,第十五类 贱金属及其制品,86.4,103.6,89.5
72,第72章钢铁,74.1,112.0,83.1
73,第73章钢铁制品,86.8,100.0,86.8
74,第74章铜及其制品,100.7,112.2,112.9
75,第75章镍及其制品,96.9,85.5,82.8
76,第76章铝及其制品,91.9,96.7,88.8
78,第78章铅及其制品,72.7,406.7,295.6
79,第79章锌及其制品,85.9,86.8,74.6
80,第80章锡及其制品,109.5,77.2,84.6
81,第81章其他贱金属、金属陶瓷及其制品,91.4,93.4,85.4
82,第82章贱金属工具、器具、利口器、餐匙、餐叉及其零件,96.9,108.5,105.1
83,第83章贱金属杂项制品,89.6,112.8,101.0
16类,第十六类 机电、音像设备及其零件、附件,93.9,102.8,96.6
84,第84章核反应堆、锅炉、机器、机械器具及零件,92.8,102.5,95.1
85,第85章电机、电气设备及其零件；录音机及放声机、电视图像、声音的录制和重放设备及其零件、附件,94.6,103.0,97.5
17类,第十七类 车辆、航空器、船舶及运输设备,101.6,115.3,117.2
86,第86章铁道及电车道机车、车辆及其零件；铁道及电车道轨道固定装置及其零件；附件；各种机械（包括电动机械）交通信号设备,89.8,62.3,56.0
87,第87章车辆及其零件、附件，但铁道及电车道车辆除外,98.8,121.3,119.8
88,第88章航空器、航天器及其零件,117.8,138.5,163.2
89,第89章船舶及浮动结构体,137.6,104.6,143.9
18类,第十八类 光学、医疗等仪器；钟表；乐器,97.1,102.0,99.0
90,第90章光学、照相、电影、计量、检验、医疗或外科用仪器及设备、精密仪器及设备；上述物品的零件、附件,97.1,101.2,98.3
91,第91章钟表及其零件,97.5,112.2,109.4
92,第92章乐器及其零件、附件,95.2,107.1,101.9
19类,第十九类 武器、弹药及其零件、附件,108.3,70.9,76.8
93,第93章武器、弹药及其零件、附件,108.3,70.9,76.8
20类,第二十类 杂项制品,89.6,110.4,98.9
94,第94章家具；寝具、褥垫、弹簧床垫、软坐垫及类似的填充制品；未列名灯具及照明装置；发光标志、发光铭牌及类似品；活动房屋,89.4,114.3,102.2
95,第95章玩具、游戏品、运动用品及其零件、附件,89.1,105.3,93.8
96,第96章杂项制品,92.7,118.2,109.5
21类,第二十一类 艺术品、收藏品及古物,103.2,190.9,197.0
97,第97章艺术品、收藏品及古物,103.2,190.9,197.0
98,第98章特殊交易品及未分类商品,80.8,171.7,138.8
