表一 2024年12月份全国出口商品贸易同比指数（HS2分类）,表一 2024年12月份全国出口商品贸易同比指数（HS2分类）,表一 2024年12月份全国出口商品贸易同比指数（HS2分类）,表一 2024年12月份全国出口商品贸易同比指数（HS2分类）,表一 2024年12月份全国出口商品贸易同比指数（HS2分类）
"Table 1 Index Number of Exports by HS2,Dec. 2024","Table 1 Index Number of Exports by HS2,Dec. 2024","Table 1 Index Number of Exports by HS2,Dec. 2024","Table 1 Index Number of Exports by HS2,Dec. 2024","Table 1 Index Number of Exports by HS2,Dec. 2024"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
HS编码 	code,商品名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
总指数,总指数,94.6,117.3,110.9
1类,第一类 活动物；动物产品,97.8,118.8,116.2
01,第1章活动物,104.1,98.4,102.4
02,第2章肉及食用杂碎,94.9,132.2,125.5
03,第3章鱼、甲壳动物、软体动物及其他水生无脊椎动物,96.7,115.6,111.8
04,第4章乳品；蛋品；天然蜂蜜；其他食用动物产品,90.6,144.2,130.7
05,第5章其他动物产品,107.7,131.2,141.4
2类,第二类 植物产品,94.4,121.6,114.9
06,第6章活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,106.9,110.8,118.4
07,第7章食用蔬菜、根及块茎,97.0,119.4,115.8
08,第8章食用水果及坚果；甜瓜或柑橘属水果的果皮,93.9,131.6,123.6
09,第9章咖啡、茶、马黛茶及调味香料,94.3,110.1,103.8
10,第10章谷物,100.1,39.2,39.2
11,第11章制粉工业产品；麦芽；淀粉；菊粉；面筋,79.7,190.5,151.8
12,第12章含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,95.4,117.6,112.2
13,第13章虫胶；树胶、树脂及其他植物液、汁,85.7,159.9,137.0
14,第14章编结用植物材料；其他植物产品,78.7,144.8,114.0
3类,第三类 动、植物油、脂、蜡；精制食用油脂,107.6,64.1,69.0
15,第15章动、植物或微生物油、脂及其分解产品；精制的食用油脂；动、植物蜡,107.6,64.1,69.0
4类,第四类 食品；饮料、酒及醋；烟草及制品,95.2,119.0,113.3
16,第16章肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物、昆虫的制品,97.2,126.7,123.1
17,第17章糖及糖食,97.0,120.7,117.1
18,第18章可可及可可制品,113.2,138.7,157.0
19,第19章谷物、粮食粉、淀粉或乳的制品；糕饼点心,95.6,117.5,112.3
20,第20章蔬菜、水果、坚果或植物其他部分的制品,89.9,127.5,114.6
21,第21章杂项食品,96.1,123.7,118.9
22,第22章饮料、酒及醋,108.7,108.1,117.5
23,第23章食品工业的残渣及废料；配制的动物饲料,81.6,134.7,110.0
24,第24章烟草、烟草及烟草代用品的制品；非经燃烧吸用的产品，不论是否含有尼古丁；其他供人体摄入尼古丁的含尼古丁的产品,97.1,99.3,96.4
5类,第五类 矿产品,89.9,88.7,79.7
25,第25章盐；硫磺；泥土及石料；石膏料、石灰及水泥,92.8,113.2,105.0
26,第26章矿砂、矿渣及矿灰,84.7,150.5,127.4
27,第27章矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,90.0,83.9,75.6
6类,第六类 化学工业及其相关工业的产品,93.4,118.3,110.5
28,第28章无机化学品；贵金属、稀土金属、放射性元素及其同位素的有机及无机化合物,94.2,101.0,95.1
29,第29章有机化学品,92.4,122.7,113.4
30,第30章药品,90.2,120.1,108.4
31,第31章肥料,95.3,103.7,98.9
32,第32章鞣料浸膏及染料浸膏；鞣酸及其衍生物；染料、颜料及其他着色料；油漆及清漆；油灰及其他类似胶粘剂；墨水、油墨,94.1,118.9,111.9
33,第33章精油及香膏；芳香料制品及化妆盥洗品,93.8,134.4,126.0
34,第34章肥皂、有机表面活性剂、洗涤剂、润滑剂、人造蜡、调制蜡、光洁剂、蜡烛及类似品、塑型用膏、“牙科用蜡”及牙科用熟石膏制剂,99.0,122.0,120.8
35,第35章蛋白类物质；改性淀粉；胶；酶,94.1,137.4,129.2
36,第36章炸药；烟火制品；引火合金；易燃材料制品,99.4,151.8,150.9
37,第37章照相及电影用品,99.0,114.6,113.4
38,第38章杂项化学产品,94.3,117.5,110.9
7类,第七类 塑料及其制品；橡胶及其制品,89.0,124.4,110.8
39,第39章塑料及其制品,86.8,126.6,109.9
40,第40章橡胶及其制品,98.8,115.7,114.4
8类,第八类 革、毛皮及制品；箱包；肠线制品,82.1,112.3,92.2
41,第41章生皮（毛皮除外）及皮革,95.5,120.2,114.8
42,第42章皮革制品；鞍具及挽具；旅行用品、手提包及类似容器；动物肠线（蚕胶丝除外）制品,82.1,113.1,92.8
43,第43章毛皮、人造毛皮及其制品,76.0,81.0,61.6
9类,第九类 木及制品；木炭；软木；编结品,90.1,119.7,107.9
44,第44章木及木制品；木炭,91.1,119.9,109.3
45,第45章软木及软木制品,94.3,112.8,106.4
46,第46章稻草、秸秆、针茅或其他编结材料制品；篮筐及柳条编结品,79.9,117.7,94.1
10类,第十类 木浆等；废纸；纸、纸板及其制品,83.2,119.8,99.7
47,第47章木浆及其他纤维状纤维素浆；回收（废碎）纸及纸板,91.4,172.2,157.4
48,第48章纸及纸板；纸浆、纸或纸板制品,82.3,121.0,99.6
