表十五 2023年12月份全国进口商品贸易同比指数（BEC分类）,表十五 2023年12月份全国进口商品贸易同比指数（BEC分类）,表十五 2023年12月份全国进口商品贸易同比指数（BEC分类）,表十五 2023年12月份全国进口商品贸易同比指数（BEC分类）,表十五 2023年12月份全国进口商品贸易同比指数（BEC分类）
"Table 15 Index Number of Imports by BEC,Dec. 2023","Table 15 Index Number of Imports by BEC,Dec. 2023","Table 15 Index Number of Imports by BEC,Dec. 2023","Table 15 Index Number of Imports by BEC,Dec. 2023","Table 15 Index Number of Imports by BEC,Dec. 2023"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
BEC编码 	code,商品名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
1,食品和饮料,92.7,95.9,88.9
11,初级品,90.5,101.7,92.0
111,主要用于工业,86.9,104.1,90.4
112,主要用于家庭消费,105.6,93.3,98.5
12,加工品,95.4,89.5,85.4
121,主要用于工业,89.5,101.2,90.6
122,主要用于家庭消费,97.1,86.5,84.1
2,未列名的工业供应品,101.0,101.4,102.4
21,初级品,108.0,117.1,126.5
22,加工品,99.0,97.1,96.1
3,燃料和润滑油,90.5,112.2,101.6
31,初级品,92.6,107.9,99.9
32,加工品,83.7,129.0,108.0
321,车用,89.2,157.7,140.6
322,其他,82.4,121.4,100.0
4,资本货品(运输设备除外)及其零件和附件,101.1,108.5,109.7
41,资本货品(运输设备除外),107.7,112.2,120.8
42,零件和附件,93.4,101.6,94.9
5,运输设备及其零件和附件,97.5,103.7,101.2
51,机动小客车,96.5,128.8,124.3
52,其他,76.0,48.4,36.8
521,工业用,73.8,46.1,34.1
522,非工业用,109.7,88.4,97.0
53,零件和附件,107.6,110.4,118.7
6,未列名的消费品,105.1,84.5,88.8
61,耐用品,114.0,58.4,66.5
62,半耐用品,113.7,97.7,111.0
63,非耐用品,98.5,87.9,86.6
7,未列名的货品,116.2,88.8,103.2
