表二 2023年10月份全国出口商品贸易同比指数（SITC2分类）,表二 2023年10月份全国出口商品贸易同比指数（SITC2分类）,表二 2023年10月份全国出口商品贸易同比指数（SITC2分类）,表二 2023年10月份全国出口商品贸易同比指数（SITC2分类）,表二 2023年10月份全国出口商品贸易同比指数（SITC2分类）
"Table 2 Index Number of Exports by SITC2,Oct. 2023","Table 2 Index Number of Exports by SITC2,Oct. 2023","Table 2 Index Number of Exports by SITC2,Oct. 2023","Table 2 Index Number of Exports by SITC2,Oct. 2023","Table 2 Index Number of Exports by SITC2,Oct. 2023"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
SITC编码 	code,商品名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
0-4,初级产品,95.0,109.0,103.5
0,食品及活动物,96.5,107.4,103.7
00,活动物（03章动物除外）,73.8,105.7,78.0
01,肉及肉制品,97.8,110.2,107.7
02,乳品及蛋品,95.8,130.2,124.7
03,鱼（海生哺乳动物除外）、甲壳动物、软体动物、水生无脊椎动物及其制品,94.3,98.6,93.0
04,谷物及谷物制品,116.2,84.6,98.3
05,蔬菜及水果,100.4,109.8,110.3
06,糖、糖制品及蜂蜜,101.4,123.7,125.4
07,咖啡、茶、马黛茶、调味香料及其制品,89.1,114.5,102.0
08,动物饲料（不包括未碾磨谷物）,85.9,129.8,111.4
09,杂项食品,90.0,110.8,99.8
1,饮料及烟类,105.0,103.9,109.0
11,饮料,101.9,105.9,107.9
12,烟草及烟草制品,114.5,98.2,112.4
2,非食用原料（燃料除外）,91.0,108.5,98.8
21,生皮及生毛皮,90.3,54.5,49.2
22,含油子仁及果实,105.9,161.4,170.9
23,生橡胶（包括合成橡胶及再生橡胶）,82.5,121.2,100.0
24,软木及木材,90.7,73.2,66.4
25,纸浆及废纸,75.1,102.5,77.0
26,纺织纤维（不包括羊毛条及其他精梳羊毛）及其废料,93.1,116.5,108.5
27,天然肥料（不包括第56章的货品）及矿物（煤、石油及宝石除外）,86.9,102.3,88.9
28,金属矿砂及金属废料,100.5,106.1,106.6
29,其他动、植物原料,87.2,98.3,85.7
3,矿物燃料、润滑油及有关原料,94.4,108.6,102.5
32,煤、焦炭及煤砖,72.6,151.1,109.7
33,石油、石油产品及有关原料,96.0,114.7,110.1
34,天然气及人造气,87.3,51.5,44.9
35,电力,102.7,105.6,108.5
4,动、植物油、脂及蜡,86.3,180.2,155.5
41,动物油、脂,140.8,76.6,107.9
42,初榨、精制或分离的固定植物油、脂,88.6,147.9,131.0
43,已加工的动、植物油、脂;动植物蜡;动植物油、脂制成的未列名非食用混合物或制品,76.7,224.8,172.5
5-9,工业制品,90.0,107.3,96.6
5,化学品及有关产品,82.6,105.3,86.9
51,有机化学品,86.6,93.6,81.0
52,无机化学品,84.1,89.1,74.9
53,染料、鞣料及着色料,88.9,116.6,103.6
54,医药品,86.5,97.0,84.0
55,精油、香膏及芳香料;盥洗及光洁制品,89.8,125.5,112.8
56,肥料（272组货品除外）,67.7,100.8,68.2
57,初级形状的塑料,82.5,123.4,101.9
58,非初级形状的塑料,86.1,114.9,98.9
59,未列名化学原料及产品,74.9,119.4,89.5
6,按原料分类的制成品,86.4,109.9,95.0
61,皮革、皮革制品及已鞣毛皮,92.1,112.2,103.3
62,橡胶制品,96.6,111.6,107.8
63,软木及木制品（家俱除外）,92.7,109.7,101.7
64,纸、纸板及纸浆、纸或纸板制品,79.0,113.5,89.6
65,纺织纱线、织物未列名制品及有关产品,92.6,105.9,98.1
66,未列名非金属矿物制品,80.9,106.8,86.4
67,钢铁,81.4,127.3,103.6
68,有色金属,97.3,101.5,98.8
69,未列名金属制品,82.2,108.4,89.0
7,机械及运输设备,94.0,106.0,99.6
71,动力机械及设备,98.2,101.4,99.6
72,特种工业专用机械,89.8,107.0,96.1
73,金工机械,92.8,124.3,115.4
74,通用工业机械设备及零件,90.4,113.7,102.8
75,办公室用机械及自动数据处理设备,90.6,89.5,81.1
76,电信及声音的录制或重放装置及设备,97.8,107.7,105.4
77,未列名电力机械、装置、器具及其电气零件（包括相应家用电器的非电器零件,91.8,102.0,93.7
78,陆路车辆（包括气垫式）,96.9,128.2,124.2
79,其他运输设备,113.0,118.1,133.4
8,杂项制品,85.4,107.2,91.5
81,活动房屋;卫生、水道、供热及照明装置,75.4,113.7,85.8
82,家俱及其零件;寝俱、褥垫、弹簧床垫、软座垫及类似的填充制品,79.7,122.8,97.9
83,旅行用品、手提包及类似容器,83.3,110.2,91.9
84,服装及衣着附件,92.5,101.7,94.1
85,鞋靴,84.4,98.1,82.8
87,专业、科学及控制用仪器及设备,98.6,99.5,98.1
88,摄影器材及光学物品;钟表,93.2,102.6,95.6
89,未列名杂项制品,83.0,107.9,89.6
9,未分类的商品及交易品,100.0,132.0,132.1
97,金，非货币（不包括黄金矿砂及精矿）,113.6,175.2,199.1
98,其他,99.3,130.3,129.4
