表十四 2024年9月份全国进口商品贸易同比指数（SITC2分类）,表十四 2024年9月份全国进口商品贸易同比指数（SITC2分类）,表十四 2024年9月份全国进口商品贸易同比指数（SITC2分类）,表十四 2024年9月份全国进口商品贸易同比指数（SITC2分类）,表十四 2024年9月份全国进口商品贸易同比指数（SITC2分类）
"Table 14 Index Number of Imports by SITC2,Sept. 2024","Table 14 Index Number of Imports by SITC2,Sept. 2024","Table 14 Index Number of Imports by SITC2,Sept. 2024","Table 14 Index Number of Imports by SITC2,Sept. 2024","Table 14 Index Number of Imports by SITC2,Sept. 2024"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
SITC编码 code,商品名称 Description,价格指数 Unit value,数量指数 Quantum,价值指数 Value
0-4,初级产品,94.8,102.7,97.3
0,食品及活动物,94.5,98.5,93.1
00,活动物（03章动物除外）,94.0,81.3,76.5
01,肉及肉制品,94.7,91.5,86.6
02,乳品及蛋品,104.6,82.3,86.1
03,鱼（海生哺乳动物除外）、甲壳动物、软体动物、水生无脊椎动物及其制品,97.1,93.6,90.9
04,谷物及谷物制品,82.2,68.7,56.5
05,蔬菜及水果,95.1,112.3,106.8
06,糖、糖制品及蜂蜜,90.3,93.3,84.3
07,咖啡、茶、马黛茶、调味香料及其制品,102.7,112.7,115.7
08,动物饲料（不包括未碾磨谷物）,83.8,146.5,122.8
09,杂项食品,107.1,113.7,121.8
1,饮料及烟类,95.8,82.4,79.0
11,饮料,93.1,99.0,92.2
12,烟草及烟草制品,112.3,31.9,35.9
2,非食用原料（燃料除外）,98.5,105.7,104.0
21,生皮及生毛皮,94.5,96.5,91.3
22,含油子仁及果实,87.2,158.8,138.4
23,生橡胶（包括合成橡胶及再生橡胶）,124.2,98.6,122.4
24,软木及木材,103.0,101.9,104.9
25,纸浆及废纸,121.4,85.2,103.4
26,纺织纤维（不包括羊毛条及其他精梳羊毛）及其废料,100.0,74.6,74.6
27,天然肥料（不包括第56章的货品）及矿物（煤、石油及宝石除外）,95.0,46.3,44.0
28,金属矿砂及金属废料,98.5,104.5,102.9
29,其他动、植物原料,96.5,106.0,102.3
3,矿物燃料、润滑油及有关原料,91.8,102.3,93.8
32,煤、焦炭及煤砖,98.7,108.0,106.6
33,石油、石油产品及有关原料,88.5,98.8,87.4
34,天然气及人造气,102.5,114.5,117.4
35,电力,81.8,72.3,59.1
4,动、植物油、脂及蜡,105.1,76.8,80.6
41,动物油、脂,87.8,193.7,170.0
42,初榨、精制或分离的固定植物油、脂,105.6,69.8,73.6
43,已加工的动、植物油、脂;动植物蜡;动植物油、脂制成的未列名非食用混合物或制品,115.6,99.5,115.1
5-9,工业制品,101.7,99.2,100.9
5,化学品及有关产品,102.8,93.4,96.0
51,有机化学品,103.2,102.4,105.7
52,无机化学品,88.5,85.5,75.7
53,染料、鞣料及着色料,100.5,97.6,98.1
54,医药品,109.8,88.6,97.3
55,精油、香膏及芳香料;盥洗及光洁制品,108.0,87.5,94.5
56,肥料（272组货品除外）,90.1,112.4,101.2
57,初级形状的塑料,102.3,88.8,90.9
58,非初级形状的塑料,98.2,99.4,97.6
59,未列名化学原料及产品,100.6,101.6,102.2
6,按原料分类的制成品,99.5,92.5,92.0
61,皮革、皮革制品及已鞣毛皮,103.5,82.1,85.0
62,橡胶制品,106.9,89.7,95.9
63,软木及木制品（家俱除外）,107.0,87.3,93.4
64,纸、纸板及纸浆、纸或纸板制品,101.7,88.2,89.7
65,纺织纱线、织物未列名制品及有关产品,98.0,77.2,75.7
66,未列名非金属矿物制品,92.9,87.9,81.7
67,钢铁,89.8,90.2,81.0
68,有色金属,104.4,96.7,101.0
69,未列名金属制品,101.1,101.8,103.0
7,机械及运输设备,99.0,106.7,105.6
71,动力机械及设备,108.4,97.6,105.9
72,特种工业专用机械,100.9,85.8,86.6
73,金工机械,102.6,89.7,92.0
74,通用工业机械设备及零件,101.5,87.4,88.7
75,办公室用机械及自动数据处理设备,126.0,133.8,168.6
76,电信及声音的录制或重放装置及设备,95.6,99.9,95.5
77,未列名电力机械、装置、器具及其电气零件（包括相应家用电器的非电器零件,96.8,110.3,106.8
78,陆路车辆（包括气垫式）,100.1,83.6,83.7
79,其他运输设备,82.6,192.2,158.8
8,杂项制品,103.2,88.2,91.0
81,活动房屋;卫生、水道、供热及照明装置,101.9,81.1,82.6
82,家俱及其零件;寝俱、褥垫、弹簧床垫、软座垫及类似的填充制品,95.7,87.6,83.8
83,旅行用品、手提包及类似容器,96.4,83.0,80.0
84,服装及衣着附件,101.7,100.2,101.8
85,鞋靴,98.9,105.3,104.1
87,专业、科学及控制用仪器及设备,105.7,87.4,92.4
88,摄影器材及光学物品;钟表,108.1,88.7,95.9
89,未列名杂项制品,97.9,82.9,81.2
9,未分类的商品及交易品,128.0,77.1,98.7
96,硬币（金币除外），没有法定货币,63.2,244.1,154.3
97,金，非货币（不包括黄金矿砂及精矿）,129.4,78.7,101.8
98,其他,114.0,62.1,70.9
