表十六 2023年8月份全国进口商品贸易同比指数（国民经济行业分类）,表十六 2023年8月份全国进口商品贸易同比指数（国民经济行业分类）,表十六 2023年8月份全国进口商品贸易同比指数（国民经济行业分类）,表十六 2023年8月份全国进口商品贸易同比指数（国民经济行业分类）
"Table 16 Index Number of Imports by Industry,Aug. 2023","Table 16 Index Number of Imports by Industry,Aug. 2023","Table 16 Index Number of Imports by Industry,Aug. 2023","Table 16 Index Number of Imports by Industry,Aug. 2023"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
行业名称 Description,价格指数 Unit value,数量指数 Quantum,价值指数 Value
农、林、牧、渔业,86.7,121.9,105.7
农业,86.3,126.8,109.4
林业,87.1,92.5,80.5
畜牧业,89.3,100.8,90.0
渔业,92.3,117.3,108.3
采矿业,86.6,125.2,108.4
煤炭开采和洗选业,65.8,160.6,105.6
石油和天然气开采业,79.5,130.2,103.5
黑色金属矿采选业,106.2,112.0,119.0
有色金属矿采选业,113.7,117.3,133.4
非金属矿采选业,73.0,94.7,69.2
制造业,97.1,97.0,94.2
消费品制造业,92.5,102.7,95.0
农副食品加工业,88.7,94.8,84.1
食品制造业,110.0,84.6,93.1
酒、饮料和精制茶制造业,112.2,106.9,119.9
烟草制品业,114.4,199.6,228.3
纺织业,104.8,125.3,131.3
纺织服装、服饰业,102.7,97.2,99.8
皮革、毛皮、羽毛及其制品和制鞋业,110.2,96.2,106.0
家具制造业,109.4,83.2,91.1
造纸和纸制品业,74.5,125.8,93.7
印刷和记录媒介复制业,113.3,130.1,147.5
文教、工美、体育和娱乐用品制造业,101.5,100.3,101.7
医药制造业,87.3,109.7,95.7
化学纤维制造业,95.6,113.4,108.4
原材料制造业,94.8,93.8,88.9
石油、煤炭及其他燃料加工业,78.8,146.5,115.4
化学原料和化学制品制造业,87.7,97.4,85.3
非金属矿物制品业,101.0,82.6,83.4
黑色金属冶炼和压延加工业,85.3,103.0,87.8
有色金属冶炼和压延加工业,109.2,80.3,87.6
装备制造业,99.7,97.3,97.0
金属制品业,109.8,91.3,100.2
通用设备制造业,111.5,95.0,106.0
专用设备制造业,109.1,100.6,109.7
汽车制造业,104.0,94.7,98.4
铁路、船舶、航空航天和其他运输设备制造业,96.3,96.0,92.4
电气机械和器材制造业,103.4,84.6,87.4
计算机、通信和其他电子设备制造业,95.5,99.8,95.3
仪器仪表制造业,104.7,89.4,93.6
木材加工和木、竹、藤、棕、草制品业,89.3,88.5,79.0
橡胶和塑料制品业,108.2,88.9,96.2
其他制造业,80.3,101.9,81.7
废弃资源综合利用业,105.2,95.0,100.0
电力、热力、燃气及水生产和供应业,95.8,62.3,59.7
电力、热力生产和供应业,95.8,62.3,59.7
