表一 2025年4月份全国出口商品贸易同比指数（HS2分类）,表一 2025年4月份全国出口商品贸易同比指数（HS2分类）,表一 2025年4月份全国出口商品贸易同比指数（HS2分类）,表一 2025年4月份全国出口商品贸易同比指数（HS2分类）,表一 2025年4月份全国出口商品贸易同比指数（HS2分类）
"Table 1 Index Number of Exports by HS2,Apr. 2025","Table 1 Index Number of Exports by HS2,Apr. 2025","Table 1 Index Number of Exports by HS2,Apr. 2025","Table 1 Index Number of Exports by HS2,Apr. 2025","Table 1 Index Number of Exports by HS2,Apr. 2025"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
HS编码 	code,商品名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
总指数,总指数,96.7,113.0,109.3
1类,第一类 活动物；动物产品,101.9,110.2,112.3
01,第1章活动物,95.7,109.1,104.4
02,第2章肉及食用杂碎,92.7,129.4,119.9
03,第3章鱼、甲壳动物、软体动物及其他水生无脊椎动物,102.1,106.4,108.6
04,第4章乳品；蛋品；天然蜂蜜；其他食用动物产品,93.4,129.0,120.5
05,第5章其他动物产品,112.0,110.6,123.8
2类,第二类 植物产品,94.3,115.3,108.8
06,第6章活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,103.3,106.7,110.1
07,第7章食用蔬菜、根及块茎,90.6,117.3,106.3
08,第8章食用水果及坚果；甜瓜或柑橘属水果的果皮,100.2,131.2,131.5
09,第9章咖啡、茶、马黛茶及调味香料,98.6,98.7,97.3
10,第10章谷物,105.7,107.2,113.3
11,第11章制粉工业产品；麦芽；淀粉；菊粉；面筋,89.8,138.7,124.6
12,第12章含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,88.1,104.9,92.3
13,第13章虫胶；树胶、树脂及其他植物液、汁,96.1,107.2,103.0
14,第14章编结用植物材料；其他植物产品,88.8,135.1,120.0
3类,第三类 动、植物油、脂、蜡；精制食用油脂,113.9,83.7,95.3
15,第15章动、植物或微生物油、脂及其分解产品；精制的食用油脂；动、植物蜡,113.9,83.7,95.3
4类,第四类 食品；饮料、酒及醋；烟草及制品,96.7,103.9,100.5
16,第16章肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物、昆虫的制品,98.7,102.8,101.5
17,第17章糖及糖食,96.5,108.7,104.9
18,第18章可可及可可制品,118.4,121.1,143.4
19,第19章谷物、粮食粉、淀粉或乳的制品；糕饼点心,95.7,112.3,107.4
20,第20章蔬菜、水果、坚果或植物其他部分的制品,91.2,103.3,94.2
21,第21章杂项食品,94.4,119.7,113.0
22,第22章饮料、酒及醋,98.1,111.5,109.4
23,第23章食品工业的残渣及废料；配制的动物饲料,97.1,87.1,84.6
24,第24章烟草、烟草及烟草代用品的制品；非经燃烧吸用的产品，不论是否含有尼古丁；其他供人体摄入尼古丁的含尼古丁的产品,100.5,95.2,95.6
5类,第五类 矿产品,91.3,106.6,97.3
25,第25章盐；硫磺；泥土及石料；石膏料、石灰及水泥,94.3,102.5,96.7
26,第26章矿砂、矿渣及矿灰,83.5,132.7,110.8
