表二 2025年3月份全国出口商品贸易同比指数（SITC2分类）,表二 2025年3月份全国出口商品贸易同比指数（SITC2分类）,表二 2025年3月份全国出口商品贸易同比指数（SITC2分类）,表二 2025年3月份全国出口商品贸易同比指数（SITC2分类）,表二 2025年3月份全国出口商品贸易同比指数（SITC2分类）
"Table 2 Index Number of Exports by SITC2,Mar. 2025","Table 2 Index Number of Exports by SITC2,Mar. 2025","Table 2 Index Number of Exports by SITC2,Mar. 2025","Table 2 Index Number of Exports by SITC2,Mar. 2025","Table 2 Index Number of Exports by SITC2,Mar. 2025"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
SITC编码 	code,商品名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
0-4,初级产品,96.9,106.9,103.6
0,食品及活动物,97.0,115.7,112.2
00,活动物（03章动物除外）,104.8,106.7,111.8
01,肉及肉制品,96.1,121.3,116.6
02,乳品及蛋品,94.6,161.1,152.5
03,鱼（海生哺乳动物除外）、甲壳动物、软体动物、水生无脊椎动物及其制品,99.2,119.7,118.8
04,谷物及谷物制品,91.0,132.3,120.5
05,蔬菜及水果,94.6,115.8,109.5
06,糖、糖制品及蜂蜜,99.0,111.4,110.3
07,咖啡、茶、马黛茶、调味香料及其制品,99.2,115.3,114.4
08,动物饲料（不包括未碾磨谷物）,96.9,89.6,86.8
09,杂项食品,101.3,115.1,116.6
1,饮料及烟类,103.1,112.0,115.4
11,饮料,103.8,107.6,111.7
12,烟草及烟草制品,99.4,137.3,136.5
2,非食用原料（燃料除外）,96.9,109.4,106.0
21,生皮及生毛皮,108.2,145.9,157.9
22,含油子仁及果实,98.4,90.9,89.5
23,生橡胶（包括合成橡胶及再生橡胶）,101.9,120.5,122.7
24,软木及木材,85.3,127.8,109.0
25,纸浆及废纸,100.7,94.1,94.8
26,纺织纤维（不包括羊毛条及其他精梳羊毛）及其废料,94.5,104.8,99.1
27,天然肥料（不包括第56章的货品）及矿物（煤、石油及宝石除外）,96.1,106.0,101.9
28,金属矿砂及金属废料,88.8,121.5,107.9
29,其他动、植物原料,103.6,106.8,110.6
3,矿物燃料、润滑油及有关原料,95.5,94.8,90.5
32,煤、焦炭及煤砖,70.3,95.1,66.9
33,石油、石油产品及有关原料,97.2,90.1,87.6
34,天然气及人造气,101.7,209.8,213.4
35,电力,96.3,88.4,85.1
4,动、植物油、脂及蜡,110.9,128.7,142.8
41,动物油、脂,92.5,93.6,86.5
42,初榨、精制或分离的固定植物油、脂,99.3,166.8,165.6
43,已加工的动、植物油、脂;动植物蜡;动植物油、脂制成的未列名非食用混合物或制品,117.8,132.2,155.8
5-9,工业制品,95.9,118.9,114.0
5,化学品及有关产品,95.1,107.9,102.6
51,有机化学品,97.6,100.9,98.6
52,无机化学品,91.5,92.0,84.1
53,染料、鞣料及着色料,90.9,107.4,97.6
54,医药品,101.4,102.7,104.1
55,精油、香膏及芳香料;盥洗及光洁制品,94.6,130.3,123.2
56,肥料（272组货品除外）,97.3,131.9,128.3
57,初级形状的塑料,95.7,109.3,104.5
58,非初级形状的塑料,88.6,131.0,116.1
59,未列名化学原料及产品,93.7,110.8,103.9
6,按原料分类的制成品,91.8,122.1,112.1
61,皮革、皮革制品及已鞣毛皮,88.3,123.6,109.1
62,橡胶制品,97.2,114.6,111.3
63,软木及木制品（家俱除外）,94.7,124.7,118.2
64,纸、纸板及纸浆、纸或纸板制品,85.8,116.9,100.3
65,纺织纱线、织物未列名制品及有关产品,92.4,127.6,117.9
66,未列名非金属矿物制品,90.2,115.8,104.5
67,钢铁,86.0,113.7,97.8
68,有色金属,109.1,116.7,127.3
69,未列名金属制品,90.9,129.7,117.9
7,机械及运输设备,96.8,118.0,114.2
71,动力机械及设备,98.2,118.8,116.6
72,特种工业专用机械,107.3,121.7,130.6
73,金工机械,88.0,138.0,121.4
74,通用工业机械设备及零件,96.9,129.3,125.3
75,办公室用机械及自动数据处理设备,98.6,102.6,101.2
76,电信及声音的录制或重放装置及设备,99.6,113.6,113.1
77,未列名电力机械、装置、器具及其电气零件（包括相应家用电器的非电器零件,93.9,121.3,113.8
78,陆路车辆（包括气垫式）,94.2,119.6,112.6
79,其他运输设备,107.6,104.8,112.8
8,杂项制品,90.0,123.2,110.9
81,活动房屋;卫生、水道、供热及照明装置,86.9,141.7,123.2
82,家俱及其零件;寝俱、褥垫、弹簧床垫、软座垫及类似的填充制品,95.6,114.5,109.4
83,旅行用品、手提包及类似容器,78.6,126.2,99.2
84,服装及衣着附件,89.5,123.5,110.5
85,鞋靴,92.4,121.7,112.4
87,专业、科学及控制用仪器及设备,96.4,120.8,116.4
88,摄影器材及光学物品;钟表,93.5,113.2,105.8
89,未列名杂项制品,88.8,124.1,110.2
9,未分类的商品及交易品,149.4,121.6,181.6
97,金，非货币（不包括黄金矿砂及精矿）,140.2,266.5,373.5
98,其他,151.0,106.2,160.4
