表十六 2023年9月份全国进口商品贸易同比指数（国民经济行业分类）,表十六 2023年9月份全国进口商品贸易同比指数（国民经济行业分类）,表十六 2023年9月份全国进口商品贸易同比指数（国民经济行业分类）,表十六 2023年9月份全国进口商品贸易同比指数（国民经济行业分类）
"Table 16 Index Number of Imports by Industry,Sept. 2023","Table 16 Index Number of Imports by Industry,Sept. 2023","Table 16 Index Number of Imports by Industry,Sept. 2023","Table 16 Index Number of Imports by Industry,Sept. 2023"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
行业名称 Description,价格指数 Unit value,数量指数 Quantum,价值指数 Value
农、林、牧、渔业,87.6,108.7,95.3
农业,86.8,113.9,98.8
林业,88.7,87.6,77.7
畜牧业,88.5,73.5,65.1
渔业,101.8,90.8,92.4
采矿业,94.4,110.9,104.6
煤炭开采和洗选业,74.7,141.9,105.9
石油和天然气开采业,88.6,111.1,98.4
黑色金属矿采选业,111.3,101.3,112.7
有色金属矿采选业,112.1,104.6,117.2
非金属矿采选业,93.9,133.0,124.9
制造业,98.7,98.8,97.5
消费品制造业,92.0,105.0,96.6
农副食品加工业,90.0,96.2,86.6
食品制造业,108.9,84.5,92.1
酒、饮料和精制茶制造业,106.5,106.3,113.3
烟草制品业,100.1,110.2,110.3
纺织业,104.0,126.2,131.3
纺织服装、服饰业,96.6,93.8,90.6
皮革、毛皮、羽毛及其制品和制鞋业,112.2,96.2,108.0
家具制造业,106.2,89.5,95.1
造纸和纸制品业,72.9,127.2,92.7
印刷和记录媒介复制业,96.1,63.9,61.4
文教、工美、体育和娱乐用品制造业,113.6,85.5,97.1
医药制造业,85.6,127.1,108.8
化学纤维制造业,96.1,116.4,111.8
原材料制造业,96.7,102.4,99.0
石油、煤炭及其他燃料加工业,81.5,157.5,128.5
化学原料和化学制品制造业,89.6,100.5,90.0
非金属矿物制品业,112.2,99.3,111.5
黑色金属冶炼和压延加工业,91.0,101.2,92.1
有色金属冶炼和压延加工业,111.9,90.5,101.3
装备制造业,101.1,95.6,96.7
金属制品业,109.0,91.0,99.2
通用设备制造业,110.6,95.5,105.6
专用设备制造业,111.4,114.5,127.6
汽车制造业,108.0,92.3,99.8
铁路、船舶、航空航天和其他运输设备制造业,119.1,88.0,104.8
电气机械和器材制造业,100.0,89.5,89.5
计算机、通信和其他电子设备制造业,97.7,93.7,91.6
仪器仪表制造业,104.2,92.8,96.6
木材加工和木、竹、藤、棕、草制品业,88.9,97.0,86.2
橡胶和塑料制品业,104.9,95.2,99.8
其他制造业,112.8,117.6,132.7
废弃资源综合利用业,109.6,95.8,105.0
电力、热力、燃气及水生产和供应业,94.7,68.5,64.9
电力、热力生产和供应业,94.7,68.5,64.9
