表四 2024年12月份全国出口商品贸易同比指数（国民经济行业分类）,表四 2024年12月份全国出口商品贸易同比指数（国民经济行业分类）,表四 2024年12月份全国出口商品贸易同比指数（国民经济行业分类）,表四 2024年12月份全国出口商品贸易同比指数（国民经济行业分类）
"Table 4 Index Number of Exports by Industry,Dec. 2024","Table 4 Index Number of Exports by Industry,Dec. 2024","Table 4 Index Number of Exports by Industry,Dec. 2024","Table 4 Index Number of Exports by Industry,Dec. 2024"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
行业名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
农、林、牧、渔业,96.0,117.2,112.6
农业,95.9,119.6,114.8
林业,92.7,130.5,121.0
畜牧业,99.1,104.2,103.3
渔业,94.2,99.7,93.9
采矿业,90.5,119.2,107.8
煤炭开采和洗选业,70.8,147.6,104.5
石油和天然气开采业,99.5,102.0,101.5
黑色金属矿采选业,82.7,157.3,130.2
有色金属矿采选业,99.2,123.5,122.5
非金属矿采选业,87.7,109.5,96.1
制造业,94.6,117.3,110.9
消费品制造业,91.3,116.1,106.0
农副食品加工业,95.5,117.2,112.0
食品制造业,92.9,126.2,117.3
酒、饮料和精制茶制造业,101.8,120.7,122.8
烟草制品业,96.1,97.3,93.5
纺织业,94.0,124.7,117.2
纺织服装、服饰业,91.9,116.5,107.1
皮革、毛皮、羽毛及其制品和制鞋业,88.2,111.2,98.1
家具制造业,88.4,117.4,103.8
造纸和纸制品业,82.8,121.7,100.7
印刷和记录媒介复制业,81.1,111.3,90.2
文教、工美、体育和娱乐用品制造业,90.7,106.1,96.2
医药制造业,91.9,121.6,111.8
化学纤维制造业,96.0,127.7,122.5
原材料制造业,93.2,118.0,110.0
石油、煤炭及其他燃料加工业,90.1,81.7,73.6
化学原料和化学制品制造业,93.9,120.8,113.4
非金属矿物制品业,85.7,113.8,97.6
黑色金属冶炼和压延加工业,88.3,130.7,115.4
有色金属冶炼和压延加工业,112.3,132.9,149.3
装备制造业,96.8,116.4,112.6
金属制品业,91.0,129.8,118.1
通用设备制造业,98.6,125.8,124.0
专用设备制造业,99.1,120.7,119.6
汽车制造业,93.7,124.5,116.7
铁路、船舶、航空航天和其他运输设备制造业,96.5,162.2,156.5
电气机械和器材制造业,94.7,117.9,111.6
计算机、通信和其他电子设备制造业,99.0,103.7,102.6
仪器仪表制造业,98.2,112.0,110.1
木材加工和木、竹、藤、棕、草制品业,90.7,119.7,108.5
橡胶和塑料制品业,88.5,121.8,107.8
其他制造业,88.0,139.3,122.6
废弃资源综合利用业,93.0,73.9,68.7
电力、热力、燃气及水生产和供应业,102.1,126.0,128.7
电力、热力生产和供应业,102.1,126.0,128.7
文化、体育和娱乐业,90.8,122.8,111.5
新闻和出版业,90.8,122.8,111.5
