表十六 2025年3月份全国进口商品贸易同比指数（国民经济行业分类）,表十六 2025年3月份全国进口商品贸易同比指数（国民经济行业分类）,表十六 2025年3月份全国进口商品贸易同比指数（国民经济行业分类）,表十六 2025年3月份全国进口商品贸易同比指数（国民经济行业分类）
"Table 16 Index Number of Imports by Industry,Mar. 2025","Table 16 Index Number of Imports by Industry,Mar. 2025","Table 16 Index Number of Imports by Industry,Mar. 2025","Table 16 Index Number of Imports by Industry,Mar. 2025"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
行业名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
农、林、牧、渔业,93.0,72.0,66.9
农业,91.1,62.6,57.0
林业,109.5,115.7,126.7
畜牧业,93.3,91.0,84.9
渔业,83.7,144.0,120.6
采矿业,92.1,100.2,92.2
煤炭开采和洗选业,76.4,92.5,70.6
石油和天然气开采业,92.4,101.6,94.0
黑色金属矿采选业,84.8,93.2,79.0
有色金属矿采选业,106.8,108.7,116.0
非金属矿采选业,99.9,86.2,86.1
制造业,101.3,98.9,100.2
消费品制造业,103.4,97.1,100.4
农副食品加工业,101.9,100.1,102.0
食品制造业,106.1,117.5,124.6
酒、饮料和精制茶制造业,97.2,102.3,99.5
烟草制品业,114.9,87.9,101.0
纺织业,100.3,77.7,77.9
纺织服装、服饰业,100.9,102.8,103.8
皮革、毛皮、羽毛及其制品和制鞋业,101.1,88.2,89.1
家具制造业,109.0,81.8,89.1
造纸和纸制品业,98.7,99.1,97.8
印刷和记录媒介复制业,96.1,125.8,120.9
文教、工美、体育和娱乐用品制造业,93.4,108.0,100.9
医药制造业,111.8,88.5,99.0
化学纤维制造业,102.9,85.7,88.2
原材料制造业,109.5,77.7,85.1
石油、煤炭及其他燃料加工业,98.2,85.2,83.7
化学原料和化学制品制造业,99.2,101.7,100.9
非金属矿物制品业,103.1,84.6,87.2
黑色金属冶炼和压延加工业,95.9,115.7,111.0
有色金属冶炼和压延加工业,123.9,57.2,70.8
装备制造业,96.3,113.2,109.0
金属制品业,101.3,95.4,96.7
通用设备制造业,102.7,95.6,98.2
专用设备制造业,94.0,95.8,90.1
汽车制造业,96.6,73.1,70.6
铁路、船舶、航空航天和其他运输设备制造业,132.8,150.8,200.3
电气机械和器材制造业,101.5,99.0,100.5
计算机、通信和其他电子设备制造业,93.0,126.4,117.6
仪器仪表制造业,107.1,93.8,100.5
木材加工和木、竹、藤、棕、草制品业,103.0,90.2,92.9
橡胶和塑料制品业,105.0,93.4,98.1
其他制造业,104.6,79.2,82.9
废弃资源综合利用业,108.1,89.4,96.6
电力、热力、燃气及水生产和供应业,94.7,95.0,90.0
电力、热力生产和供应业,94.7,95.0,90.0
文化、体育和娱乐业,112.7,85.7,96.6
新闻和出版业,112.7,85.7,96.6
