表十三 2025年4月份全国进口商品贸易同比指数（HS2分类）,表十三 2025年4月份全国进口商品贸易同比指数（HS2分类）,表十三 2025年4月份全国进口商品贸易同比指数（HS2分类）,表十三 2025年4月份全国进口商品贸易同比指数（HS2分类）,表十三 2025年4月份全国进口商品贸易同比指数（HS2分类）
"Table 13 Index Number of Imports by HS2,Apr. 2025","Table 13 Index Number of Imports by HS2,Apr. 2025","Table 13 Index Number of Imports by HS2,Apr. 2025","Table 13 Index Number of Imports by HS2,Apr. 2025","Table 13 Index Number of Imports by HS2,Apr. 2025"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
HS编码 	code,商品名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
总指数,总指数,100.8,100.0,100.8
1类,第一类 活动物；动物产品,104.8,99.2,104.0
01,第1章活动物,110.7,136.4,151.0
02,第2章肉及食用杂碎,105.2,93.9,98.7
03,第3章鱼、甲壳动物、软体动物及其他水生无脊椎动物,102.5,104.9,107.5
04,第4章乳品；蛋品；天然蜂蜜；其他食用动物产品,110.9,101.9,113.0
05,第5章其他动物产品,95.9,95.5,91.6
2类,第二类 植物产品,92.1,74.6,68.7
06,第6章活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,105.8,115.7,122.3
07,第7章食用蔬菜、根及块茎,92.3,141.3,130.5
08,第8章食用水果及坚果；甜瓜或柑橘属水果的果皮,105.4,70.8,74.6
09,第9章咖啡、茶、马黛茶及调味香料,94.7,140.1,132.6
10,第10章谷物,91.2,52.8,48.1
11,第11章制粉工业产品；麦芽；淀粉；菊粉；面筋,70.9,121.7,86.2
12,第12章含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,89.1,74.4,66.2
13,第13章虫胶；树胶、树脂及其他植物液、汁,106.1,74.3,78.9
14,第14章编结用植物材料；其他植物产品,117.0,110.4,129.1
3类,第三类 动、植物油、脂、蜡；精制食用油脂,117.1,104.2,122.0
15,第15章动、植物或微生物油、脂及其分解产品；精制的食用油脂；动、植物蜡,117.1,104.2,122.0
4类,第四类 食品；饮料、酒及醋；烟草及制品,101.8,106.7,108.5
16,第16章肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物、昆虫的制品,99.7,154.1,153.6
17,第17章糖及糖食,92.5,83.8,77.5
18,第18章可可及可可制品,141.5,108.5,153.5
19,第19章谷物、粮食粉、淀粉或乳的制品；糕饼点心,105.9,114.8,121.7
20,第20章蔬菜、水果、坚果或植物其他部分的制品,102.3,97.7,100.0
21,第21章杂项食品,117.1,110.8,129.7
22,第22章饮料、酒及醋,93.3,85.2,79.5
23,第23章食品工业的残渣及废料；配制的动物饲料,84.4,125.1,105.6
24,第24章烟草、烟草及烟草代用品的制品；非经燃烧吸用的产品，不论是否含有尼古丁；其他供人体摄入尼古丁的含尼古丁的产品,115.8,93.3,108.0
5类,第五类 矿产品,91.4,105.3,96.2
25,第25章盐；硫磺；泥土及石料；石膏料、石灰及水泥,92.8,129.0,119.7
26,第26章矿砂、矿渣及矿灰,101.2,114.1,115.5
27,第27章矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,86.2,100.3,86.5
6类,第六类 化学工业及其相关工业的产品,98.1,98.3,96.5
28,第28章无机化学品；贵金属、稀土金属、放射性元素及其同位素的有机及无机化合物,99.1,85.3,84.6
29,第29章有机化学品,96.1,105.5,101.4
30,第30章药品,94.9,93.2,88.4
31,第31章肥料,99.0,119.4,118.2
32,第32章鞣料浸膏及染料浸膏；鞣酸及其衍生物；染料、颜料及其他着色料；油漆及清漆；油灰及其他类似胶粘剂；墨水、油墨,103.2,96.5,99.6
33,第33章精油及香膏；芳香料制品及化妆盥洗品,93.0,119.1,110.8
34,第34章肥皂、有机表面活性剂、洗涤剂、润滑剂、人造蜡、调制蜡、光洁剂、蜡烛及类似品、塑型用膏、“牙科用蜡”及牙科用熟石膏制剂,101.2,99.6,100.8
35,第35章蛋白类物质；改性淀粉；胶；酶,108.2,88.3,95.5
36,第36章炸药；烟火制品；引火合金；易燃材料制品,135.3,57.3,77.6
37,第37章照相及电影用品,111.9,96.3,107.7
38,第38章杂项化学产品,106.0,89.7,95.1
7类,第七类 塑料及其制品；橡胶及其制品,104.4,100.1,104.4
39,第39章塑料及其制品,100.8,96.0,96.7
40,第40章橡胶及其制品,117.5,115.4,135.6
8类,第八类 革、毛皮及制品；箱包；肠线制品,94.1,91.5,86.1
41,第41章生皮（毛皮除外）及皮革,95.5,84.9,81.1
42,第42章皮革制品；鞍具及挽具；旅行用品、手提包及类似容器；动物肠线（蚕胶丝除外）制品,94.9,98.7,93.7
43,第43章毛皮、人造毛皮及其制品,76.6,65.1,49.9
9类,第九类 木及制品；木炭；软木；编结品,99.2,77.0,76.4
44,第44章木及木制品；木炭,99.3,76.9,76.4
