表二 2025年2月份全国出口商品贸易同比指数（SITC2分类）,表二 2025年2月份全国出口商品贸易同比指数（SITC2分类）,表二 2025年2月份全国出口商品贸易同比指数（SITC2分类）,表二 2025年2月份全国出口商品贸易同比指数（SITC2分类）,表二 2025年2月份全国出口商品贸易同比指数（SITC2分类）
"Table 2 Index Number of Exports by SITC2, Feb. 2025","Table 2 Index Number of Exports by SITC2, Feb. 2025","Table 2 Index Number of Exports by SITC2, Feb. 2025","Table 2 Index Number of Exports by SITC2, Feb. 2025","Table 2 Index Number of Exports by SITC2, Feb. 2025"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
SITC编码 	code,商品名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
0-4,初级产品,96.3,108.0,104.0
0,食品及活动物,95.9,111.0,106.4
00,活动物（03章动物除外）,104.5,104.8,109.5
01,肉及肉制品,97.0,123.0,119.4
02,乳品及蛋品,92.2,143.1,131.9
03,鱼（海生哺乳动物除外）、甲壳动物、软体动物、水生无脊椎动物及其制品,100.0,101.2,101.2
04,谷物及谷物制品,94.2,121.0,113.9
05,蔬菜及水果,94.9,117.0,111.1
06,糖、糖制品及蜂蜜,97.3,97.9,95.3
07,咖啡、茶、马黛茶、调味香料及其制品,101.1,103.9,105.0
08,动物饲料（不包括未碾磨谷物）,86.8,104.6,90.8
09,杂项食品,93.7,114.1,107.0
1,饮料及烟类,107.1,112.9,120.8
11,饮料,103.7,120.3,124.8
12,烟草及烟草制品,120.0,86.3,103.6
2,非食用原料（燃料除外）,98.8,110.9,109.6
21,生皮及生毛皮,107.1,66.4,71.1
22,含油子仁及果实,100.9,111.4,112.4
23,生橡胶（包括合成橡胶及再生橡胶）,106.8,110.3,117.8
24,软木及木材,85.2,91.8,78.2
25,纸浆及废纸,96.2,111.4,107.2
26,纺织纤维（不包括羊毛条及其他精梳羊毛）及其废料,98.6,105.5,104.1
27,天然肥料（不包括第56章的货品）及矿物（煤、石油及宝石除外）,92.9,103.6,96.3
28,金属矿砂及金属废料,92.4,129.0,119.2
29,其他动、植物原料,106.0,103.6,109.8
3,矿物燃料、润滑油及有关原料,93.2,107.3,99.9
32,煤、焦炭及煤砖,81.7,102.3,83.6
33,石油、石油产品及有关原料,94.3,100.7,94.9
34,天然气及人造气,94.4,198.8,187.5
35,电力,93.2,128.5,119.8
4,动、植物油、脂及蜡,116.3,72.9,84.8
41,动物油、脂,120.5,51.6,62.2
42,初榨、精制或分离的固定植物油、脂,97.3,218.8,212.8
43,已加工的动、植物油、脂;动植物蜡;动植物油、脂制成的未列名非食用混合物或制品,118.7,65.5,77.8
5-9,工业制品,98.0,99.8,97.8
5,化学品及有关产品,95.0,111.6,106.1
51,有机化学品,93.0,121.5,113.0
52,无机化学品,91.4,98.0,89.5
53,染料、鞣料及着色料,92.4,117.6,108.6
54,医药品,105.2,98.7,103.8
55,精油、香膏及芳香料;盥洗及光洁制品,102.1,100.2,102.3
56,肥料（272组货品除外）,98.2,211.3,207.5
57,初级形状的塑料,97.1,125.7,122.1
58,非初级形状的塑料,90.3,99.4,89.8
59,未列名化学原料及产品,94.9,99.6,94.5
6,按原料分类的制成品,91.0,96.1,87.4
61,皮革、皮革制品及已鞣毛皮,90.6,102.4,92.8
62,橡胶制品,100.1,100.9,101.0
63,软木及木制品（家俱除外）,87.8,93.5,82.1
64,纸、纸板及纸浆、纸或纸板制品,85.6,106.6,91.2
65,纺织纱线、织物未列名制品及有关产品,95.5,79.7,76.2
66,未列名非金属矿物制品,81.8,87.5,71.6
67,钢铁,88.3,115.7,102.2
68,有色金属,109.6,117.1,128.3
69,未列名金属制品,86.3,92.9,80.2
7,机械及运输设备,100.0,102.7,102.7
71,动力机械及设备,98.7,101.9,100.6
72,特种工业专用机械,99.1,105.3,104.4
73,金工机械,108.0,97.9,105.7
74,通用工业机械设备及零件,97.4,94.8,92.4
75,办公室用机械及自动数据处理设备,103.9,106.0,110.1
76,电信及声音的录制或重放装置及设备,106.0,101.1,107.2
77,未列名电力机械、装置、器具及其电气零件（包括相应家用电器的非电器零件,99.0,107.3,106.3
78,陆路车辆（包括气垫式）,93.1,103.2,96.1
79,其他运输设备,101.1,74.3,75.1
8,杂项制品,91.3,82.5,75.4
81,活动房屋;卫生、水道、供热及照明装置,79.0,80.1,63.2
82,家俱及其零件;寝俱、褥垫、弹簧床垫、软座垫及类似的填充制品,84.3,86.9,73.2
83,旅行用品、手提包及类似容器,79.0,80.1,63.3
84,服装及衣着附件,92.3,78.5,72.4
85,鞋靴,86.9,73.7,64.0
87,专业、科学及控制用仪器及设备,107.9,87.8,94.7
88,摄影器材及光学物品;钟表,115.0,77.5,89.1
89,未列名杂项制品,94.0,86.0,80.9
9,未分类的商品及交易品,139.3,136.5,190.3
96,硬币（金币除外），没有法定货币,84.5,245.5,207.4
97,金，非货币（不包括黄金矿砂及精矿）,144.8,1222.0,1769.5
98,其他,138.0,95.9,132.4
