表十四 2023年10月份全国进口商品贸易同比指数（SITC2分类）,表十四 2023年10月份全国进口商品贸易同比指数（SITC2分类）,表十四 2023年10月份全国进口商品贸易同比指数（SITC2分类）,表十四 2023年10月份全国进口商品贸易同比指数（SITC2分类）,表十四 2023年10月份全国进口商品贸易同比指数（SITC2分类）
"Table 14 Index Number of Imports by SITC2,Oct. 2023","Table 14 Index Number of Imports by SITC2,Oct. 2023","Table 14 Index Number of Imports by SITC2,Oct. 2023","Table 14 Index Number of Imports by SITC2,Oct. 2023","Table 14 Index Number of Imports by SITC2,Oct. 2023"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
SITC编码 	code,商品名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
0-4,初级产品,95.1,116.4,110.7
0,食品及活动物,92.9,108.7,101.0
00,活动物（03章动物除外）,83.5,69.5,58.0
01,肉及肉制品,80.1,88.5,70.9
02,乳品及蛋品,90.5,89.8,81.3
03,鱼（海生哺乳动物除外）、甲壳动物、软体动物、水生无脊椎动物及其制品,91.2,97.1,88.5
04,谷物及谷物制品,86.5,140.6,121.6
05,蔬菜及水果,96.5,151.2,146.0
06,糖、糖制品及蜂蜜,124.2,183.8,228.3
07,咖啡、茶、马黛茶、调味香料及其制品,100.6,98.5,99.1
08,动物饲料（不包括未碾磨谷物）,101.3,93.4,94.7
09,杂项食品,112.6,89.7,100.9
1,饮料及烟类,108.9,90.4,98.4
11,饮料,107.7,101.8,109.6
12,烟草及烟草制品,114.0,59.1,67.4
2,非食用原料（燃料除外）,101.9,119.2,121.4
21,生皮及生毛皮,90.8,117.7,106.9
22,含油子仁及果实,87.1,123.9,107.9
23,生橡胶（包括合成橡胶及再生橡胶）,92.3,100.6,92.8
24,软木及木材,88.6,97.2,86.1
25,纸浆及废纸,68.4,133.9,91.7
26,纺织纤维（不包括羊毛条及其他精梳羊毛）及其废料,77.9,173.8,135.3
27,天然肥料（不包括第56章的货品）及矿物（煤、石油及宝石除外）,83.8,161.4,135.2
28,金属矿砂及金属废料,113.2,115.6,130.8
29,其他动、植物原料,94.5,92.0,86.9
3,矿物燃料、润滑油及有关原料,91.4,116.9,106.9
32,煤、焦炭及煤砖,74.3,131.8,97.9
33,石油、石油产品及有关原料,97.0,114.9,111.5
34,天然气及人造气,75.0,120.1,90.1
35,电力,91.5,53.2,48.7
4,动、植物油、脂及蜡,82.5,115.6,95.4
41,动物油、脂,70.9,141.4,100.2
42,初榨、精制或分离的固定植物油、脂,82.2,116.2,95.5
43,已加工的动、植物油、脂;动植物蜡;动植物油、脂制成的未列名非食用混合物或制品,88.8,102.1,90.7
5-9,工业制品,98.9,104.7,103.5
5,化学品及有关产品,94.1,105.7,99.4
51,有机化学品,98.2,93.3,91.6
52,无机化学品,77.0,118.8,91.5
53,染料、鞣料及着色料,100.7,116.3,117.1
54,医药品,107.0,119.6,102.3
55,精油、香膏及芳香料;盥洗及光洁制品,85.6,92.2,78.8
56,肥料（272组货品除外）,56.8,204.6,116.3
57,初级形状的塑料,90.8,101.2,91.9
58,非初级形状的塑料,100.3,105.9,106.2
59,未列名化学原料及产品,102.6,108.0,110.8
6,按原料分类的制成品,98.8,112.3,111.0
61,皮革、皮革制品及已鞣毛皮,96.0,119.8,115.0
62,橡胶制品,97.4,109.6,106.7
63,软木及木制品（家俱除外）,92.9,110.1,102.3
64,纸、纸板及纸浆、纸或纸板制品,86.5,126.8,109.7
65,纺织纱线、织物未列名制品及有关产品,100.1,136.9,136.9
66,未列名非金属矿物制品,108.7,57.1,62.1
67,钢铁,89.8,117.0,105.1
68,有色金属,103.0,129.0,132.8
69,未列名金属制品,104.1,94.5,98.4
7,机械及运输设备,98.6,106.3,104.9
71,动力机械及设备,109.8,106.4,116.8
72,特种工业专用机械,125.5,118.3,148.4
73,金工机械,103.7,89.4,92.7
74,通用工业机械设备及零件,103.0,96.2,99.1
75,办公室用机械及自动数据处理设备,93.6,168.8,158.1
76,电信及声音的录制或重放装置及设备,103.6,99.6,103.2
77,未列名电力机械、装置、器具及其电气零件（包括相应家用电器的非电器零件,95.9,100.3,96.1
78,陆路车辆（包括气垫式）,101.1,110.9,112.2
79,其他运输设备,105.3,89.5,94.3
8,杂项制品,97.9,110.4,108.0
81,活动房屋;卫生、水道、供热及照明装置,90.2,58.9,53.1
82,家俱及其零件;寝俱、褥垫、弹簧床垫、软座垫及类似的填充制品,106.7,103.3,110.2
83,旅行用品、手提包及类似容器,91.1,142.2,129.5
84,服装及衣着附件,108.3,94.8,102.7
85,鞋靴,111.7,95.7,107.0
87,专业、科学及控制用仪器及设备,93.7,115.1,107.9
88,摄影器材及光学物品;钟表,96.8,97.0,93.9
89,未列名杂项制品,102.4,115.8,118.6
9,未分类的商品及交易品,117.8,70.4,83.0
96,硬币（金币除外），没有法定货币,64.6,106.5,68.8
97,金，非货币（不包括黄金矿砂及精矿）,117.1,65.6,76.8
98,其他,155.1,117.0,181.4
