表十五 2023年8月份全国进口商品贸易同比指数（BEC分类）,表十五 2023年8月份全国进口商品贸易同比指数（BEC分类）,表十五 2023年8月份全国进口商品贸易同比指数（BEC分类）,表十五 2023年8月份全国进口商品贸易同比指数（BEC分类）,表十五 2023年8月份全国进口商品贸易同比指数（BEC分类）
"Table 15 Index Number of Imports by BEC,Aug. 2023","Table 15 Index Number of Imports by BEC,Aug. 2023","Table 15 Index Number of Imports by BEC,Aug. 2023","Table 15 Index Number of Imports by BEC,Aug. 2023","Table 15 Index Number of Imports by BEC,Aug. 2023"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
BEC编码 code,商品名称 Description,价格指数 Unit value,数量指数 Quantum,价值指数 Value
1,食品和饮料,90.1,110.5,99.6
11,初级品,86.7,128.9,111.8
111,主要用于工业,84.1,131.3,110.4
112,主要用于家庭消费,97.5,120.1,117.1
12,加工品,93.3,95.6,89.3
121,主要用于工业,82.0,120.1,98.4
122,主要用于家庭消费,96.8,90.0,87.1
2,未列名的工业供应品,98.2,98.2,96.4
21,初级品,103.9,109.6,113.9
22,加工品,96.5,95.1,91.8
3,燃料和润滑油,78.3,134.4,105.2
31,初级品,79.3,132.9,105.3
32,加工品,73.6,142.3,104.7
321,车用,83.4,181.4,151.3
322,其他,70.8,131.6,93.2
4,资本货品(运输设备除外)及其零件和附件,99.2,97.3,96.6
41,资本货品(运输设备除外),98.1,106.6,104.5
42,零件和附件,100.7,84.8,85.4
5,运输设备及其零件和附件,103.8,98.0,101.8
51,机动小客车,101.9,98.4,100.3
52,其他,90.0,86.4,77.8
521,工业用,89.0,89.2,79.4
522,非工业用,94.3,75.2,70.9
53,零件和附件,108.9,99.2,108.1
6,未列名的消费品,100.9,93.2,94.1
61,耐用品,110.5,94.9,104.9
62,半耐用品,108.9,92.9,101.1
63,非耐用品,93.2,93.1,86.8
7,未列名的货品,78.7,106.3,83.6
