表十三 2024年10月份全国进口商品贸易同比指数（HS2分类）,表十三 2024年10月份全国进口商品贸易同比指数（HS2分类）,表十三 2024年10月份全国进口商品贸易同比指数（HS2分类）,表十三 2024年10月份全国进口商品贸易同比指数（HS2分类）,表十三 2024年10月份全国进口商品贸易同比指数（HS2分类）
27,第27章矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,85.4,98.7,84.3
6类,第六类 化学工业及其相关工业的产品,104.0,98.5,102.4
28,第28章无机化学品；贵金属、稀土金属、放射性元素及其同位素的有机及无机化合物,97.2,93.2,90.5
29,第29章有机化学品,99.0,110.1,108.9
30,第30章药品,117.9,96.4,113.6
31,第31章肥料,89.6,95.7,85.7
32,第32章鞣料浸膏及染料浸膏；鞣酸及其衍生物；染料、颜料及其他着色料；油漆及清漆；油灰及其他类似胶粘剂；墨水、油墨,106.1,98.2,104.1
33,第33章精油及香膏；芳香料制品及化妆盥洗品,111.4,82.1,91.5
34,第34章肥皂、有机表面活性剂、洗涤剂、润滑剂、人造蜡、调制蜡、光洁剂、蜡烛及类似品、塑型用膏、“牙科用蜡”及牙科用熟石膏制剂,98.0,103.8,101.7
35,第35章蛋白类物质；改性淀粉；胶；酶,105.8,93.1,98.5
36,第36章炸药；烟火制品；引火合金；易燃材料制品,130.6,70.2,91.7
37,第37章照相及电影用品,108.2,110.1,119.1
38,第38章杂项化学产品,95.5,97.3,92.9
7类,第七类 塑料及其制品；橡胶及其制品,105.7,95.7,101.1
39,第39章塑料及其制品,102.1,94.1,96.1
40,第40章橡胶及其制品,119.1,101.1,120.4
8类,第八类 革、毛皮及制品；箱包；肠线制品,94.9,94.8,89.9
41,第41章生皮（毛皮除外）及皮革,95.0,105.5,100.3
42,第42章皮革制品；鞍具及挽具；旅行用品、手提包及类似容器；动物肠线（蚕胶丝除外）制品,91.3,92.5,84.5
43,第43章毛皮、人造毛皮及其制品,117.6,81.6,96.0
9类,第九类 木及制品；木炭；软木；编结品,105.0,90.4,94.9
44,第44章木及木制品；木炭,105.0,90.3,94.8
45,第45章软木及软木制品,89.9,122.0,109.7
46,第46章稻草、秸秆、针茅或其他编结材料制品；篮筐及柳条编结品,81.8,167.2,136.8
10类,第十类 木浆等；废纸；纸、纸板及其制品,111.9,89.9,100.6
47,第47章木浆及其他纤维状纤维素浆；回收（废碎）纸及纸板,115.6,89.5,103.4
48,第48章纸及纸板；纸浆、纸或纸板制品,103.0,87.9,90.5
49,第49章书籍、报纸、印刷图画及其他印刷品；手稿、打字稿及设计图纸,102.4,104.1,106.6
11类,第十一类 纺织原料及纺织制品,94.0,87.4,82.2
50,第50章蚕丝,105.6,95.0,100.3
51,第51章羊毛、动物细毛或粗毛；马毛纱线及其机织物,99.8,83.8,83.7
52,第52章棉花,91.0,51.8,47.2
53,第53章其他植物纺织纤维；纸纱线及其机织物,129.2,101.3,130.9
54,第54章化学纤维长丝；化学纤维纺织材料制扁条及类似品,93.7,96.1,90.0
55,第55章化学纤维短纤,101.8,106.3,108.3
56,第56章絮胎、毡呢及无纺织物；特种纱线；线、绳、索、缆及其制品,99.3,106.3,105.5
57,第57章地毯及纺织材料的其他铺地制品,102.5,104.7,107.3
58,第58章特种机织物；簇绒织物；花边；装饰毯；装饰带；刺绣品,93.4,95.0,88.6
59,第59章浸渍、涂布、包覆或层压的纺织物；工业用纺织制品,99.3,98.9,98.3
60,第60章针织物及钩编织物,97.5,104.5,101.9
61,第61章针织或钩编的服装及衣着附件,99.5,100.0,99.5
62,第62章非针织或非钩编的服装及衣着附件,86.3,137.5,118.7
63,第63章其他纺织制成品；成套物品；旧衣着及旧纺织品；碎织物,92.8,101.6,94.2
12类,第十二类 鞋帽伞等；羽毛品；人造花；人发品,98.2,103.0,101.1
64,第64章鞋靴、护腿和类似品及其零件,95.9,102.0,97.7
65,第65章帽类及其零件,105.2,130.1,136.9
66,第66章雨伞、阳伞、手杖、鞭子、马鞭及其零件,105.2,48.3,50.8
67,第67章已加工羽毛、羽绒及其制品；人造花；人发制品,107.8,102.0,109.9
13类,第十三类 矿物材料制品；陶瓷品；玻璃及制品,105.1,102.0,107.2
68,第68章石料、石膏、水泥、石棉、云母及类似材料的制品,99.0,118.1,117.0
69,第69章陶瓷产品,99.2,104.5,103.7
70,第70章玻璃及其制品,108.3,97.2,105.3
14类,第十四类 珠宝、贵金属及制品；仿首饰；硬币,129.0,91.7,118.2
71,第71章天然或养殖珍珠、宝石或半宝石、贵金属、包贵金属及其制品；仿首饰；硬币,129.0,91.7,118.2
15类,第十五类 贱金属及其制品,104.8,95.3,100.0
72,第72章钢铁,91.7,76.0,69.6
73,第73章钢铁制品,111.4,91.1,101.5
74,第74章铜及其制品,113.8,104.5,118.9
75,第75章镍及其制品,93.9,100.4,94.3
76,第76章铝及其制品,107.6,93.7,100.8
78,第78章铅及其制品,98.0,221.5,217.0
79,第79章锌及其制品,113.7,119.8,136.2
80,第80章锡及其制品,119.0,99.9,118.8
81,第81章其他贱金属、金属陶瓷及其制品,84.7,122.9,104.0
82,第82章贱金属工具、器具、利口器、餐匙、餐叉及其零件,91.9,101.5,93.3
83,第83章贱金属杂项制品,98.1,96.0,94.1
16类,第十六类 机电、音像设备及其零件、附件,101.3,103.3,104.6
84,第84章核反应堆、锅炉、机器、机械器具及零件,111.5,99.4,110.8
85,第85章电机、电气设备及其零件；录音机及放声机、电视图像、声音的录制和重放设备及其零件、附件,98.3,104.0,102.3
17类,第十七类 车辆、航空器、船舶及运输设备,101.8,73.7,75.0
86,第86章铁道及电车道机车、车辆及其零件；铁道及电车道轨道固定装置及其零件；附件；各种机械（包括电动机械）交通信号设备,104.5,140.7,147.0
87,第87章车辆及其零件、附件，但铁道及电车道车辆除外,102.9,61.5,63.2
88,第88章航空器、航天器及其零件,95.0,168.4,160.0
89,第89章船舶及浮动结构体,72.9,1711.2,1247.9
18类,第十八类 光学、医疗等仪器；钟表；乐器,103.6,90.5,93.8
90,第90章光学、照相、电影、计量、检验、医疗或外科用仪器及设备、精密仪器及设备；上述物品的零件、附件,102.5,93.2,95.4
91,第91章钟表及其零件,131.4,48.6,63.9
92,第92章乐器及其零件、附件,94.3,68.7,64.8
19类,第十九类 武器、弹药及其零件、附件,74.8,597.3,446.8
93,第93章武器、弹药及其零件、附件,74.8,597.3,446.8
20类,第二十类 杂项制品,98.8,97.3,96.2
94,第94章家具；寝具、褥垫、弹簧床垫、软坐垫及类似的填充制品；未列名灯具及照明装置；发光标志、发光铭牌及类似品；活动房屋,99.7,96.1,95.8
95,第95章玩具、游戏品、运动用品及其零件、附件,100.2,106.4,106.7
96,第96章杂项制品,95.1,83.2,79.1
21类,第二十一类 艺术品、收藏品及古物,63.0,90.2,56.8
97,第97章艺术品、收藏品及古物,63.0,90.2,56.8
22类,第二十二类 特殊交易品及未分类商品,98.5,79.6,78.4
98,第98章特殊交易品及未分类商品,98.5,79.6,78.4
