表十三 2024年10月份全国进口商品贸易同比指数（HS2分类）,表十三 2024年10月份全国进口商品贸易同比指数（HS2分类）,表十三 2024年10月份全国进口商品贸易同比指数（HS2分类）,表十三 2024年10月份全国进口商品贸易同比指数（HS2分类）,表十三 2024年10月份全国进口商品贸易同比指数（HS2分类）
"Table 13 Index Number of Imports by HS2,Oct. 2024","Table 13 Index Number of Imports by HS2,Oct. 2024","Table 13 Index Number of Imports by HS2,Oct. 2024","Table 13 Index Number of Imports by HS2,Oct. 2024","Table 13 Index Number of Imports by HS2,Oct. 2024"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
HS编码 	code,商品名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
总指数,总指数,97.6,98.7,96.3
1类,第一类 活动物；动物产品,97.0,99.6,96.6
01,第1章活动物,80.9,61.1,49.4
02,第2章肉及食用杂碎,97.3,99.6,97.0
03,第3章鱼、甲壳动物、软体动物及其他水生无脊椎动物,93.9,105.2,98.8
04,第4章乳品；蛋品；天然蜂蜜；其他食用动物产品,106.5,85.9,91.5
05,第5章其他动物产品,100.3,111.5,111.9
2类,第二类 植物产品,88.1,117.6,103.6
06,第6章活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,134.1,68.1,91.3
07,第7章食用蔬菜、根及块茎,97.9,61.9,60.6
08,第8章食用水果及坚果；甜瓜或柑橘属水果的果皮,99.3,96.1,95.4
09,第9章咖啡、茶、马黛茶及调味香料,106.0,86.3,91.5
10,第10章谷物,84.2,50.8,42.8
11,第11章制粉工业产品；麦芽；淀粉；菊粉；面筋,90.7,89.6,81.3
12,第12章含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,84.5,165.3,139.6
13,第13章虫胶；树胶、树脂及其他植物液、汁,84.9,120.3,102.1
14,第14章编结用植物材料；其他植物产品,114.5,98.0,112.3
3类,第三类 动、植物油、脂、蜡；精制食用油脂,100.1,72.6,72.7
15,第15章动、植物或微生物油、脂及其分解产品；精制的食用油脂；动、植物蜡,100.1,72.6,72.7
4类,第四类 食品；饮料、酒及醋；烟草及制品,97.5,92.4,90.1
16,第16章肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物、昆虫的制品,101.6,136.4,138.6
17,第17章糖及糖食,91.3,70.1,63.9
18,第18章可可及可可制品,123.9,92.6,114.8
19,第19章谷物、粮食粉、淀粉或乳的制品；糕饼点心,96.1,102.7,98.7
20,第20章蔬菜、水果、坚果或植物其他部分的制品,97.2,103.4,100.5
21,第21章杂项食品,118.3,98.5,116.5
22,第22章饮料、酒及醋,95.3,103.1,98.3
23,第23章食品工业的残渣及废料；配制的动物饲料,82.4,96.5,79.5
24,第24章烟草、烟草及烟草代用品的制品；非经燃烧吸用的产品，不论是否含有尼古丁；其他供人体摄入尼古丁的含尼古丁的产品,113.7,41.5,47.2
5类,第五类 矿产品,87.2,99.1,86.4
25,第25章盐；硫磺；泥土及石料；石膏料、石灰及水泥,103.3,51.9,53.6
26,第26章矿砂、矿渣及矿灰,90.7,103.6,93.9
