表四 2025年3月份全国出口商品贸易同比指数（国民经济行业分类）,表四 2025年3月份全国出口商品贸易同比指数（国民经济行业分类）,表四 2025年3月份全国出口商品贸易同比指数（国民经济行业分类）,表四 2025年3月份全国出口商品贸易同比指数（国民经济行业分类）
"Table 4 Index Number of Exports by Industry,Mar. 2025","Table 4 Index Number of Exports by Industry,Mar. 2025","Table 4 Index Number of Exports by Industry,Mar. 2025","Table 4 Index Number of Exports by Industry,Mar. 2025"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
行业名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
农、林、牧、渔业,96.3,109.1,105.0
农业,96.1,110.2,106.0
林业,92.1,166.0,152.9
畜牧业,98.5,105.5,103.9
渔业,96.8,92.4,89.4
采矿业,91.9,149.5,137.4
煤炭开采和洗选业,79.5,128.6,102.3
石油和天然气开采业,107.8,327.1,352.6
黑色金属矿采选业,80.5,102.1,82.2
有色金属矿采选业,108.1,103.9,112.3
非金属矿采选业,84.3,113.7,95.9
制造业,96.0,118.3,113.5
消费品制造业,92.0,120.8,111.1
农副食品加工业,98.4,117.5,115.6
食品制造业,98.1,113.8,111.6
酒、饮料和精制茶制造业,100.5,116.5,117.1
烟草制品业,98.6,105.3,103.9
纺织业,92.3,128.4,118.4
纺织服装、服饰业,89.1,123.9,110.4
皮革、毛皮、羽毛及其制品和制鞋业,85.9,124.6,107.1
家具制造业,95.8,114.3,109.5
造纸和纸制品业,84.9,114.0,96.8
印刷和记录媒介复制业,81.3,128.1,104.2
文教、工美、体育和娱乐用品制造业,91.1,124.7,113.6
医药制造业,99.6,104.7,104.2
化学纤维制造业,94.6,109.6,103.7
原材料制造业,95.3,110.9,105.6
石油、煤炭及其他燃料加工业,94.8,86.7,82.2
化学原料和化学制品制造业,95.0,106.5,101.2
非金属矿物制品业,91.6,114.7,105.0
黑色金属冶炼和压延加工业,86.1,113.2,97.5
有色金属冶炼和压延加工业,115.3,143.5,165.5
装备制造业,96.1,119.4,114.7
金属制品业,91.0,133.3,121.2
通用设备制造业,94.7,126.3,119.5
专用设备制造业,102.4,121.3,124.3
汽车制造业,94.2,114.4,107.7
铁路、船舶、航空航天和其他运输设备制造业,101.7,118.6,120.6
电气机械和器材制造业,96.5,121.0,116.8
计算机、通信和其他电子设备制造业,95.8,114.8,110.0
仪器仪表制造业,97.6,118.4,115.6
木材加工和木、竹、藤、棕、草制品业,94.0,122.8,115.4
橡胶和塑料制品业,89.7,123.0,110.4
其他制造业,136.4,108.6,148.2
废弃资源综合利用业,88.2,87.0,76.8
电力、热力、燃气及水生产和供应业,96.3,88.4,85.1
电力、热力生产和供应业,96.3,88.4,85.1
文化、体育和娱乐业,107.9,99.8,107.8
新闻和出版业,107.9,99.8,107.8
