表三 2023年10月份全国出口商品贸易同比指数（BEC分类）,表三 2023年10月份全国出口商品贸易同比指数（BEC分类）,表三 2023年10月份全国出口商品贸易同比指数（BEC分类）,表三 2023年10月份全国出口商品贸易同比指数（BEC分类）,表三 2023年10月份全国出口商品贸易同比指数（BEC分类）
"Table 3 Index Number of Exports by BEC,Oct. 2023","Table 3 Index Number of Exports by BEC,Oct. 2023","Table 3 Index Number of Exports by BEC,Oct. 2023","Table 3 Index Number of Exports by BEC,Oct. 2023","Table 3 Index Number of Exports by BEC,Oct. 2023"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
BEC编码 	code,商品名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
1,食品和饮料,97.5,107.0,104.4
11,初级品,99.2,117.2,116.2
111,主要用于工业,99.0,118.8,117.6
112,主要用于家庭消费,99.2,117.1,116.1
12,加工品,96.8,102.3,99.0
121,主要用于工业,99.3,110.4,109.6
122,主要用于家庭消费,96.6,101.7,98.2
2,未列名的工业供应品,85.8,106.8,91.7
21,初级品,92.7,100.3,93.0
22,加工品,85.8,106.9,91.7
3,燃料和润滑油,95.1,107.4,102.2
31,初级品,81.1,66.7,54.1
32,加工品,96.0,111.0,106.6
321,车用,96.9,117.6,114.0
322,其他,87.9,78.8,69.3
4,资本货品(运输设备除外)及其零件和附件,91.9,102.2,93.9
41,资本货品(运输设备除外),92.7,103.2,95.6
42,零件和附件,89.8,99.4,89.3
5,运输设备及其零件和附件,102.9,118.0,121.5
51,机动小客车,98.2,156.3,153.5
52,其他,100.7,125.0,125.9
521,工业用,106.8,127.5,136.2
522,非工业用,83.5,113.9,95.1
53,零件和附件,106.1,101.2,107.4
6,未列名的消费品,86.4,111.0,95.8
61,耐用品,87.0,119.9,104.2
62,半耐用品,86.2,106.9,92.1
63,非耐用品,85.9,114.5,98.3
7,未列名的货品,99.8,152.1,151.7
