表十四 2023年11月份全国进口商品贸易同比指数（SITC2分类）,表十四 2023年11月份全国进口商品贸易同比指数（SITC2分类）,表十四 2023年11月份全国进口商品贸易同比指数（SITC2分类）,表十四 2023年11月份全国进口商品贸易同比指数（SITC2分类）,表十四 2023年11月份全国进口商品贸易同比指数（SITC2分类）
"Table 14 Index Number of Imports by SITC2,Nov. 2023","Table 14 Index Number of Imports by SITC2,Nov. 2023","Table 14 Index Number of Imports by SITC2,Nov. 2023","Table 14 Index Number of Imports by SITC2,Nov. 2023","Table 14 Index Number of Imports by SITC2,Nov. 2023"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
SITC编码 code,商品名称 Description,价格指数 Unit value,数量指数 Quantum,价值指数 Value
0-4,初级产品,94.0,101.6,95.4
0,食品及活动物,91.4,102.5,93.7
00,活动物（03章动物除外）,63.6,108.4,68.9
01,肉及肉制品,80.7,88.9,71.7
02,乳品及蛋品,86.1,91.1,78.5
03,鱼（海生哺乳动物除外）、甲壳动物、软体动物、水生无脊椎动物及其制品,92.7,94.0,87.1
04,谷物及谷物制品,82.4,178.2,146.8
05,蔬菜及水果,98.9,95.0,93.9
06,糖、糖制品及蜂蜜,122.8,77.1,94.7
07,咖啡、茶、马黛茶、调味香料及其制品,98.7,106.5,105.1
08,动物饲料（不包括未碾磨谷物）,100.1,105.5,105.6
09,杂项食品,111.0,82.6,91.7
1,饮料及烟类,116.1,75.0,87.1
11,饮料,114.6,73.7,84.5
12,烟草及烟草制品,132.6,86.3,114.5
2,非食用原料（燃料除外）,101.2,103.7,104.9
21,生皮及生毛皮,93.8,115.4,108.3
22,含油子仁及果实,86.9,107.9,93.8
23,生橡胶（包括合成橡胶及再生橡胶）,96.4,93.8,90.4
24,软木及木材,89.7,88.9,79.7
25,纸浆及废纸,68.6,130.2,89.3
26,纺织纤维（不包括羊毛条及其他精梳羊毛）及其废料,80.0,141.3,113.0
27,天然肥料（不包括第56章的货品）及矿物（煤、石油及宝石除外）,91.2,78.3,71.4
28,金属矿砂及金属废料,111.6,103.5,115.4
29,其他动、植物原料,88.5,88.3,78.2
3,矿物燃料、润滑油及有关原料,89.8,100.7,90.4
32,煤、焦炭及煤砖,71.0,147.4,104.7
33,石油、石油产品及有关原料,95.4,94.3,89.9
34,天然气及人造气,79.8,106.7,85.1
35,电力,97.6,60.9,59.5
4,动、植物油、脂及蜡,82.2,81.1,66.7
41,动物油、脂,83.3,80.6,67.2
42,初榨、精制或分离的固定植物油、脂,82.1,78.9,64.8
43,已加工的动、植物油、脂;动植物蜡;动植物油、脂制成的未列名非食用混合物或制品,84.1,120.4,101.3
5-9,工业制品,104.7,99.7,104.4
5,化学品及有关产品,92.4,100.2,92.6
51,有机化学品,98.3,90.8,89.3
52,无机化学品,84.7,110.8,93.9
53,染料、鞣料及着色料,102.9,110.6,113.8
54,医药品,87.4,121.1,105.8
55,精油、香膏及芳香料;盥洗及光洁制品,90.9,86.4,78.5
56,肥料（272组货品除外）,55.1,194.8,107.4
57,初级形状的塑料,92.4,94.2,87.0
58,非初级形状的塑料,100.4,98.8,99.2
59,未列名化学原料及产品,100.7,89.0,89.6
6,按原料分类的制成品,95.7,99.0,94.7
61,皮革、皮革制品及已鞣毛皮,92.7,108.4,100.4
62,橡胶制品,102.4,97.3,99.7
63,软木及木制品（家俱除外）,88.1,116.7,102.8
64,纸、纸板及纸浆、纸或纸板制品,88.9,113.9,101.3
65,纺织纱线、织物未列名制品及有关产品,100.2,121.2,121.4
66,未列名非金属矿物制品,88.9,60.6,53.9
67,钢铁,86.8,99.1,86.0
68,有色金属,100.3,107.8,108.1
69,未列名金属制品,104.8,91.9,96.3
7,机械及运输设备,109.3,99.4,108.7
71,动力机械及设备,110.4,103.9,114.8
72,特种工业专用机械,112.1,131.0,146.8
73,金工机械,100.6,92.6,93.1
74,通用工业机械设备及零件,107.3,96.4,103.4
75,办公室用机械及自动数据处理设备,87.6,130.6,114.4
76,电信及声音的录制或重放装置及设备,101.7,110.4,112.2
77,未列名电力机械、装置、器具及其电气零件（包括相应家用电器的非电器零件,114.6,92.8,106.3
78,陆路车辆（包括气垫式）,96.2,108.2,104.1
79,其他运输设备,100.6,66.1,66.5
8,杂项制品,104.3,96.4,100.5
81,活动房屋;卫生、水道、供热及照明装置,106.8,73.2,78.1
82,家俱及其零件;寝俱、褥垫、弹簧床垫、软座垫及类似的填充制品,104.9,85.8,90.0
83,旅行用品、手提包及类似容器,92.1,124.7,114.8
84,服装及衣着附件,92.3,105.3,97.3
85,鞋靴,103.3,112.8,116.5
87,专业、科学及控制用仪器及设备,104.5,97.8,102.3
88,摄影器材及光学物品;钟表,106.0,91.2,96.7
89,未列名杂项制品,110.2,88.0,97.0
9,未分类的商品及交易品,115.5,104.8,121.1
97,金，非货币（不包括黄金矿砂及精矿）,115.8,104.4,120.8
98,其他,106.5,116.6,124.1
