表一 2025年3月份全国出口商品贸易同比指数（HS2分类）,表一 2025年3月份全国出口商品贸易同比指数（HS2分类）,表一 2025年3月份全国出口商品贸易同比指数（HS2分类）,表一 2025年3月份全国出口商品贸易同比指数（HS2分类）,表一 2025年3月份全国出口商品贸易同比指数（HS2分类）
"Table 1 Index Number of Exports by HS2,Mar. 2025","Table 1 Index Number of Exports by HS2,Mar. 2025","Table 1 Index Number of Exports by HS2,Mar. 2025","Table 1 Index Number of Exports by HS2,Mar. 2025","Table 1 Index Number of Exports by HS2,Mar. 2025"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
HS编码 	code,商品名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
总指数,总指数,96.0,118.3,113.5
1类,第一类 活动物；动物产品,101.3,121.5,123.0
01,第1章活动物,104.8,106.7,111.8
02,第2章肉及食用杂碎,93.0,132.8,123.5
03,第3章鱼、甲壳动物、软体动物及其他水生无脊椎动物,100.0,122.2,122.2
04,第4章乳品；蛋品；天然蜂蜜；其他食用动物产品,93.3,137.2,128.0
05,第5章其他动物产品,116.1,109.7,127.4
2类,第二类 植物产品,95.9,115.1,110.4
06,第6章活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,105.3,99.6,104.8
07,第7章食用蔬菜、根及块茎,95.0,108.9,103.4
08,第8章食用水果及坚果；甜瓜或柑橘属水果的果皮,99.9,135.6,135.5
09,第9章咖啡、茶、马黛茶及调味香料,97.5,113.2,110.4
10,第10章谷物,91.7,135.1,123.8
11,第11章制粉工业产品；麦芽；淀粉；菊粉；面筋,82.4,152.1,125.3
12,第12章含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,89.5,98.4,88.0
13,第13章虫胶；树胶、树脂及其他植物液、汁,103.9,112.1,116.4
14,第14章编结用植物材料；其他植物产品,94.4,125.4,118.4
3类,第三类 动、植物油、脂、蜡；精制食用油脂,111.6,128.6,143.6
15,第15章动、植物或微生物油、脂及其分解产品；精制的食用油脂；动、植物蜡,111.6,128.6,143.6
4类,第四类 食品；饮料、酒及醋；烟草及制品,98.2,110.3,108.2
16,第16章肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物、昆虫的制品,98.2,116.5,114.5
17,第17章糖及糖食,99.0,111.6,110.5
18,第18章可可及可可制品,113.3,131.5,149.0
19,第19章谷物、粮食粉、淀粉或乳的制品；糕饼点心,95.4,114.0,108.8
20,第20章蔬菜、水果、坚果或植物其他部分的制品,91.9,111.8,102.7
21,第21章杂项食品,103.1,117.1,120.7
22,第22章饮料、酒及醋,103.7,107.6,111.6
23,第23章食品工业的残渣及废料；配制的动物饲料,96.9,89.6,86.8
24,第24章烟草、烟草及烟草代用品的制品；非经燃烧吸用的产品，不论是否含有尼古丁；其他供人体摄入尼古丁的含尼古丁的产品,99.8,106.2,106.1
5类,第五类 矿产品,94.7,96.2,91.0
25,第25章盐；硫磺；泥土及石料；石膏料、石灰及水泥,95.3,111.1,105.9
26,第26章矿砂、矿渣及矿灰,84.6,102.7,86.8
27,第27章矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,95.5,94.8,90.5
6类,第六类 化学工业及其相关工业的产品,95.8,105.2,100.8
28,第28章无机化学品；贵金属、稀土金属、放射性元素及其同位素的有机及无机化合物,91.9,95.6,87.9
29,第29章有机化学品,99.7,100.3,99.9
30,第30章药品,89.4,107.7,96.3
31,第31章肥料,97.3,131.5,127.9
32,第32章鞣料浸膏及染料浸膏；鞣酸及其衍生物；染料、颜料及其他着色料；油漆及清漆；油灰及其他类似胶粘剂；墨水、油墨,90.7,108.3,98.2
33,第33章精油及香膏；芳香料制品及化妆盥洗品,88.2,141.4,124.7
34,第34章肥皂、有机表面活性剂、洗涤剂、润滑剂、人造蜡、调制蜡、光洁剂、蜡烛及类似品、塑型用膏、“牙科用蜡”及牙科用熟石膏制剂,101.5,116.7,118.5
35,第35章蛋白类物质；改性淀粉；胶；酶,92.9,111.0,103.0
36,第36章炸药；烟火制品；引火合金；易燃材料制品,91.9,187.2,172.1
37,第37章照相及电影用品,99.0,98.6,97.7
38,第38章杂项化学产品,93.0,111.0,103.2
7类,第七类 塑料及其制品；橡胶及其制品,90.6,119.8,108.6
39,第39章塑料及其制品,88.9,121.2,107.7
40,第40章橡胶及其制品,98.0,114.5,112.2
8类,第八类 革、毛皮及制品；箱包；肠线制品,79.7,126.0,100.4
41,第41章生皮（毛皮除外）及皮革,92.0,125.8,115.8
42,第42章皮革制品；鞍具及挽具；旅行用品、手提包及类似容器；动物肠线（蚕胶丝除外）制品,79.0,125.5,99.1
43,第43章毛皮、人造毛皮及其制品,115.6,176.5,204.1
9类,第九类 木及制品；木炭；软木；编结品,93.9,122.8,115.3
44,第44章木及木制品；木炭,94.5,124.7,117.9
45,第45章软木及软木制品,86.4,147.2,127.1
46,第46章稻草、秸秆、针茅或其他编结材料制品；篮筐及柳条编结品,88.1,102.7,90.5
10类,第十类 木浆等；废纸；纸、纸板及其制品,85.1,115.7,98.5
47,第47章木浆及其他纤维状纤维素浆；回收（废碎）纸及纸板,100.7,94.1,94.8
48,第48章纸及纸板；纸浆、纸或纸板制品,84.3,115.6,97.5
49,第49章书籍、报纸、印刷图画及其他印刷品；手稿、打字稿及设计图纸,91.0,117.8,107.2
11类,第十一类 纺织原料及纺织制品,91.1,125.2,114.0
50,第50章蚕丝,96.5,122.1,117.8
51,第51章羊毛、动物细毛或粗毛；马毛纱线及其机织物,98.0,112.1,109.9
52,第52章棉花,93.3,118.3,110.4
53,第53章其他植物纺织纤维；纸纱线及其机织物,93.7,112.1,105.0
54,第54章化学纤维长丝；化学纤维纺织材料制扁条及类似品,91.1,131.6,119.8
55,第55章化学纤维短纤,93.1,127.6,118.7
56,第56章絮胎、毡呢及无纺织物；特种纱线；线、绳、索、缆及其制品,91.3,122.1,111.5
57,第57章地毯及纺织材料的其他铺地制品,95.2,121.3,115.5
58,第58章特种机织物；簇绒织物；花边；装饰毯；装饰带；刺绣品,83.5,142.5,119.1
59,第59章浸渍、涂布、包覆或层压的纺织物；工业用纺织制品,91.3,126.2,115.2
60,第60章针织物及钩编织物,93.9,140.4,131.8
61,第61章针织或钩编的服装及衣着附件,89.4,122.8,109.8
62,第62章非针织或非钩编的服装及衣着附件,89.9,123.8,111.4
63,第63章其他纺织制成品；成套物品；旧衣着及旧纺织品；碎织物,93.1,119.4,111.2
12类,第十二类 鞋帽伞等；羽毛品；人造花；人发品,89.6,124.0,111.1
64,第64章鞋靴、护腿和类似品及其零件,92.4,121.7,112.4
65,第65章帽类及其零件,79.2,143.1,113.3
66,第66章雨伞、阳伞、手杖、鞭子、马鞭及其零件,94.1,116.4,109.6
