表一 2023年12月份全国出口商品贸易同比指数（HS2分类）,表一 2023年12月份全国出口商品贸易同比指数（HS2分类）,表一 2023年12月份全国出口商品贸易同比指数（HS2分类）,表一 2023年12月份全国出口商品贸易同比指数（HS2分类）,表一 2023年12月份全国出口商品贸易同比指数（HS2分类）
"Table 1 Index Number of Exports by HS2,Dec. 2023","Table 1 Index Number of Exports by HS2,Dec. 2023","Table 1 Index Number of Exports by HS2,Dec. 2023","Table 1 Index Number of Exports by HS2,Dec. 2023","Table 1 Index Number of Exports by HS2,Dec. 2023"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
HS编码 	code,商品名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
总指数,总指数,91.6,113.3,103.8
1类,第一类 活动物；动物产品,90.8,97.1,88.2
01,第1章活动物,76.3,107.8,82.2
02,第2章肉及食用杂碎,90.5,114.1,103.2
03,第3章鱼、甲壳动物、软体动物及其他水生无脊椎动物,90.7,93.9,85.2
04,第4章乳品；蛋品；天然蜂蜜；其他食用动物产品,92.7,123.6,114.6
05,第5章其他动物产品,101.3,92.8,94.0
2类,第二类 植物产品,96.6,107.5,103.8
06,第6章活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,81.9,113.8,93.2
07,第7章食用蔬菜、根及块茎,103.9,102.3,106.3
08,第8章食用水果及坚果；甜瓜或柑橘属水果的果皮,90.6,126.7,114.8
09,第9章咖啡、茶、马黛茶及调味香料,90.1,99.4,89.6
10,第10章谷物,120.9,119.3,144.3
11,第11章制粉工业产品；麦芽；淀粉；菊粉；面筋,93.7,72.8,68.3
12,第12章含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,102.4,106.6,109.1
13,第13章虫胶；树胶、树脂及其他植物液、汁,79.9,91.7,73.3
14,第14章编结用植物材料；其他植物产品,108.5,115.1,124.9
3类,第三类 动、植物油、脂、蜡；精制食用油脂,88.8,185.6,164.7
15,第15章动、植物或微生物油、脂及其分解产品；精制的食用油脂；动、植物蜡,88.8,185.6,164.7
4类,第四类 食品；饮料、酒及醋；烟草及制品,93.1,115.4,107.4
16,第16章肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物、昆虫的制品,96.4,100.1,96.5
17,第17章糖及糖食,101.8,121.7,123.8
18,第18章可可及可可制品,104.1,108.6,113.1
19,第19章谷物、粮食粉、淀粉或乳的制品；糕饼点心,103.6,111.3,115.3
20,第20章蔬菜、水果、坚果或植物其他部分的制品,97.2,86.9,84.5
21,第21章杂项食品,82.7,114.7,94.8
22,第22章饮料、酒及醋,118.2,137.6,162.6
23,第23章食品工业的残渣及废料；配制的动物饲料,81.8,143.3,117.2
24,第24章烟草、烟草及烟草代用品的制品；非经燃烧吸用的产品，不论是否含有尼古丁；其他供人体摄入尼古丁的含尼古丁的产品,86.6,158.7,137.5
5类,第五类 矿产品,97.4,69.8,68.0
25,第25章盐；硫磺；泥土及石料；石膏料、石灰及水泥,82.4,89.2,73.6
26,第26章矿砂、矿渣及矿灰,108.0,87.1,94.1
27,第27章矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,97.8,68.2,66.7
6类,第六类 化学工业及其相关工业的产品,85.0,106.1,90.2
28,第28章无机化学品；贵金属、稀土金属、放射性元素及其同位素的有机及无机化合物,78.5,94.2,73.9
29,第29章有机化学品,86.6,110.3,95.6
30,第30章药品,90.7,113.5,103.0
31,第31章肥料,76.1,96.5,73.4
32,第32章鞣料浸膏及染料浸膏；鞣酸及其衍生物；染料、颜料及其他着色料；油漆及清漆；油灰及其他类似胶粘剂；墨水、油墨,91.7,115.9,106.3
33,第33章精油及香膏；芳香料制品及化妆盥洗品,90.1,119.8,108.0
34,第34章肥皂、有机表面活性剂、洗涤剂、润滑剂、人造蜡、调制蜡、光洁剂、蜡烛及类似品、塑型用膏、“牙科用蜡”及牙科用熟石膏制剂,90.6,130.6,118.3
35,第35章蛋白类物质；改性淀粉；胶；酶,88.9,113.1,100.5
36,第36章炸药；烟火制品；引火合金；易燃材料制品,107.2,91.2,97.8
37,第37章照相及电影用品,98.1,114.8,112.5
38,第38章杂项化学产品,82.3,99.1,81.6
7类,第七类 塑料及其制品；橡胶及其制品,92.4,119.7,110.6
39,第39章塑料及其制品,91.4,120.4,110.1
40,第40章橡胶及其制品,96.8,116.5,112.8
8类,第八类 革、毛皮及制品；箱包；肠线制品,96.1,111.6,107.2
41,第41章生皮（毛皮除外）及皮革,91.2,127.7,116.5
42,第42章皮革制品；鞍具及挽具；旅行用品、手提包及类似容器；动物肠线（蚕胶丝除外）制品,96.6,114.0,110.1
43,第43章毛皮、人造毛皮及其制品,88.7,66.7,59.2
9类,第九类 木及制品；木炭；软木；编结品,94.7,105.8,100.2
44,第44章木及木制品；木炭,94.9,106.9,101.5
45,第45章软木及软木制品,95.2,154.7,147.4
46,第46章稻草、秸秆、针茅或其他编结材料制品；篮筐及柳条编结品,92.8,95.3,88.4
10类,第十类 木浆等；废纸；纸、纸板及其制品,88.9,118.3,105.2
47,第47章木浆及其他纤维状纤维素浆；回收（废碎）纸及纸板,80.9,97.6,79.0
48,第48章纸及纸板；纸浆、纸或纸板制品,88.2,118.3,104.4
49,第49章书籍、报纸、印刷图画及其他印刷品；手稿、打字稿及设计图纸,95.3,120.0,114.3
11类,第十一类 纺织原料及纺织制品,95.0,110.0,104.5
50,第50章蚕丝,103.8,85.3,88.5
51,第51章羊毛、动物细毛或粗毛；马毛纱线及其机织物,94.3,61.8,58.3
52,第52章棉花,95.1,106.3,101.1
53,第53章其他植物纺织纤维；纸纱线及其机织物,104.3,118.6,123.6
54,第54章化学纤维长丝；化学纤维纺织材料制扁条及类似品,99.4,102.8,102.1
55,第55章化学纤维短纤,98.1,105.5,103.5
56,第56章絮胎、毡呢及无纺织物；特种纱线；线、绳、索、缆及其制品,93.4,117.7,109.9
57,第57章地毯及纺织材料的其他铺地制品,89.4,137.1,122.6
58,第58章特种机织物；簇绒织物；花边；装饰毯；装饰带；刺绣品,96.5,114.8,110.8
59,第59章浸渍、涂布、包覆或层压的纺织物；工业用纺织制品,99.1,106.2,105.3
60,第60章针织物及钩编织物,95.2,109.3,104.1
61,第61章针织或钩编的服装及衣着附件,94.0,110.4,103.7
62,第62章非针织或非钩编的服装及衣着附件,94.2,110.9,104.5
63,第63章其他纺织制成品；成套物品；旧衣着及旧纺织品；碎织物,93.7,115.6,108.3
12类,第十二类 鞋帽伞等；羽毛品；人造花；人发品,88.9,109.1,97.0
64,第64章鞋靴、护腿和类似品及其零件,88.8,105.9,94.0
65,第65章帽类及其零件,82.4,114.7,94.6
66,第66章雨伞、阳伞、手杖、鞭子、马鞭及其零件,89.4,105.0,93.9
67,第67章已加工羽毛、羽绒及其制品；人造花；人发制品,93.3,125.6,117.2
13类,第十三类 矿物材料制品；陶瓷品；玻璃及制品,84.3,108.8,91.8
68,第68章石料、石膏、水泥、石棉、云母及类似材料的制品,80.4,92.3,74.2
69,第69章陶瓷产品,82.2,116.0,95.4
70,第70章玻璃及其制品,89.0,111.3,99.0
14类,第十四类 珠宝、贵金属及制品；仿首饰；硬币,107.4,85.5,91.8
71,第71章天然或养殖珍珠、宝石或半宝石、贵金属、包贵金属及其制品；仿首饰；硬币,107.4,85.5,91.8
15类,第十五类 贱金属及其制品,86.7,118.0,102.3
72,第72章钢铁,80.0,122.7,98.1
73,第73章钢铁制品,83.1,119.1,99.0
