表一 2023年12月份全国出口商品贸易同比指数（HS2分类）,表一 2023年12月份全国出口商品贸易同比指数（HS2分类）,表一 2023年12月份全国出口商品贸易同比指数（HS2分类）,表一 2023年12月份全国出口商品贸易同比指数（HS2分类）,表一 2023年12月份全国出口商品贸易同比指数（HS2分类）
74,第74章铜及其制品,100.3,111.8,112.1
75,第75章镍及其制品,73.4,234.0,171.7
76,第76章铝及其制品,95.4,112.6,107.4
78,第78章铅及其制品,96.3,106.6,102.6
79,第79章锌及其制品,84.5,168.0,142.0
80,第80章锡及其制品,138.3,80.3,111.1
81,第81章其他贱金属、金属陶瓷及其制品,90.1,105.2,94.8
82,第82章贱金属工具、器具、利口器、餐匙、餐叉及其零件,96.2,115.0,110.5
83,第83章贱金属杂项制品,89.4,118.4,105.8
16类,第十六类 机电、音像设备及其零件、附件,91.9,111.7,102.7
84,第84章核反应堆、锅炉、机器、机械器具及零件,91.6,115.6,105.9
85,第85章电机、电气设备及其零件；录音机及放声机、电视图像、声音的录制和重放设备及其零件、附件,92.1,109.6,100.9
17类,第十七类 车辆、航空器、船舶及运输设备,99.4,126.9,126.1
86,第86章铁道及电车道机车、车辆及其零件；铁道及电车道轨道固定装置及其零件；附件；各种机械（包括电动机械）交通信号设备,82.2,112.7,92.7
87,第87章车辆及其零件、附件，但铁道及电车道车辆除外,100.6,128.3,129.2
88,第88章航空器、航天器及其零件,124.0,90.8,112.6
89,第89章船舶及浮动结构体,92.4,140.1,129.5
18类,第十八类 光学、医疗等仪器；钟表；乐器,98.0,107.6,105.5
90,第90章光学、照相、电影、计量、检验、医疗或外科用仪器及设备、精密仪器及设备；上述物品的零件、附件,98.3,106.0,104.1
91,第91章钟表及其零件,97.3,122.2,118.9
92,第92章乐器及其零件、附件,91.3,132.6,121.1
19类,第十九类 武器、弹药及其零件、附件,121.5,72.0,87.5
93,第93章武器、弹药及其零件、附件,121.5,72.0,87.5
20类,第二十类 杂项制品,90.7,116.1,105.4
94,第94章家具；寝具、褥垫、弹簧床垫、软坐垫及类似的填充制品；未列名灯具及照明装置；发光标志、发光铭牌及类似品；活动房屋,91.7,127.1,116.5
95,第95章玩具、游戏品、运动用品及其零件、附件,87.6,99.1,86.8
96,第96章杂项制品,95.2,118.3,112.6
21类,第二十一类 艺术品、收藏品及古物,140.7,92.6,130.2
97,第97章艺术品、收藏品及古物,140.7,92.6,130.2
98,第98章特殊交易品及未分类商品,76.2,248.4,189.2
