表十四 2023年9月份全国进口商品贸易同比指数（SITC2分类）,表十四 2023年9月份全国进口商品贸易同比指数（SITC2分类）,表十四 2023年9月份全国进口商品贸易同比指数（SITC2分类）,表十四 2023年9月份全国进口商品贸易同比指数（SITC2分类）,表十四 2023年9月份全国进口商品贸易同比指数（SITC2分类）
"Table 14 Index Number of Imports by SITC2,Sept. 2023","Table 14 Index Number of Imports by SITC2,Sept. 2023","Table 14 Index Number of Imports by SITC2,Sept. 2023","Table 14 Index Number of Imports by SITC2,Sept. 2023","Table 14 Index Number of Imports by SITC2,Sept. 2023"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
SITC编码 code,商品名称 Description,价格指数 Unit value,数量指数 Quantum,价值指数 Value
0-4,初级产品,92.3,111.4,102.9
0,食品及活动物,94.7,99.8,94.5
00,活动物（03章动物除外）,74.1,34.6,25.7
01,肉及肉制品,82.6,92.5,76.4
02,乳品及蛋品,94.1,91.7,86.3
03,鱼（海生哺乳动物除外）、甲壳动物、软体动物、水生无脊椎动物及其制品,90.3,106.3,96.0
04,谷物及谷物制品,91.1,107.0,97.5
05,蔬菜及水果,97.9,156.8,153.6
06,糖、糖制品及蜂蜜,126.9,86.4,109.7
07,咖啡、茶、马黛茶、调味香料及其制品,101.2,85.2,86.2
08,动物饲料（不包括未碾磨谷物）,101.7,71.4,72.6
09,杂项食品,115.7,74.8,86.6
1,饮料及烟类,109.5,102.3,112.1
11,饮料,109.3,104.3,114.0
12,烟草及烟草制品,110.3,96.3,106.3
2,非食用原料（燃料除外）,100.0,106.5,106.5
21,生皮及生毛皮,97.9,118.1,115.5
22,含油子仁及果实,85.5,98.1,83.9
23,生橡胶（包括合成橡胶及再生橡胶）,88.1,98.3,86.6
24,软木及木材,87.7,88.8,77.9
25,纸浆及废纸,69.7,128.3,89.5
26,纺织纤维（不包括羊毛条及其他精梳羊毛）及其废料,85.8,155.0,132.9
27,天然肥料（不包括第56章的货品）及矿物（煤、石油及宝石除外）,92.7,182.5,169.1
28,金属矿砂及金属废料,110.7,102.8,113.8
29,其他动、植物原料,87.6,90.9,79.6
3,矿物燃料、润滑油及有关原料,86.6,118.2,102.4
32,煤、焦炭及煤砖,74.7,142.1,106.2
33,石油、石油产品及有关原料,91.0,119.7,109.0
34,天然气及人造气,76.0,102.8,78.2
35,电力,94.7,68.5,64.9
4,动、植物油、脂及蜡,80.3,120.0,96.5
41,动物油、脂,83.3,103.1,85.9
42,初榨、精制或分离的固定植物油、脂,80.7,118.3,95.5
43,已加工的动、植物油、脂;动植物蜡;动植物油、脂制成的未列名非食用混合物或制品,74.2,164.0,121.7
5-9,工业制品,100.5,96.4,96.8
5,化学品及有关产品,89.5,105.4,94.2
51,有机化学品,96.8,91.7,88.7
52,无机化学品,80.8,114.6,92.6
53,染料、鞣料及着色料,100.5,105.4,106.0
54,医药品,83.5,136.0,113.6
55,精油、香膏及芳香料;盥洗及光洁制品,92.0,88.3,81.2
56,肥料（272组货品除外）,56.4,158.8,89.6
57,初级形状的塑料,89.4,98.6,88.1
58,非初级形状的塑料,102.5,101.4,103.9
59,未列名化学原料及产品,92.3,103.7,95.7
6,按原料分类的制成品,100.7,96.3,97.0
61,皮革、皮革制品及已鞣毛皮,94.3,121.0,114.1
62,橡胶制品,103.3,96.5,99.8
63,软木及木制品（家俱除外）,94.0,124.0,116.6
64,纸、纸板及纸浆、纸或纸板制品,86.9,120.5,104.7
65,纺织纱线、织物未列名制品及有关产品,99.2,129.7,128.6
66,未列名非金属矿物制品,104.1,57.1,59.5
67,钢铁,91.1,101.1,92.1
68,有色金属,106.0,100.8,106.9
69,未列名金属制品,110.2,89.4,98.5
7,机械及运输设备,100.9,95.6,96.5
71,动力机械及设备,110.1,104.1,114.6
72,特种工业专用机械,118.1,115.9,136.9
73,金工机械,111.0,91.5,101.6
74,通用工业机械设备及零件,111.2,96.0,106.8
75,办公室用机械及自动数据处理设备,83.7,120.6,101.0
76,电信及声音的录制或重放装置及设备,99.9,93.5,93.3
77,未列名电力机械、装置、器具及其电气零件（包括相应家用电器的非电器零件,99.1,90.9,90.1
78,陆路车辆（包括气垫式）,108.0,92.0,99.3
79,其他运输设备,121.6,87.6,106.5
8,杂项制品,105.6,95.8,101.2
81,活动房屋;卫生、水道、供热及照明装置,110.0,86.6,95.3
82,家俱及其零件;寝俱、褥垫、弹簧床垫、软座垫及类似的填充制品,108.2,88.3,95.5
83,旅行用品、手提包及类似容器,128.5,88.0,113.1
84,服装及衣着附件,97.2,92.9,90.3
85,鞋靴,107.5,94.5,101.6
87,专业、科学及控制用仪器及设备,101.6,98.4,100.0
88,摄影器材及光学物品;钟表,101.5,96.2,97.7
89,未列名杂项制品,116.2,94.0,109.3
9,未分类的商品及交易品,119.0,84.2,100.2
96,硬币（金币除外），没有法定货币,59.8,72.3,43.2
97,金，非货币（不包括黄金矿砂及精矿）,119.6,81.4,97.4
98,其他,113.0,120.9,136.6
