表十五 2025年6月份全国进口商品贸易同比指数（BEC分类）,表十五 2025年6月份全国进口商品贸易同比指数（BEC分类）,表十五 2025年6月份全国进口商品贸易同比指数（BEC分类）,表十五 2025年6月份全国进口商品贸易同比指数（BEC分类）,表十五 2025年6月份全国进口商品贸易同比指数（BEC分类）
"Table 15 Index Number of Imports by BEC,June 2025","Table 15 Index Number of Imports by BEC,June 2025","Table 15 Index Number of Imports by BEC,June 2025","Table 15 Index Number of Imports by BEC,June 2025","Table 15 Index Number of Imports by BEC,June 2025"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
BEC编码 	code,商品名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
1,农业、林业、渔业、食品、饮料、烟草,98.7,105.0,103.6
111,中间品,96.5,99.8,96.3
1111,初级品,94.6,96.6,91.3
1112,加工品,102.7,110.4,113.4
112,资本品,107.0,73.3,78.4
113,消费品,101.8,114.7,116.8
1131,初级品,101.7,115.2,117.2
1132,加工品,102.5,109.7,112.5
2,采矿、采石、炼油、燃料、化学品、电力、水、废物处理,90.6,104.1,94.4
211,中间品,90.3,104.1,94.0
2111,初级品,88.6,103.9,92.0
2112,加工品,97.9,104.8,102.6
212,资本品,105.3,96.7,101.9
213,消费品,82.0,118.5,97.2
2131,初级品,82.0,118.5,97.2
3,建筑、木材、玻璃、石材、基础金属、住房、电器、家具,101.3,101.7,103.0
311,中间品,102.9,101.0,103.9
3111,初级品,95.8,107.7,103.2
3112,加工品,103.0,100.9,104.0
312,资本品,93.4,105.9,98.9
313,消费品,101.7,99.9,101.5
3131,初级品,114.0,106.3,121.2
3132,加工品,98.8,98.7,97.5
4,纺织品、服装、鞋,123.1,104.5,128.6
411,中间品,129.5,103.8,134.4
4111,初级品,92.1,47.0,43.3
4112,加工品,131.9,108.3,142.8
412,资本品,91.4,136.6,124.8
413,消费品,99.5,105.0,104.4
4131,初级品,67.1,80.4,54.0
4132,加工品,99.5,105.0,104.5
5,运输设备和服务、旅行、邮政服务,102.9,96.3,99.0
511,中间品,99.1,106.9,106.0
5111,初级品,100.8,114.6,115.5
5112,加工品,99.1,106.9,106.0
512,资本品,137.5,105.5,145.1
513,消费品,98.0,71.0,69.6
5132,加工品,98.0,71.0,69.6
6,信息和通信技术、媒体、计算机、商业和金融服务,106.0,104.8,111.1
611,中间品,106.7,103.6,110.6
6112,加工品,106.7,103.6,110.6
612,资本品,104.2,108.8,113.3
613,消费品,90.3,121.4,109.6
6131,初级品,124.6,133.6,166.5
6132,加工品,90.2,121.4,109.4
7,健康、制药、教育、文化、体育,102.2,95.4,97.4
711,中间品,117.9,73.6,86.8
7112,加工品,117.9,73.6,86.8
712,资本品,106.9,102.2,109.2
713,消费品,86.9,117.8,102.4
7131,初级品,88.9,118.8,105.7
7132,加工品,86.0,117.4,100.9
8,政府、军队和其他,103.7,76.3,79.1
811,中间品,118.6,63.9,75.7
8112,加工品,118.6,63.9,75.7
812,资本品,78.5,102.8,80.8
813,消费品,112.2,101.4,113.7
8132,加工品,112.2,106.0,118.9
