表三 2025年3月份全国出口商品贸易同比指数（BEC分类）,表三 2025年3月份全国出口商品贸易同比指数（BEC分类）,表三 2025年3月份全国出口商品贸易同比指数（BEC分类）,表三 2025年3月份全国出口商品贸易同比指数（BEC分类）,表三 2025年3月份全国出口商品贸易同比指数（BEC分类）
"Table 3 Index Number of Exports by BEC,Mar. 2025","Table 3 Index Number of Exports by BEC,Mar. 2025","Table 3 Index Number of Exports by BEC,Mar. 2025","Table 3 Index Number of Exports by BEC,Mar. 2025","Table 3 Index Number of Exports by BEC,Mar. 2025"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
BEC编码 	code,商品名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
1,农业、林业、渔业、食品、饮料、烟草,99.3,117.9,117.0
111,中间品,99.1,112.4,111.4
1111,初级品,97.0,107.3,104.1
1112,加工品,99.8,114.4,114.3
112,资本品,112.4,122.5,137.7
113,消费品,97.3,118.3,115.1
1131,初级品,98.4,119.8,117.9
1132,加工品,95.2,115.5,109.9
2,采矿、采石、炼油、燃料、化学品、电力、水、废物处理,96.1,107.1,103.0
211,中间品,96.6,107.8,104.2
2111,初级品,91.9,143.5,131.9
2112,加工品,96.9,105.8,102.6
212,资本品,94.7,122.4,115.9
213,消费品,95.6,84.4,80.7
2131,初级品,95.6,84.4,80.7
3,建筑、木材、玻璃、石材、基础金属、住房、电器、家具,96.2,123.4,118.7
311,中间品,96.8,123.6,119.6
3111,初级品,99.4,110.5,109.8
3112,加工品,96.8,123.7,119.7
312,资本品,99.2,122.5,121.6
313,消费品,93.1,123.7,115.2
3131,初级品,94.4,120.9,114.1
3132,加工品,93.0,123.8,115.2
4,纺织品、服装、鞋,93.6,126.8,118.6
411,中间品,97.2,139.7,135.7
4111,初级品,90.9,73.1,66.5
4112,加工品,97.2,139.7,135.8
412,资本品,93.4,144.8,135.2
413,消费品,91.4,118.9,108.6
4131,初级品,81.5,107.2,87.4
4132,加工品,91.4,118.9,108.6
5,运输设备和服务、旅行、邮政服务,93.4,118.3,110.6
511,中间品,93.5,119.7,111.9
5111,初级品,90.7,163.9,148.6
5112,加工品,93.5,119.7,111.9
512,资本品,100.0,116.7,116.6
513,消费品,87.5,117.4,102.8
5132,加工品,87.5,117.4,102.8
6,信息和通信技术、媒体、计算机、商业和金融服务,93.9,115.0,108.0
611,中间品,89.4,123.0,110.0
6112,加工品,89.4,123.0,110.0
612,资本品,97.5,103.2,100.6
613,消费品,101.3,114.4,115.8
6131,初级品,89.1,113.6,101.2
6132,加工品,101.3,114.4,115.8
7,健康、制药、教育、文化、体育,91.4,118.8,108.6
711,中间品,102.3,108.6,111.1
7111,初级品,76.5,109.6,83.9
7112,加工品,102.4,108.6,111.1
712,资本品,92.7,120.9,112.1
713,消费品,86.7,123.0,106.7
7131,初级品,86.4,136.7,118.1
7132,加工品,86.8,121.5,105.4
8,政府、军队和其他,97.8,149.2,145.9
811,中间品,103.3,146.3,151.1
8112,加工品,103.3,146.3,151.1
812,资本品,82.8,179.4,148.6
813,消费品,84.1,116.2,97.7
8131,初级品,92.8,107.6,99.8
8132,加工品,83.7,116.6,97.6
