表十四 2025年5月份全国进口商品贸易同比指数（SITC2分类）,表十四 2025年5月份全国进口商品贸易同比指数（SITC2分类）,表十四 2025年5月份全国进口商品贸易同比指数（SITC2分类）,表十四 2025年5月份全国进口商品贸易同比指数（SITC2分类）,表十四 2025年5月份全国进口商品贸易同比指数（SITC2分类）
"Table 14 Index Number of Imports by SITC2,May 2025","Table 14 Index Number of Imports by SITC2,May 2025","Table 14 Index Number of Imports by SITC2,May 2025","Table 14 Index Number of Imports by SITC2,May 2025","Table 14 Index Number of Imports by SITC2,May 2025"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
SITC编码 	code,商品名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
0-4,初级产品,91.9,99.2,91.1
0,食品及活动物,102.1,95.8,97.8
00,活动物（03章动物除外）,103.7,505.5,524.2
01,肉及肉制品,105.9,89.2,94.5
02,乳品及蛋品,113.1,102.9,116.4
03,鱼（海生哺乳动物除外）、甲壳动物、软体动物、水生无脊椎动物及其制品,101.3,109.3,110.7
04,谷物及谷物制品,94.1,49.9,46.9
05,蔬菜及水果,103.4,97.1,100.4
06,糖、糖制品及蜂蜜,79.5,159.0,126.4
07,咖啡、茶、马黛茶、调味香料及其制品,117.3,123.7,145.1
08,动物饲料（不包括未碾磨谷物）,87.9,122.4,107.6
09,杂项食品,108.1,104.1,112.5
1,饮料及烟类,106.0,93.6,99.3
11,饮料,100.5,92.1,92.6
12,烟草及烟草制品,112.5,95.9,107.9
2,非食用原料（燃料除外）,99.1,105.3,104.4
21,生皮及生毛皮,87.9,92.8,81.6
22,含油子仁及果实,91.4,130.1,118.9
23,生橡胶（包括合成橡胶及再生橡胶）,115.1,123.0,141.5
24,软木及木材,98.6,80.7,79.6
25,纸浆及废纸,97.6,107.1,104.6
26,纺织纤维（不包括羊毛条及其他精梳羊毛）及其废料,96.7,52.2,50.5
27,天然肥料（不包括第56章的货品）及矿物（煤、石油及宝石除外）,108.8,90.4,98.3
28,金属矿砂及金属废料,100.6,103.4,104.0
29,其他动、植物原料,98.4,102.4,100.7
3,矿物燃料、润滑油及有关原料,82.8,94.9,78.5
32,煤、焦炭及煤砖,76.8,81.2,62.3
33,石油、石油产品及有关原料,80.6,97.3,78.4
34,天然气及人造气,95.6,92.3,88.2
35,电力,97.8,57.9,56.6
4,动、植物油、脂及蜡,114.0,96.1,109.5
41,动物油、脂,126.9,81.5,103.4
42,初榨、精制或分离的固定植物油、脂,114.4,90.7,103.8
43,已加工的动、植物油、脂;动植物蜡;动植物油、脂制成的未列名非食用混合物或制品,109.6,148.9,163.3
5-9,工业制品,104.8,98.3,102.9
5,化学品及有关产品,94.6,103.1,97.5
51,有机化学品,89.9,107.0,96.2
52,无机化学品,97.5,100.8,98.2
53,染料、鞣料及着色料,108.2,93.7,101.4
54,医药品,92.2,111.0,102.4
55,精油、香膏及芳香料;盥洗及光洁制品,88.3,109.8,97.0
56,肥料（272组货品除外）,94.5,102.1,96.5
57,初级形状的塑料,99.1,92.0,91.1
58,非初级形状的塑料,106.7,91.1,97.2
59,未列名化学原料及产品,96.1,105.3,101.1
6,按原料分类的制成品,99.5,91.4,91.0
61,皮革、皮革制品及已鞣毛皮,95.5,79.3,75.8
62,橡胶制品,104.4,89.4,93.4
63,软木及木制品（家俱除外）,119.1,83.6,99.6
64,纸、纸板及纸浆、纸或纸板制品,99.0,89.2,88.3
65,纺织纱线、织物未列名制品及有关产品,102.6,86.4,88.6
66,未列名非金属矿物制品,98.1,89.3,87.6
67,钢铁,95.7,95.4,91.3
68,有色金属,99.9,91.8,91.7
69,未列名金属制品,103.5,91.2,94.4
7,机械及运输设备,104.0,104.0,108.2
71,动力机械及设备,107.8,107.2,115.5
72,特种工业专用机械,117.2,87.9,103.0
73,金工机械,94.4,98.4,92.9
74,通用工业机械设备及零件,96.6,104.5,100.9
75,办公室用机械及自动数据处理设备,104.4,140.3,146.5
76,电信及声音的录制或重放装置及设备,101.4,115.3,116.8
77,未列名电力机械、装置、器具及其电气零件（包括相应家用电器的非电器零件,104.3,103.2,107.6
78,陆路车辆（包括气垫式）,97.3,77.6,75.6
79,其他运输设备,96.7,67.0,64.8
8,杂项制品,100.9,94.8,95.7
81,活动房屋;卫生、水道、供热及照明装置,113.2,83.0,94.0
82,家俱及其零件;寝俱、褥垫、弹簧床垫、软座垫及类似的填充制品,113.2,90.9,102.9
83,旅行用品、手提包及类似容器,90.4,111.5,100.8
84,服装及衣着附件,92.8,97.4,90.4
85,鞋靴,109.3,77.7,84.9
87,专业、科学及控制用仪器及设备,98.0,96.4,94.5
88,摄影器材及光学物品;钟表,110.0,85.9,94.5
89,未列名杂项制品,100.9,100.7,101.6
9,未分类的商品及交易品,141.3,72.1,101.9
97,金，非货币（不包括黄金矿砂及精矿）,142.7,71.9,102.5
98,其他,124.2,75.9,94.2
