表十六 2024年9月份全国进口商品贸易同比指数（国民经济行业分类）,表十六 2024年9月份全国进口商品贸易同比指数（国民经济行业分类）,表十六 2024年9月份全国进口商品贸易同比指数（国民经济行业分类）,表十六 2024年9月份全国进口商品贸易同比指数（国民经济行业分类）
"Table 16 Index Number of Imports by Industry,Sept. 2024","Table 16 Index Number of Imports by Industry,Sept. 2024","Table 16 Index Number of Imports by Industry,Sept. 2024","Table 16 Index Number of Imports by Industry,Sept. 2024"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
行业名称 Description,价格指数 Unit value,数量指数 Quantum,价值指数 Value
农、林、牧、渔业,89.9,125.1,112.5
农业,88.3,127.5,112.6
林业,114.0,100.8,114.9
畜牧业,83.7,107.3,89.8
渔业,86.5,135.8,117.5
采矿业,93.3,101.8,95.0
煤炭开采和洗选业,98.7,108.3,106.9
石油和天然气开采业,90.3,102.6,92.6
黑色金属矿采选业,87.3,103.3,90.2
有色金属矿采选业,113.0,107.9,121.9
非金属矿采选业,88.1,52.0,45.8
制造业,101.7,98.7,100.4
消费品制造业,103.7,89.4,92.7
农副食品加工业,96.6,91.2,88.1
食品制造业,105.4,102.8,108.3
酒、饮料和精制茶制造业,94.6,102.5,97.0
烟草制品业,119.6,86.6,103.6
纺织业,99.8,78.9,78.7
纺织服装、服饰业,101.7,101.3,103.1
皮革、毛皮、羽毛及其制品和制鞋业,99.7,92.9,92.5
家具制造业,96.7,88.0,85.2
造纸和纸制品业,116.9,86.1,100.7
印刷和记录媒介复制业,120.5,95.3,114.9
文教、工美、体育和娱乐用品制造业,97.6,59.4,57.9
医药制造业,111.0,89.7,99.6
化学纤维制造业,98.4,99.5,97.9
原材料制造业,105.1,91.7,96.3
石油、煤炭及其他燃料加工业,97.5,102.9,100.3
化学原料和化学制品制造业,100.8,95.1,95.9
非金属矿物制品业,97.8,72.9,71.3
黑色金属冶炼和压延加工业,89.7,90.2,80.9
有色金属冶炼和压延加工业,116.5,87.7,102.2
装备制造业,99.4,105.2,104.6
金属制品业,98.6,104.9,103.5
通用设备制造业,103.2,92.2,95.2
专用设备制造业,103.7,85.5,88.7
汽车制造业,99.9,83.4,83.3
铁路、船舶、航空航天和其他运输设备制造业,84.5,166.3,140.5
电气机械和器材制造业,101.3,93.5,94.7
计算机、通信和其他电子设备制造业,97.7,116.3,113.7
仪器仪表制造业,103.7,88.7,92.0
木材加工和木、竹、藤、棕、草制品业,103.6,97.2,100.7
橡胶和塑料制品业,101.3,96.5,97.8
其他制造业,113.2,63.6,72.0
废弃资源综合利用业,109.9,91.7,100.8
电力、热力、燃气及水生产和供应业,81.8,72.3,59.1
电力、热力生产和供应业,81.8,72.3,59.1
文化、体育和娱乐业,101.5,101.4,102.9
新闻和出版业,101.5,101.4,102.9
