表十三 2025年3月份全国进口商品贸易同比指数（HS2分类）,表十三 2025年3月份全国进口商品贸易同比指数（HS2分类）,表十三 2025年3月份全国进口商品贸易同比指数（HS2分类）,表十三 2025年3月份全国进口商品贸易同比指数（HS2分类）,表十三 2025年3月份全国进口商品贸易同比指数（HS2分类）
"Table 13 Index Number of Imports by HS2,Mar. 2025","Table 13 Index Number of Imports by HS2,Mar. 2025","Table 13 Index Number of Imports by HS2,Mar. 2025","Table 13 Index Number of Imports by HS2,Mar. 2025","Table 13 Index Number of Imports by HS2,Mar. 2025"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
HS编码 	code,商品名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
总指数,总指数,98.3,98.2,96.5
1类,第一类 活动物；动物产品,104.2,100.6,104.8
01,第1章活动物,111.5,90.8,101.3
02,第2章肉及食用杂碎,105.4,91.4,96.3
03,第3章鱼、甲壳动物、软体动物及其他水生无脊椎动物,102.4,109.4,112.0
04,第4章乳品；蛋品；天然蜂蜜；其他食用动物产品,105.7,112.7,119.1
05,第5章其他动物产品,98.5,91.1,89.7
2类,第二类 植物产品,89.0,68.7,61.1
06,第6章活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,85.6,110.4,94.5
07,第7章食用蔬菜、根及块茎,89.7,163.4,146.5
08,第8章食用水果及坚果；甜瓜或柑橘属水果的果皮,91.6,84.7,77.6
09,第9章咖啡、茶、马黛茶及调味香料,103.5,111.2,115.0
10,第10章谷物,90.3,28.7,25.9
11,第11章制粉工业产品；麦芽；淀粉；菊粉；面筋,71.4,134.2,95.8
12,第12章含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,87.8,70.0,61.4
13,第13章虫胶；树胶、树脂及其他植物液、汁,84.4,96.3,81.3
14,第14章编结用植物材料；其他植物产品,117.6,133.4,156.8
3类,第三类 动、植物油、脂、蜡；精制食用油脂,117.1,109.5,128.3
15,第15章动、植物或微生物油、脂及其分解产品；精制的食用油脂；动、植物蜡,117.1,109.5,128.3
4类,第四类 食品；饮料、酒及醋；烟草及制品,99.4,112.3,111.6
16,第16章肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物、昆虫的制品,107.4,152.4,163.7
17,第17章糖及糖食,96.4,82.5,79.5
18,第18章可可及可可制品,156.5,126.3,197.7
19,第19章谷物、粮食粉、淀粉或乳的制品；糕饼点心,106.1,130.8,138.9
20,第20章蔬菜、水果、坚果或植物其他部分的制品,101.1,93.2,94.2
21,第21章杂项食品,102.9,111.8,115.1
22,第22章饮料、酒及醋,91.3,101.5,92.7
23,第23章食品工业的残渣及废料；配制的动物饲料,82.2,104.8,86.2
24,第24章烟草、烟草及烟草代用品的制品；非经燃烧吸用的产品，不论是否含有尼古丁；其他供人体摄入尼古丁的含尼古丁的产品,121.2,126.3,153.1
5类,第五类 矿产品,92.4,99.1,91.6
25,第25章盐；硫磺；泥土及石料；石膏料、石灰及水泥,112.0,87.3,97.7
26,第26章矿砂、矿渣及矿灰,94.1,99.9,94.0
27,第27章矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,91.4,98.8,90.3
6类,第六类 化学工业及其相关工业的产品,101.6,98.8,100.4
28,第28章无机化学品；贵金属、稀土金属、放射性元素及其同位素的有机及无机化合物,98.1,81.8,80.2
29,第29章有机化学品,93.8,128.2,120.2
30,第30章药品,115.7,79.6,92.2
31,第31章肥料,90.8,101.4,92.0
32,第32章鞣料浸膏及染料浸膏；鞣酸及其衍生物；染料、颜料及其他着色料；油漆及清漆；油灰及其他类似胶粘剂；墨水、油墨,105.1,91.7,96.4
33,第33章精油及香膏；芳香料制品及化妆盥洗品,92.9,99.1,92.1
34,第34章肥皂、有机表面活性剂、洗涤剂、润滑剂、人造蜡、调制蜡、光洁剂、蜡烛及类似品、塑型用膏、“牙科用蜡”及牙科用熟石膏制剂,96.2,107.6,103.5
35,第35章蛋白类物质；改性淀粉；胶；酶,110.0,99.1,109.1
36,第36章炸药；烟火制品；引火合金；易燃材料制品,125.6,92.4,116.1
37,第37章照相及电影用品,113.2,82.5,93.4
38,第38章杂项化学产品,103.3,100.3,103.6
7类,第七类 塑料及其制品；橡胶及其制品,105.7,95.9,101.4
39,第39章塑料及其制品,101.1,92.2,93.2
40,第40章橡胶及其制品,121.1,108.3,131.1
8类,第八类 革、毛皮及制品；箱包；肠线制品,97.5,85.6,83.5
41,第41章生皮（毛皮除外）及皮革,91.3,92.8,84.7
42,第42章皮革制品；鞍具及挽具；旅行用品、手提包及类似容器；动物肠线（蚕胶丝除外）制品,100.0,83.6,83.6
43,第43章毛皮、人造毛皮及其制品,115.4,58.5,67.5
9类,第九类 木及制品；木炭；软木；编结品,100.2,90.8,90.9
44,第44章木及木制品；木炭,100.2,90.7,90.9
45,第45章软木及软木制品,72.6,146.6,106.4
46,第46章稻草、秸秆、针茅或其他编结材料制品；篮筐及柳条编结品,76.9,128.8,99.0
10类,第十类 木浆等；废纸；纸、纸板及其制品,98.8,100.4,99.1
47,第47章木浆及其他纤维状纤维素浆；回收（废碎）纸及纸板,98.3,101.8,100.1
48,第48章纸及纸板；纸浆、纸或纸板制品,100.1,90.5,90.6
49,第49章书籍、报纸、印刷图画及其他印刷品；手稿、打字稿及设计图纸,100.3,119.1,119.5
11类,第十一类 纺织原料及纺织制品,98.4,69.3,68.2
50,第50章蚕丝,96.4,79.7,76.9
51,第51章羊毛、动物细毛或粗毛；马毛纱线及其机织物,95.9,88.3,84.8
52,第52章棉花,94.1,37.2,35.0
53,第53章其他植物纺织纤维；纸纱线及其机织物,99.1,72.3,71.6
54,第54章化学纤维长丝；化学纤维纺织材料制扁条及类似品,104.0,78.7,81.9
55,第55章化学纤维短纤,99.9,91.4,91.4
56,第56章絮胎、毡呢及无纺织物；特种纱线；线、绳、索、缆及其制品,102.3,97.1,99.3
57,第57章地毯及纺织材料的其他铺地制品,84.8,100.3,85.1
58,第58章特种机织物；簇绒织物；花边；装饰毯；装饰带；刺绣品,105.8,82.3,87.2
59,第59章浸渍、涂布、包覆或层压的纺织物；工业用纺织制品,105.7,87.4,92.4
60,第60章针织物及钩编织物,103.5,89.3,92.4
61,第61章针织或钩编的服装及衣着附件,107.5,95.5,102.6
62,第62章非针织或非钩编的服装及衣着附件,97.5,107.4,104.7
63,第63章其他纺织制成品；成套物品；旧衣着及旧纺织品；碎织物,87.7,98.5,86.4
12类,第十二类 鞋帽伞等；羽毛品；人造花；人发品,104.9,91.6,96.1
64,第64章鞋靴、护腿和类似品及其零件,105.2,93.0,97.9
65,第65章帽类及其零件,74.7,134.9,100.8
66,第66章雨伞、阳伞、手杖、鞭子、马鞭及其零件,75.9,196.5,149.1
67,第67章已加工羽毛、羽绒及其制品；人造花；人发制品,108.8,81.6,88.8
13类,第十三类 矿物材料制品；陶瓷品；玻璃及制品,109.9,91.0,100.0
68,第68章石料、石膏、水泥、石棉、云母及类似材料的制品,99.4,111.7,111.0
69,第69章陶瓷产品,110.6,100.3,110.8
70,第70章玻璃及其制品,113.0,84.1,95.1
14类,第十四类 珠宝、贵金属及制品；仿首饰；硬币,130.8,42.1,55.1
71,第71章天然或养殖珍珠、宝石或半宝石、贵金属、包贵金属及其制品；仿首饰；硬币,130.8,42.1,55.1
15类,第十五类 贱金属及其制品,104.8,101.3,106.1
72,第72章钢铁,95.8,118.6,113.6
73,第73章钢铁制品,103.2,83.8,86.4
74,第74章铜及其制品,109.0,95.5,104.1
75,第75章镍及其制品,102.4,128.9,132.0
76,第76章铝及其制品,110.9,91.2,101.2
78,第78章铅及其制品,119.1,253.4,301.8
79,第79章锌及其制品,114.4,63.5,72.6
80,第80章锡及其制品,115.4,222.0,256.2
81,第81章其他贱金属、金属陶瓷及其制品,94.1,98.9,93.1
82,第82章贱金属工具、器具、利口器、餐匙、餐叉及其零件,92.4,113.2,104.7
83,第83章贱金属杂项制品,102.2,95.7,97.8
16类,第十六类 机电、音像设备及其零件、附件,94.6,117.7,111.4
84,第84章核反应堆、锅炉、机器、机械器具及零件,101.7,131.1,133.4
85,第85章电机、电气设备及其零件；录音机及放声机、电视图像、声音的录制和重放设备及其零件、附件,92.4,111.3,102.8
17类,第十七类 车辆、航空器、船舶及运输设备,107.1,92.8,99.3
86,第86章铁道及电车道机车、车辆及其零件；铁道及电车道轨道固定装置及其零件；附件；各种机械（包括电动机械）交通信号设备,126.8,55.7,70.7
87,第87章车辆及其零件、附件，但铁道及电车道车辆除外,96.4,73.1,70.4
88,第88章航空器、航天器及其零件,138.0,166.8,230.3
89,第89章船舶及浮动结构体,100.0,205.9,205.9
18类,第十八类 光学、医疗等仪器；钟表；乐器,104.0,93.3,97.1
90,第90章光学、照相、电影、计量、检验、医疗或外科用仪器及设备、精密仪器及设备；上述物品的零件、附件,105.0,93.9,98.6
91,第91章钟表及其零件,89.2,81.1,72.3
92,第92章乐器及其零件、附件,84.4,70.7,59.7
19类,第十九类 武器、弹药及其零件、附件,126.5,18.8,23.8
93,第93章武器、弹药及其零件、附件,126.5,18.8,23.8
20类,第二十类 杂项制品,96.0,104.6,100.4
94,第94章家具；寝具、褥垫、弹簧床垫、软坐垫及类似的填充制品；未列名灯具及照明装置；发光标志、发光铭牌及类似品；活动房屋,100.4,87.0,87.4
95,第95章玩具、游戏品、运动用品及其零件、附件,92.3,124.4,114.8
96,第96章杂项制品,96.4,99.8,96.2
21类,第二十一类 艺术品、收藏品及古物,143.6,416.9,598.9
97,第97章艺术品、收藏品及古物,143.6,416.9,598.9
22类,第二十二类 特殊交易品及未分类商品,104.3,77.8,81.2
98,第98章特殊交易品及未分类商品,104.3,77.8,81.2
