表十五 2025年3月份全国进口商品贸易同比指数（BEC分类）,表十五 2025年3月份全国进口商品贸易同比指数（BEC分类）,表十五 2025年3月份全国进口商品贸易同比指数（BEC分类）,表十五 2025年3月份全国进口商品贸易同比指数（BEC分类）,表十五 2025年3月份全国进口商品贸易同比指数（BEC分类）
"Table 15 Index Number of Imports by BEC,Mar. 2025","Table 15 Index Number of Imports by BEC,Mar. 2025","Table 15 Index Number of Imports by BEC,Mar. 2025","Table 15 Index Number of Imports by BEC,Mar. 2025","Table 15 Index Number of Imports by BEC,Mar. 2025"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
BEC编码 	code,商品名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
1,农业、林业、渔业、食品、饮料、烟草,97.7,90.9,88.8
111,中间品,96.1,81.3,78.1
1111,初级品,95.3,70.9,67.6
1112,加工品,98.0,107.2,105.1
112,资本品,82.1,104.6,85.9
113,消费品,100.6,104.2,104.8
1131,初级品,100.2,102.4,102.6
1132,加工品,104.4,123.8,129.2
2,采矿、采石、炼油、燃料、化学品、电力、水、废物处理,93.9,99.5,93.4
211,中间品,93.6,100.3,93.8
2111,初级品,92.1,100.4,92.5
2112,加工品,100.0,99.7,99.7
212,资本品,102.2,98.1,100.3
213,消费品,97.1,73.5,71.4
2131,初级品,97.1,73.5,71.4
3,建筑、木材、玻璃、石材、基础金属、住房、电器、家具,104.2,95.0,99.1
311,中间品,105.6,95.8,101.2
3111,初级品,110.0,88.2,97.0
3112,加工品,105.5,96.1,101.4
312,资本品,96.5,94.3,91.0
313,消费品,103.1,88.8,91.5
3131,初级品,102.3,87.4,89.3
3132,加工品,103.4,89.3,92.3
4,纺织品、服装、鞋,122.9,48.6,59.7
411,中间品,126.5,43.8,55.4
4111,初级品,91.5,32.7,29.9
4112,加工品,128.5,44.4,57.0
412,资本品,109.3,108.3,118.3
413,消费品,99.5,97.3,96.8
4131,初级品,121.0,28.6,34.6
4132,加工品,99.5,97.4,96.9
5,运输设备和服务、旅行、邮政服务,102.3,98.8,101.1
511,中间品,98.4,98.9,97.3
5111,初级品,93.0,81.9,76.2
5112,加工品,98.4,98.9,97.3
512,资本品,136.1,160.3,218.1
513,消费品,96.4,73.9,71.2
5132,加工品,96.4,73.9,71.2
6,信息和通信技术、媒体、计算机、商业和金融服务,93.4,123.4,115.3
611,中间品,92.2,113.1,104.3
6112,加工品,92.2,113.1,104.3
612,资本品,100.9,165.7,167.3
613,消费品,95.1,104.6,99.5
6131,初级品,103.6,31.0,32.1
6132,加工品,95.1,104.9,99.7
7,健康、制药、教育、文化、体育,105.6,92.7,97.9
711,中间品,110.9,88.1,97.7
7112,加工品,110.9,88.1,97.7
712,资本品,103.7,90.3,93.6
713,消费品,102.1,98.6,100.6
7131,初级品,91.8,99.3,91.2
7132,加工品,108.6,98.0,106.4
8,政府、军队和其他,89.3,123.5,110.3
811,中间品,101.2,121.1,122.6
8112,加工品,101.2,121.1,122.6
812,资本品,83.6,114.5,95.7
813,消费品,90.0,86.4,77.8
8131,初级品,130.8,16.4,21.4
8132,加工品,90.0,88.3,79.5
