表一 2025年5月份全国出口商品贸易同比指数（HS2分类）,表一 2025年5月份全国出口商品贸易同比指数（HS2分类）,表一 2025年5月份全国出口商品贸易同比指数（HS2分类）,表一 2025年5月份全国出口商品贸易同比指数（HS2分类）,表一 2025年5月份全国出口商品贸易同比指数（HS2分类）
30,第30章药品,93.0,133.9,124.5
31,第31章肥料,109.3,87.8,95.9
32,第32章鞣料浸膏及染料浸膏；鞣酸及其衍生物；染料、颜料及其他着色料；油漆及清漆；油灰及其他类似胶粘剂；墨水、油墨,92.1,102.9,94.8
33,第33章精油及香膏；芳香料制品及化妆盥洗品,93.7,112.5,105.4
34,第34章肥皂、有机表面活性剂、洗涤剂、润滑剂、人造蜡、调制蜡、光洁剂、蜡烛及类似品、塑型用膏、“牙科用蜡”及牙科用熟石膏制剂,102.4,116.6,119.4
35,第35章蛋白类物质；改性淀粉；胶；酶,97.9,112.1,109.7
36,第36章炸药；烟火制品；引火合金；易燃材料制品,89.2,81.6,72.8
37,第37章照相及电影用品,102.1,92.1,94.0
38,第38章杂项化学产品,96.5,114.2,110.2
7类,第七类 塑料及其制品；橡胶及其制品,94.1,111.4,104.9
39,第39章塑料及其制品,93.0,111.2,103.4
40,第40章橡胶及其制品,99.0,111.9,110.8
8类,第八类 革、毛皮及制品；箱包；肠线制品,90.3,102.3,92.4
41,第41章生皮（毛皮除外）及皮革,92.9,103.8,96.4
42,第42章皮革制品；鞍具及挽具；旅行用品、手提包及类似容器；动物肠线（蚕胶丝除外）制品,90.2,101.7,91.7
43,第43章毛皮、人造毛皮及其制品,96.7,141.1,136.5
9类,第九类 木及制品；木炭；软木；编结品,94.5,110.8,104.8
44,第44章木及木制品；木炭,94.6,111.1,105.1
45,第45章软木及软木制品,100.1,133.8,133.9
46,第46章稻草、秸秆、针茅或其他编结材料制品；篮筐及柳条编结品,93.2,106.1,98.9
10类,第十类 木浆等；废纸；纸、纸板及其制品,91.3,109.0,99.5
47,第47章木浆及其他纤维状纤维素浆；回收（废碎）纸及纸板,89.6,113.8,102.0
48,第48章纸及纸板；纸浆、纸或纸板制品,91.3,109.9,100.4
49,第49章书籍、报纸、印刷图画及其他印刷品；手稿、打字稿及设计图纸,91.0,102.6,93.4
11类,第十一类 纺织原料及纺织制品,94.6,107.9,102.1
50,第50章蚕丝,101.0,109.3,110.5
51,第51章羊毛、动物细毛或粗毛；马毛纱线及其机织物,102.5,101.7,104.2
52,第52章棉花,95.0,104.2,99.0
53,第53章其他植物纺织纤维；纸纱线及其机织物,83.5,99.6,83.2
54,第54章化学纤维长丝；化学纤维纺织材料制扁条及类似品,91.0,111.8,101.8
55,第55章化学纤维短纤,95.6,105.3,100.6
56,第56章絮胎、毡呢及无纺织物；特种纱线；线、绳、索、缆及其制品,97.8,107.6,105.3
57,第57章地毯及纺织材料的其他铺地制品,92.6,104.8,97.1
58,第58章特种机织物；簇绒织物；花边；装饰毯；装饰带；刺绣品,91.5,110.1,100.8
59,第59章浸渍、涂布、包覆或层压的纺织物；工业用纺织制品,95.2,103.3,98.4
60,第60章针织物及钩编织物,94.9,107.1,101.7
61,第61章针织或钩编的服装及衣着附件,93.6,109.2,102.2
62,第62章非针织或非钩编的服装及衣着附件,96.3,112.2,108.0
63,第63章其他纺织制成品；成套物品；旧衣着及旧纺织品；碎织物,96.5,98.4,95.0
12类,第十二类 鞋帽伞等；羽毛品；人造花；人发品,95.1,101.0,96.0
64,第64章鞋靴、护腿和类似品及其零件,95.8,101.2,96.9
65,第65章帽类及其零件,93.1,108.2,100.7
66,第66章雨伞、阳伞、手杖、鞭子、马鞭及其零件,100.4,87.1,87.5
67,第67章已加工羽毛、羽绒及其制品；人造花；人发制品,91.2,100.9,92.0
13类,第十三类 矿物材料制品；陶瓷品；玻璃及制品,99.2,103.0,102.2
68,第68章石料、石膏、水泥、石棉、云母及类似材料的制品,94.0,102.8,96.6
69,第69章陶瓷产品,107.8,108.0,116.4
70,第70章玻璃及其制品,94.4,99.0,93.4
14类,第十四类 珠宝、贵金属及制品；仿首饰；硬币,119.2,97.2,115.9
71,第71章天然或养殖珍珠、宝石或半宝石、贵金属、包贵金属及其制品；仿首饰；硬币,119.2,97.2,115.9
15类,第十五类 贱金属及其制品,94.5,111.9,105.8
72,第72章钢铁,90.5,118.6,107.3
73,第73章钢铁制品,93.3,120.5,112.4
74,第74章铜及其制品,101.5,80.3,81.5
75,第75章镍及其制品,87.4,119.9,104.8
76,第76章铝及其制品,103.7,100.4,104.1
78,第78章铅及其制品,104.3,217.2,226.5
79,第79章锌及其制品,117.3,86.2,101.2
80,第80章锡及其制品,103.6,128.0,132.6
81,第81章其他贱金属、金属陶瓷及其制品,97.7,109.1,106.6
82,第82章贱金属工具、器具、利口器、餐匙、餐叉及其零件,94.4,106.2,100.3
83,第83章贱金属杂项制品,93.0,108.0,100.4
16类,第十六类 机电、音像设备及其零件、附件,99.7,108.8,108.4
84,第84章核反应堆、锅炉、机器、机械器具及零件,97.8,109.0,106.5
85,第85章电机、电气设备及其零件；录音机及放声机、电视图像、声音的录制和重放设备及其零件、附件,100.8,108.7,109.6
17类,第十七类 车辆、航空器、船舶及运输设备,98.1,113.9,111.7
86,第86章铁道及电车道机车、车辆及其零件；铁道及电车道轨道固定装置及其零件；附件；各种机械（包括电动机械）交通信号设备,97.7,83.7,81.7
87,第87章车辆及其零件、附件，但铁道及电车道车辆除外,95.8,118.3,113.3
88,第88章航空器、航天器及其零件,100.3,109.0,109.4
89,第89章船舶及浮动结构体,114.1,103.6,118.2
18类,第十八类 光学、医疗等仪器；钟表；乐器,100.6,105.2,105.8
90,第90章光学、照相、电影、计量、检验、医疗或外科用仪器及设备、精密仪器及设备；上述物品的零件、附件,100.9,105.9,106.8
91,第91章钟表及其零件,94.2,107.9,101.6
92,第92章乐器及其零件、附件,102.4,82.4,84.4
19类,第十九类 武器、弹药及其零件、附件,123.3,54.6,67.3
93,第93章武器、弹药及其零件、附件,123.3,54.6,67.3
20类,第二十类 杂项制品,94.9,106.2,100.8
94,第94章家具；寝具、褥垫、弹簧床垫、软坐垫及类似的填充制品；未列名灯具及照明装置；发光标志、发光铭牌及类似品；活动房屋,94.4,99.2,93.6
95,第95章玩具、游戏品、运动用品及其零件、附件,97.3,118.8,115.5
96,第96章杂项制品,91.3,106.6,97.3
21类,第二十一类 艺术品、收藏品及古物,67.9,71.3,48.4
97,第97章艺术品、收藏品及古物,67.9,71.3,48.4
22类,第二十二类 特殊交易品及未分类商品,149.0,94.2,140.4
98,第98章特殊交易品及未分类商品,150.2,93.8,140.8
99,第99章跨境电商B2B简化申报商品,96.3,126.6,121.8
