表一 2025年5月份全国出口商品贸易同比指数（HS2分类）,表一 2025年5月份全国出口商品贸易同比指数（HS2分类）,表一 2025年5月份全国出口商品贸易同比指数（HS2分类）,表一 2025年5月份全国出口商品贸易同比指数（HS2分类）,表一 2025年5月份全国出口商品贸易同比指数（HS2分类）
"Table 1 Index Number of Exports by HS2,May 2025","Table 1 Index Number of Exports by HS2,May 2025","Table 1 Index Number of Exports by HS2,May 2025","Table 1 Index Number of Exports by HS2,May 2025","Table 1 Index Number of Exports by HS2,May 2025"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
HS编码 	code,商品名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
总指数,总指数,98.7,107.7,106.3
1类,第一类 活动物；动物产品,102.2,109.1,111.5
01,第1章活动物,92.6,99.3,91.9
02,第2章肉及食用杂碎,90.6,130.6,118.3
03,第3章鱼、甲壳动物、软体动物及其他水生无脊椎动物,102.8,107.2,110.2
04,第4章乳品；蛋品；天然蜂蜜；其他食用动物产品,91.6,138.2,126.7
05,第5章其他动物产品,113.5,99.9,113.3
2类,第二类 植物产品,90.4,110.9,100.3
06,第6章活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,104.6,105.1,110.0
07,第7章食用蔬菜、根及块茎,84.5,106.6,90.0
08,第8章食用水果及坚果；甜瓜或柑橘属水果的果皮,103.2,109.1,112.5
09,第9章咖啡、茶、马黛茶及调味香料,90.9,106.1,96.5
10,第10章谷物,79.4,126.6,100.5
11,第11章制粉工业产品；麦芽；淀粉；菊粉；面筋,91.6,203.9,186.8
12,第12章含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,91.4,119.1,108.8
13,第13章虫胶；树胶、树脂及其他植物液、汁,92.2,98.0,90.4
14,第14章编结用植物材料；其他植物产品,90.4,129.2,116.7
3类,第三类 动、植物油、脂、蜡；精制食用油脂,115.1,65.7,75.6
15,第15章动、植物或微生物油、脂及其分解产品；精制的食用油脂；动、植物蜡,115.1,65.7,75.6
4类,第四类 食品；饮料、酒及醋；烟草及制品,97.3,100.6,98.0
16,第16章肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物、昆虫的制品,98.3,104.1,102.2
17,第17章糖及糖食,99.6,104.8,104.4
18,第18章可可及可可制品,120.3,117.7,141.5
19,第19章谷物、粮食粉、淀粉或乳的制品；糕饼点心,94.5,112.5,106.3
20,第20章蔬菜、水果、坚果或植物其他部分的制品,91.7,106.2,97.4
21,第21章杂项食品,99.4,114.2,113.5
22,第22章饮料、酒及醋,92.8,121.8,113.1
23,第23章食品工业的残渣及废料；配制的动物饲料,97.9,101.9,99.8
24,第24章烟草、烟草及烟草代用品的制品；非经燃烧吸用的产品，不论是否含有尼古丁；其他供人体摄入尼古丁的含尼古丁的产品,100.8,71.9,72.5
5类,第五类 矿产品,91.3,90.3,82.5
25,第25章盐；硫磺；泥土及石料；石膏料、石灰及水泥,94.0,101.1,95.0
26,第26章矿砂、矿渣及矿灰,90.1,112.0,100.9
27,第27章矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,91.3,88.0,80.3
6类,第六类 化学工业及其相关工业的产品,95.5,105.4,100.7
28,第28章无机化学品；贵金属、稀土金属、放射性元素及其同位素的有机及无机化合物,92.4,89.7,82.9
29,第29章有机化学品,94.9,104.9,99.6
