表一 2025年2月份全国出口商品贸易同比指数（HS2分类）,表一 2025年2月份全国出口商品贸易同比指数（HS2分类）,表一 2025年2月份全国出口商品贸易同比指数（HS2分类）,表一 2025年2月份全国出口商品贸易同比指数（HS2分类）,表一 2025年2月份全国出口商品贸易同比指数（HS2分类）
"Table 1 Index Number of Exports by HS2, Feb. 2025","Table 1 Index Number of Exports by HS2, Feb. 2025","Table 1 Index Number of Exports by HS2, Feb. 2025","Table 1 Index Number of Exports by HS2, Feb. 2025","Table 1 Index Number of Exports by HS2, Feb. 2025"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
HS编码 	code,商品名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
62,第62章非针织或非钩编的服装及衣着附件,91.8,78.8,72.4
63,第63章其他纺织制成品；成套物品；旧衣着及旧纺织品；碎织物,95.2,83.2,79.1
12类,第十二类 鞋帽伞等；羽毛品；人造花；人发品,87.2,74.5,65.0
64,第64章鞋靴、护腿和类似品及其零件,86.9,73.7,64.0
65,第65章帽类及其零件,86.3,85.1,73.4
66,第66章雨伞、阳伞、手杖、鞭子、马鞭及其零件,94.3,75.7,71.4
67,第67章已加工羽毛、羽绒及其制品；人造花；人发制品,86.8,72.4,62.8
13类,第十三类 矿物材料制品；陶瓷品；玻璃及制品,79.5,88.8,70.6
68,第68章石料、石膏、水泥、石棉、云母及类似材料的制品,79.9,91.6,73.2
69,第69章陶瓷产品,74.9,85.0,63.6
70,第70章玻璃及其制品,83.2,91.3,75.9
14类,第十四类 珠宝、贵金属及制品；仿首饰；硬币,125.9,309.7,389.8
71,第71章天然或养殖珍珠、宝石或半宝石、贵金属、包贵金属及其制品；仿首饰；硬币,125.9,309.7,389.8
15类,第十五类 贱金属及其制品,89.9,103.4,92.9
72,第72章钢铁,87.6,119.5,104.7
73,第73章钢铁制品,85.5,100.6,86.1
74,第74章铜及其制品,110.0,124.2,136.7
75,第75章镍及其制品,93.1,430.0,400.1
76,第76章铝及其制品,102.0,89.8,91.6
78,第78章铅及其制品,105.4,189.0,199.1
79,第79章锌及其制品,111.3,65.7,73.2
80,第80章锡及其制品,120.4,259.4,312.2
81,第81章其他贱金属、金属陶瓷及其制品,88.9,87.9,78.1
82,第82章贱金属工具、器具、利口器、餐匙、餐叉及其零件,91.7,80.7,74.0
83,第83章贱金属杂项制品,83.8,83.5,69.9
16类,第十六类 机电、音像设备及其零件、附件,101.0,103.5,104.5
84,第84章核反应堆、锅炉、机器、机械器具及零件,100.6,101.0,101.5
85,第85章电机、电气设备及其零件；录音机及放声机、电视图像、声音的录制和重放设备及其零件、附件,101.3,105.1,106.5
17类,第十七类 车辆、航空器、船舶及运输设备,94.1,98.7,92.9
86,第86章铁道及电车道机车、车辆及其零件；铁道及电车道轨道固定装置及其零件；附件；各种机械（包括电动机械）交通信号设备,99.6,104.6,104.2
87,第87章车辆及其零件、附件，但铁道及电车道车辆除外,92.6,102.7,95.1
88,第88章航空器、航天器及其零件,88.4,120.9,106.9
89,第89章船舶及浮动结构体,103.9,69.0,71.7
18类,第十八类 光学、医疗等仪器；钟表；乐器,107.9,86.8,93.7
90,第90章光学、照相、电影、计量、检验、医疗或外科用仪器及设备、精密仪器及设备；上述物品的零件、附件,108.5,87.4,94.7
91,第91章钟表及其零件,103.2,85.6,88.3
92,第92章乐器及其零件、附件,98.6,71.3,70.3
19类,第十九类 武器、弹药及其零件、附件,99.8,65.7,65.5
93,第93章武器、弹药及其零件、附件,99.8,65.7,65.5
20类,第二十类 杂项制品,91.0,82.6,75.2
94,第94章家具；寝具、褥垫、弹簧床垫、软坐垫及类似的填充制品；未列名灯具及照明装置；发光标志、发光铭牌及类似品；活动房屋,83.0,84.4,70.1
95,第95章玩具、游戏品、运动用品及其零件、附件,106.0,81.2,86.1
96,第96章杂项制品,93.7,78.6,73.6
21类,第二十一类 艺术品、收藏品及古物,103.3,62.3,64.4
97,第97章艺术品、收藏品及古物,103.3,62.3,64.4
22类,第二十二类 特殊交易品及未分类商品,138.0,95.9,132.4
98,第98章特殊交易品及未分类商品,138.7,94.9,131.6
99,第99章跨境电商B2B简化申报商品,83.9,265.7,222.8
