表一 2024年11月份全国出口商品贸易同比指数（HS2分类）,表一 2024年11月份全国出口商品贸易同比指数（HS2分类）,表一 2024年11月份全国出口商品贸易同比指数（HS2分类）,表一 2024年11月份全国出口商品贸易同比指数（HS2分类）,表一 2024年11月份全国出口商品贸易同比指数（HS2分类）
"Table 1 Index Number of Exports by HS2,Nov. 2024","Table 1 Index Number of Exports by HS2,Nov. 2024","Table 1 Index Number of Exports by HS2,Nov. 2024","Table 1 Index Number of Exports by HS2,Nov. 2024","Table 1 Index Number of Exports by HS2,Nov. 2024"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
HS编码 	code,商品名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
总指数,总指数,94.7,111.6,105.8
1类,第一类 活动物；动物产品,95.2,115.4,109.9
01,第1章活动物,95.5,107.0,102.2
02,第2章肉及食用杂碎,92.6,141.6,131.2
03,第3章鱼、甲壳动物、软体动物及其他水生无脊椎动物,94.0,114.2,107.3
04,第4章乳品；蛋品；天然蜂蜜；其他食用动物产品,93.2,114.3,106.6
05,第5章其他动物产品,108.7,110.0,119.6
2类,第二类 植物产品,93.5,109.4,102.2
06,第6章活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,106.7,108.8,116.1
07,第7章食用蔬菜、根及块茎,94.0,113.7,106.8
08,第8章食用水果及坚果；甜瓜或柑橘属水果的果皮,92.0,110.6,101.7
09,第9章咖啡、茶、马黛茶及调味香料,92.7,110.9,102.8
10,第10章谷物,95.8,73.2,70.2
11,第11章制粉工业产品；麦芽；淀粉；菊粉；面筋,83.1,124.6,103.5
12,第12章含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,97.4,101.6,99.0
13,第13章虫胶；树胶、树脂及其他植物液、汁,89.0,109.2,97.2
14,第14章编结用植物材料；其他植物产品,94.6,131.7,124.6
3类,第三类 动、植物油、脂、蜡；精制食用油脂,98.3,140.6,138.1
15,第15章动、植物或微生物油、脂及其分解产品；精制的食用油脂；动、植物蜡,98.3,140.6,138.1
4类,第四类 食品；饮料、酒及醋；烟草及制品,94.4,112.1,105.9
16,第16章肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物、昆虫的制品,95.0,116.4,110.6
17,第17章糖及糖食,96.8,107.9,104.5
18,第18章可可及可可制品,116.0,108.2,125.5
19,第19章谷物、粮食粉、淀粉或乳的制品；糕饼点心,99.3,113.7,112.9
20,第20章蔬菜、水果、坚果或植物其他部分的制品,90.7,116.5,105.6
21,第21章杂项食品,97.9,118.6,116.0
22,第22章饮料、酒及醋,84.5,108.9,92.0
23,第23章食品工业的残渣及废料；配制的动物饲料,90.1,122.0,110.0
24,第24章烟草、烟草及烟草代用品的制品；非经燃烧吸用的产品，不论是否含有尼古丁；其他供人体摄入尼古丁的含尼古丁的产品,97.4,98.5,95.9
5类,第五类 矿产品,87.6,103.5,90.7
25,第25章盐；硫磺；泥土及石料；石膏料、石灰及水泥,95.4,98.7,94.1
26,第26章矿砂、矿渣及矿灰,88.0,113.4,99.7
27,第27章矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,87.2,103.2,90.0
6类,第六类 化学工业及其相关工业的产品,94.1,106.4,100.1
28,第28章无机化学品；贵金属、稀土金属、放射性元素及其同位素的有机及无机化合物,89.5,81.5,72.9
29,第29章有机化学品,93.8,118.0,110.7
30,第30章药品,99.0,104.9,103.9
31,第31章肥料,101.6,91.7,93.1
32,第32章鞣料浸膏及染料浸膏；鞣酸及其衍生物；染料、颜料及其他着色料；油漆及清漆；油灰及其他类似胶粘剂；墨水、油墨,94.2,117.7,110.8
33,第33章精油及香膏；芳香料制品及化妆盥洗品,93.3,124.3,116.0
34,第34章肥皂、有机表面活性剂、洗涤剂、润滑剂、人造蜡、调制蜡、光洁剂、蜡烛及类似品、塑型用膏、“牙科用蜡”及牙科用熟石膏制剂,100.5,111.7,112.3
35,第35章蛋白类物质；改性淀粉；胶；酶,93.2,118.6,110.5
36,第36章炸药；烟火制品；引火合金；易燃材料制品,97.0,118.7,115.1
37,第37章照相及电影用品,98.0,112.0,109.7
38,第38章杂项化学产品,92.5,100.4,92.9
7类,第七类 塑料及其制品；橡胶及其制品,92.9,113.1,105.1
39,第39章塑料及其制品,91.4,114.8,104.9
40,第40章橡胶及其制品,99.1,106.5,105.5
8类,第八类 革、毛皮及制品；箱包；肠线制品,88.7,105.9,93.9
41,第41章生皮（毛皮除外）及皮革,93.6,128.3,120.1
42,第42章皮革制品；鞍具及挽具；旅行用品、手提包及类似容器；动物肠线（蚕胶丝除外）制品,89.3,107.4,95.8
43,第43章毛皮、人造毛皮及其制品,71.7,63.7,45.7
9类,第九类 木及制品；木炭；软木；编结品,87.5,119.3,104.4
44,第44章木及木制品；木炭,88.8,118.4,105.1
45,第45章软木及软木制品,98.2,90.5,88.9
46,第46章稻草、秸秆、针茅或其他编结材料制品；篮筐及柳条编结品,73.1,131.7,96.3
10类,第十类 木浆等；废纸；纸、纸板及其制品,89.4,112.9,100.9
47,第47章木浆及其他纤维状纤维素浆；回收（废碎）纸及纸板,89.8,100.8,90.5
48,第48章纸及纸板；纸浆、纸或纸板制品,88.9,112.7,100.2
