表一 2023年11月份全国出口商品贸易同比指数（HS2分类）,表一 2023年11月份全国出口商品贸易同比指数（HS2分类）,表一 2023年11月份全国出口商品贸易同比指数（HS2分类）,表一 2023年11月份全国出口商品贸易同比指数（HS2分类）,表一 2023年11月份全国出口商品贸易同比指数（HS2分类）
"Table 1 Index Number of Exports by HS2,Nov. 2023","Table 1 Index Number of Exports by HS2,Nov. 2023","Table 1 Index Number of Exports by HS2,Nov. 2023","Table 1 Index Number of Exports by HS2,Nov. 2023","Table 1 Index Number of Exports by HS2,Nov. 2023"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
HS编码 code,商品名称 Description,价格指数 Unit value,数量指数 Quantum,价值指数 Value
总指数,总指数,90.8,112.0,101.7
1类,第一类 活动物；动物产品,91.4,96.1,87.9
01,第1章活动物,82.0,101.3,83.0
02,第2章肉及食用杂碎,90.2,119.7,107.9
03,第3章鱼、甲壳动物、软体动物及其他水生无脊椎动物,90.6,96.1,87.0
04,第4章乳品；蛋品；天然蜂蜜；其他食用动物产品,93.8,123.6,115.9
05,第5章其他动物产品,101.4,73.4,74.4
2类,第二类 植物产品,97.5,116.4,113.6
06,第6章活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,78.3,130.8,102.5
07,第7章食用蔬菜、根及块茎,105.2,116.2,122.3
08,第8章食用水果及坚果；甜瓜或柑橘属水果的果皮,90.3,139.8,126.3
09,第9章咖啡、茶、马黛茶及调味香料,94.2,97.6,92.0
10,第10章谷物,141.0,76.1,107.3
11,第11章制粉工业产品；麦芽；淀粉；菊粉；面筋,90.7,79.3,72.0
12,第12章含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,100.6,121.3,122.1
13,第13章虫胶；树胶、树脂及其他植物液、汁,77.6,110.7,85.9
14,第14章编结用植物材料；其他植物产品,90.7,111.4,101.0
3类,第三类 动、植物油、脂、蜡；精制食用油脂,82.3,166.7,137.3
15,第15章动、植物或微生物油、脂及其分解产品；精制的食用油脂；动、植物蜡,82.3,166.7,137.3
4类,第四类 食品；饮料、酒及醋；烟草及制品,91.1,115.7,105.4
16,第16章肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物、昆虫的制品,96.8,108.0,104.6
17,第17章糖及糖食,100.1,131.2,131.3
18,第18章可可及可可制品,102.0,117.4,119.7
19,第19章谷物、粮食粉、淀粉或乳的制品；糕饼点心,101.5,108.7,110.4
20,第20章蔬菜、水果、坚果或植物其他部分的制品,97.5,93.7,91.3
21,第21章杂项食品,76.3,110.7,84.5
22,第22章饮料、酒及醋,115.8,116.0,134.4
23,第23章食品工业的残渣及废料；配制的动物饲料,75.5,142.6,107.7
24,第24章烟草、烟草及烟草代用品的制品；非经燃烧吸用的产品，不论是否含有尼古丁；其他供人体摄入尼古丁的含尼古丁的产品,82.4,146.2,120.5
5类,第五类 矿产品,96.7,86.8,83.9
25,第25章盐；硫磺；泥土及石料；石膏料、石灰及水泥,84.5,96.9,81.8
26,第26章矿砂、矿渣及矿灰,111.5,102.6,114.5
27,第27章矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,96.8,85.5,82.8
6类,第六类 化学工业及其相关工业的产品,82.3,113.5,93.5
28,第28章无机化学品；贵金属、稀土金属、放射性元素及其同位素的有机及无机化合物,80.5,108.3,87.2
29,第29章有机化学品,85.3,110.8,94.5
30,第30章药品,77.3,117.1,90.6
31,第31章肥料,71.7,159.7,114.5
32,第32章鞣料浸膏及染料浸膏；鞣酸及其衍生物；染料、颜料及其他着色料；油漆及清漆；油灰及其他类似胶粘剂；墨水、油墨,90.2,123.0,110.9
33,第33章精油及香膏；芳香料制品及化妆盥洗品,89.3,117.8,105.3
34,第34章肥皂、有机表面活性剂、洗涤剂、润滑剂、人造蜡、调制蜡、光洁剂、蜡烛及类似品、塑型用膏、“牙科用蜡”及牙科用熟石膏制剂,83.6,128.9,107.7
35,第35章蛋白类物质；改性淀粉；胶；酶,88.1,110.3,97.1
36,第36章炸药；烟火制品；引火合金；易燃材料制品,101.3,142.3,144.2
37,第37章照相及电影用品,96.9,91.2,88.4
38,第38章杂项化学产品,77.5,106.2,82.3
7类,第七类 塑料及其制品；橡胶及其制品,84.9,124.9,106.1
39,第39章塑料及其制品,83.0,123.4,102.5
