表二 2024年10月份全国出口商品贸易同比指数（SITC2分类）,表二 2024年10月份全国出口商品贸易同比指数（SITC2分类）,表二 2024年10月份全国出口商品贸易同比指数（SITC2分类）,表二 2024年10月份全国出口商品贸易同比指数（SITC2分类）,表二 2024年10月份全国出口商品贸易同比指数（SITC2分类）
"Table 2 Index Number of Exports by SITC2,Oct. 2024","Table 2 Index Number of Exports by SITC2,Oct. 2024","Table 2 Index Number of Exports by SITC2,Oct. 2024","Table 2 Index Number of Exports by SITC2,Oct. 2024","Table 2 Index Number of Exports by SITC2,Oct. 2024"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
SITC编码 	code,商品名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
0-4,初级产品,91.4,105.4,96.3
0,食品及活动物,92.8,121.1,112.3
00,活动物（03章动物除外）,98.7,107.8,106.4
01,肉及肉制品,93.6,119.5,111.8
02,乳品及蛋品,92.8,100.3,93.1
03,鱼（海生哺乳动物除外）、甲壳动物、软体动物、水生无脊椎动物及其制品,93.4,114.7,107.1
04,谷物及谷物制品,97.1,124.1,120.6
05,蔬菜及水果,92.2,122.8,113.2
06,糖、糖制品及蜂蜜,94.2,121.2,114.2
07,咖啡、茶、马黛茶、调味香料及其制品,91.8,123.4,113.4
08,动物饲料（不包括未碾磨谷物）,85.1,143.9,122.5
09,杂项食品,95.4,121.4,115.8
1,饮料及烟类,98.7,101.8,100.5
11,饮料,98.6,98.8,97.4
12,烟草及烟草制品,98.9,110.6,109.4
2,非食用原料（燃料除外）,96.7,108.7,105.2
21,生皮及生毛皮,120.6,97.0,117.0
22,含油子仁及果实,92.3,82.5,76.1
23,生橡胶（包括合成橡胶及再生橡胶）,108.8,120.2,130.8
24,软木及木材,88.1,103.4,91.1
25,纸浆及废纸,94.5,97.4,92.0
26,纺织纤维（不包括羊毛条及其他精梳羊毛）及其废料,99.2,99.3,98.5
27,天然肥料（不包括第56章的货品）及矿物（煤、石油及宝石除外）,95.2,87.1,82.9
28,金属矿砂及金属废料,93.8,137.0,128.5
29,其他动、植物原料,95.4,120.9,115.4
3,矿物燃料、润滑油及有关原料,86.7,85.1,73.7
32,煤、焦炭及煤砖,79.5,90.5,71.9
33,石油、石油产品及有关原料,85.0,82.6,70.2
34,天然气及人造气,106.1,110.3,117.0
35,电力,104.0,96.5,100.4
4,动、植物油、脂及蜡,98.2,95.3,93.6
41,动物油、脂,131.4,103.4,135.8
42,初榨、精制或分离的固定植物油、脂,92.5,96.9,89.6
43,已加工的动、植物油、脂;动植物蜡;动植物油、脂制成的未列名非食用混合物或制品,92.3,94.3,87.0
5-9,工业制品,94.9,117.9,112.0
5,化学品及有关产品,92.5,116.6,107.9
51,有机化学品,89.6,120.7,108.2
52,无机化学品,88.3,96.9,85.6
53,染料、鞣料及着色料,93.2,128.2,119.6
54,医药品,98.6,123.3,121.6
55,精油、香膏及芳香料;盥洗及光洁制品,94.1,128.0,120.5
56,肥料（272组货品除外）,103.7,87.6,90.8
57,初级形状的塑料,95.2,133.5,127.1
58,非初级形状的塑料,90.4,127.4,115.1
59,未列名化学原料及产品,92.3,104.7,96.7
6,按原料分类的制成品,91.6,126.0,115.4
61,皮革、皮革制品及已鞣毛皮,94.6,119.3,112.8
62,橡胶制品,97.1,116.0,112.6
63,软木及木制品（家俱除外）,89.8,129.2,116.0
64,纸、纸板及纸浆、纸或纸板制品,89.4,123.3,110.3
65,纺织纱线、织物未列名制品及有关产品,93.6,123.1,115.2
66,未列名非金属矿物制品,86.4,109.3,94.5
67,钢铁,89.1,145.1,129.3
68,有色金属,103.0,128.6,132.5
69,未列名金属制品,89.5,127.1,113.8
7,机械及运输设备,96.5,117.0,112.9
71,动力机械及设备,97.7,124.8,121.9
72,特种工业专用机械,95.5,129.6,123.8
73,金工机械,99.7,120.9,120.5
74,通用工业机械设备及零件,95.7,133.5,127.8
75,办公室用机械及自动数据处理设备,107.0,107.3,114.8
76,电信及声音的录制或重放装置及设备,95.1,107.1,101.9
77,未列名电力机械、装置、器具及其电气零件（包括相应家用电器的非电器零件,96.3,117.5,113.2
78,陆路车辆（包括气垫式）,90.8,125.4,113.9
79,其他运输设备,97.8,116.0,113.4
8,杂项制品,88.5,117.6,104.1
81,活动房屋;卫生、水道、供热及照明装置,86.0,117.6,101.1
82,家俱及其零件;寝俱、褥垫、弹簧床垫、软座垫及类似的填充制品,83.0,124.0,103.0
83,旅行用品、手提包及类似容器,83.6,119.8,100.2
84,服装及衣着附件,88.9,120.5,107.0
85,鞋靴,87.2,113.4,98.9
87,专业、科学及控制用仪器及设备,97.5,120.4,117.4
88,摄影器材及光学物品;钟表,94.5,111.9,105.8
89,未列名杂项制品,89.5,114.2,102.2
9,未分类的商品及交易品,146.6,99.3,145.6
97,金，非货币（不包括黄金矿砂及精矿）,134.3,355.8,478.0
98,其他,147.9,88.0,130.1
