表四 2025年5月份全国出口商品贸易同比指数（国民经济行业分类）,表四 2025年5月份全国出口商品贸易同比指数（国民经济行业分类）,表四 2025年5月份全国出口商品贸易同比指数（国民经济行业分类）,表四 2025年5月份全国出口商品贸易同比指数（国民经济行业分类）
"Table 4 Index Number of Exports by Industry,May 2025","Table 4 Index Number of Exports by Industry,May 2025","Table 4 Index Number of Exports by Industry,May 2025","Table 4 Index Number of Exports by Industry,May 2025"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
行业名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
农、林、牧、渔业,89.1,105.4,93.9
农业,88.0,106.2,93.5
林业,93.6,149.4,139.8
畜牧业,92.0,102.7,94.4
渔业,98.9,95.1,94.1
采矿业,89.9,108.8,97.8
煤炭开采和洗选业,82.2,136.7,112.4
石油和天然气开采业,101.6,120.5,122.4
黑色金属矿采选业,88.7,105.4,93.6
有色金属矿采选业,97.0,128.1,124.2
非金属矿采选业,80.8,88.1,71.2
制造业,98.8,107.7,106.3
消费品制造业,95.5,106.1,101.4
农副食品加工业,100.2,103.6,103.7
食品制造业,95.5,111.0,105.9
酒、饮料和精制茶制造业,94.7,124.8,118.2
烟草制品业,99.6,67.7,67.4
纺织业,94.9,104.9,99.6
纺织服装、服饰业,94.7,110.4,104.6
皮革、毛皮、羽毛及其制品和制鞋业,92.8,102.6,95.2
家具制造业,96.0,96.2,92.4
造纸和纸制品业,90.4,110.8,100.2
印刷和记录媒介复制业,93.9,99.1,93.1
文教、工美、体育和娱乐用品制造业,98.2,108.3,106.3
医药制造业,96.6,115.3,111.4
化学纤维制造业,92.1,115.3,106.1
原材料制造业,96.5,104.5,100.8
石油、煤炭及其他燃料加工业,91.3,88.9,81.1
化学原料和化学制品制造业,95.2,106.0,100.9
非金属矿物制品业,99.2,102.2,101.4
黑色金属冶炼和压延加工业,91.4,119.1,108.8
有色金属冶炼和压延加工业,109.3,96.5,105.5
装备制造业,98.8,109.8,108.4
金属制品业,93.9,110.2,103.5
通用设备制造业,96.7,113.6,109.9
专用设备制造业,102.3,110.2,112.7
汽车制造业,96.3,119.4,115.0
铁路、船舶、航空航天和其他运输设备制造业,104.1,113.8,118.5
电气机械和器材制造业,98.1,108.1,106.1
计算机、通信和其他电子设备制造业,100.2,106.6,106.8
仪器仪表制造业,102.6,105.6,108.3
木材加工和木、竹、藤、棕、草制品业,94.6,111.3,105.2
橡胶和塑料制品业,94.4,108.4,102.3
其他制造业,137.7,95.3,131.2
废弃资源综合利用业,94.5,68.2,64.4
电力、热力、燃气及水生产和供应业,92.4,164.1,151.6
电力、热力生产和供应业,92.4,164.1,151.6
文化、体育和娱乐业,102.6,105.1,107.8
新闻和出版业,102.6,105.1,107.8
