表十六 2024年10月份全国进口商品贸易同比指数（国民经济行业分类）,表十六 2024年10月份全国进口商品贸易同比指数（国民经济行业分类）,表十六 2024年10月份全国进口商品贸易同比指数（国民经济行业分类）,表十六 2024年10月份全国进口商品贸易同比指数（国民经济行业分类）
"Table 16 Index Number of Imports by Industry,Oct. 2024","Table 16 Index Number of Imports by Industry,Oct. 2024","Table 16 Index Number of Imports by Industry,Oct. 2024","Table 16 Index Number of Imports by Industry,Oct. 2024"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
行业名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
农、林、牧、渔业,90.3,108.6,98.1
农业,87.4,112.1,98.0
林业,116.0,89.0,103.2
畜牧业,97.3,71.5,69.5
渔业,88.5,121.7,107.7
采矿业,86.6,98.7,85.4
煤炭开采和洗选业,90.3,124.9,112.7
石油和天然气开采业,83.7,95.3,79.7
黑色金属矿采选业,79.1,104.9,83.0
有色金属矿采选业,109.0,101.9,111.1
非金属矿采选业,91.4,60.9,55.7
制造业,103.1,97.8,100.9
消费品制造业,101.8,95.0,96.7
农副食品加工业,95.0,89.4,85.0
食品制造业,108.5,97.7,106.1
酒、饮料和精制茶制造业,96.1,104.9,100.8
烟草制品业,115.9,90.3,104.7
纺织业,97.0,86.6,84.0
纺织服装、服饰业,90.7,122.4,111.1
皮革、毛皮、羽毛及其制品和制鞋业,95.6,98.9,94.5
家具制造业,99.6,97.4,97.0
造纸和纸制品业,112.6,89.1,100.3
印刷和记录媒介复制业,101.8,98.5,100.3
文教、工美、体育和娱乐用品制造业,88.3,92.4,81.5
医药制造业,112.8,101.7,114.7
化学纤维制造业,99.9,106.5,106.4
原材料制造业,106.8,96.2,102.7
石油、煤炭及其他燃料加工业,94.8,106.7,101.1
化学原料和化学制品制造业,101.1,96.5,97.5
非金属矿物制品业,103.0,96.5,99.4
黑色金属冶炼和压延加工业,92.0,78.7,72.4
有色金属冶炼和压延加工业,121.2,97.0,117.5
装备制造业,101.5,99.5,101.0
金属制品业,104.4,96.5,100.7
通用设备制造业,102.9,96.5,99.3
专用设备制造业,99.6,85.6,85.3
汽车制造业,102.3,61.7,63.1
铁路、船舶、航空航天和其他运输设备制造业,95.8,165.2,158.2
电气机械和器材制造业,98.4,93.4,91.9
计算机、通信和其他电子设备制造业,101.8,107.3,109.2
仪器仪表制造业,104.4,91.9,95.9
木材加工和木、竹、藤、棕、草制品业,105.9,91.8,97.2
橡胶和塑料制品业,104.8,96.6,101.3
其他制造业,98.7,80.1,79.1
废弃资源综合利用业,110.2,108.4,119.4
电力、热力、燃气及水生产和供应业,92.5,96.9,89.6
电力、热力生产和供应业,92.5,96.9,89.6
文化、体育和娱乐业,112.2,102.7,115.2
新闻和出版业,112.2,102.7,115.2
