表十四 2024年10月份全国进口商品贸易同比指数（SITC2分类）,表十四 2024年10月份全国进口商品贸易同比指数（SITC2分类）,表十四 2024年10月份全国进口商品贸易同比指数（SITC2分类）,表十四 2024年10月份全国进口商品贸易同比指数（SITC2分类）,表十四 2024年10月份全国进口商品贸易同比指数（SITC2分类）
"Table 14 Index Number of Imports by SITC2,Oct. 2024","Table 14 Index Number of Imports by SITC2,Oct. 2024","Table 14 Index Number of Imports by SITC2,Oct. 2024","Table 14 Index Number of Imports by SITC2,Oct. 2024","Table 14 Index Number of Imports by SITC2,Oct. 2024"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
SITC编码 	code,商品名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
0-4,初级产品,90.0,99.2,89.3
0,食品及活动物,96.0,89.2,85.6
00,活动物（03章动物除外）,80.9,61.1,49.4
01,肉及肉制品,97.4,100.5,97.9
02,乳品及蛋品,106.9,87.9,94.0
03,鱼（海生哺乳动物除外）、甲壳动物、软体动物、水生无脊椎动物及其制品,93.9,104.8,98.5
04,谷物及谷物制品,86.0,54.4,46.8
05,蔬菜及水果,99.0,91.0,90.0
06,糖、糖制品及蜂蜜,91.2,71.8,65.5
07,咖啡、茶、马黛茶、调味香料及其制品,114.0,92.2,105.1
08,动物饲料（不包括未碾磨谷物）,82.3,96.7,79.6
09,杂项食品,106.7,100.2,106.9
1,饮料及烟类,96.9,91.6,88.8
11,饮料,95.3,103.0,98.1
12,烟草及烟草制品,115.8,40.5,46.8
2,非食用原料（燃料除外）,94.2,104.3,98.2
21,生皮及生毛皮,93.6,87.7,82.1
22,含油子仁及果实,84.1,168.0,141.3
23,生橡胶（包括合成橡胶及再生橡胶）,125.9,104.4,131.5
24,软木及木材,104.2,90.7,94.5
25,纸浆及废纸,115.6,89.5,103.4
26,纺织纤维（不包括羊毛条及其他精梳羊毛）及其废料,97.9,59.5,58.3
27,天然肥料（不包括第56章的货品）及矿物（煤、石油及宝石除外）,103.4,52.1,53.8
28,金属矿砂及金属废料,92.2,103.5,95.5
29,其他动、植物原料,102.2,102.4,104.7
3,矿物燃料、润滑油及有关原料,85.4,98.7,84.3
32,煤、焦炭及煤砖,90.3,125.0,112.9
33,石油、石油产品及有关原料,81.7,91.9,75.1
34,天然气及人造气,101.9,119.9,122.1
35,电力,92.5,96.9,89.6
4,动、植物油、脂及蜡,100.1,67.6,67.7
41,动物油、脂,58.6,226.5,132.6
42,初榨、精制或分离的固定植物油、脂,102.6,60.8,62.4
43,已加工的动、植物油、脂;动植物蜡;动植物油、脂制成的未列名非食用混合物或制品,128.7,72.4,93.1
5-9,工业制品,103.4,98.0,101.3
5,化学品及有关产品,103.3,97.4,100.6
51,有机化学品,98.7,107.3,105.9
52,无机化学品,97.2,94.9,92.3
53,染料、鞣料及着色料,105.9,97.0,102.7
54,医药品,113.0,100.1,113.1
55,精油、香膏及芳香料;盥洗及光洁制品,108.7,86.5,94.1
56,肥料（272组货品除外）,89.6,95.6,85.6
57,初级形状的塑料,100.8,92.8,93.6
58,非初级形状的塑料,105.7,98.7,104.3
59,未列名化学原料及产品,99.1,93.1,92.3
6,按原料分类的制成品,102.1,89.6,91.5
61,皮革、皮革制品及已鞣毛皮,103.5,104.4,108.1
62,橡胶制品,102.1,91.3,93.2
63,软木及木制品（家俱除外）,114.2,85.8,98.0
64,纸、纸板及纸浆、纸或纸板制品,102.5,86.3,88.5
65,纺织纱线、织物未列名制品及有关产品,95.5,86.7,82.8
66,未列名非金属矿物制品,92.3,101.4,93.6
67,钢铁,92.1,78.9,72.7
68,有色金属,108.2,93.2,100.9
69,未列名金属制品,108.6,91.5,99.3
7,机械及运输设备,101.4,100.1,101.6
71,动力机械及设备,103.9,101.1,105.1
72,特种工业专用机械,95.6,86.5,82.8
73,金工机械,102.4,87.4,89.5
74,通用工业机械设备及零件,103.0,96.5,99.5
75,办公室用机械及自动数据处理设备,129.7,113.8,147.6
76,电信及声音的录制或重放装置及设备,94.2,90.8,85.5
77,未列名电力机械、装置、器具及其电气零件（包括相应家用电器的非电器零件,99.0,105.1,104.1
78,陆路车辆（包括气垫式）,102.9,61.4,63.1
79,其他运输设备,95.1,182.3,173.4
8,杂项制品,98.9,96.3,95.3
81,活动房屋;卫生、水道、供热及照明装置,118.9,69.3,82.4
82,家俱及其零件;寝俱、褥垫、弹簧床垫、软座垫及类似的填充制品,98.1,95.9,94.0
83,旅行用品、手提包及类似容器,90.9,93.2,84.7
84,服装及衣着附件,91.3,121.4,110.9
85,鞋靴,95.9,102.0,97.7
87,专业、科学及控制用仪器及设备,102.5,93.2,95.6
88,摄影器材及光学物品;钟表,109.7,90.9,99.7
89,未列名杂项制品,91.4,98.2,89.7
9,未分类的商品及交易品,136.7,96.9,132.4
97,金，非货币（不包括黄金矿砂及精矿）,137.9,101.9,140.4
98,其他,98.5,79.6,78.4
