表三 2023年12月份全国出口商品贸易同比指数（BEC分类）,表三 2023年12月份全国出口商品贸易同比指数（BEC分类）,表三 2023年12月份全国出口商品贸易同比指数（BEC分类）,表三 2023年12月份全国出口商品贸易同比指数（BEC分类）,表三 2023年12月份全国出口商品贸易同比指数（BEC分类）
"Table 3 Index Number of Exports by BEC,Dec. 2023","Table 3 Index Number of Exports by BEC,Dec. 2023","Table 3 Index Number of Exports by BEC,Dec. 2023","Table 3 Index Number of Exports by BEC,Dec. 2023","Table 3 Index Number of Exports by BEC,Dec. 2023"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
BEC编码 	code,商品名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
1,食品和饮料,95.7,104.7,100.3
11,初级品,96.3,110.6,106.6
111,主要用于工业,94.6,112.0,106.0
112,主要用于家庭消费,96.6,110.4,106.7
12,加工品,95.4,101.8,97.2
121,主要用于工业,95.0,112.4,106.8
122,主要用于家庭消费,95.5,101.0,96.5
2,未列名的工业供应品,92.5,111.2,102.8
21,初级品,92.7,92.1,85.3
22,加工品,92.5,111.5,103.1
3,燃料和润滑油,97.9,67.5,66.1
31,初级品,87.3,120.7,105.3
32,加工品,98.5,65.4,64.4
321,车用,99.0,58.9,58.3
322,其他,92.4,173.7,160.6
4,资本货品(运输设备除外)及其零件和附件,89.3,110.9,99.1
41,资本货品(运输设备除外),88.1,113.0,99.5
42,零件和附件,92.5,105.8,97.9
5,运输设备及其零件和附件,97.5,121.5,118.5
51,机动小客车,109.2,145.3,158.6
52,其他,92.9,142.5,132.4
521,工业用,94.4,145.5,137.3
522,非工业用,87.6,128.3,112.3
53,零件和附件,96.1,106.4,102.2
6,未列名的消费品,92.1,115.7,106.6
61,耐用品,92.1,118.3,109.0
62,半耐用品,91.8,113.6,104.3
63,非耐用品,93.2,121.1,112.8
7,未列名的货品,76.2,246.8,188.1
