表十四 2024年11月份全国进口商品贸易同比指数（SITC2分类）,表十四 2024年11月份全国进口商品贸易同比指数（SITC2分类）,表十四 2024年11月份全国进口商品贸易同比指数（SITC2分类）,表十四 2024年11月份全国进口商品贸易同比指数（SITC2分类）,表十四 2024年11月份全国进口商品贸易同比指数（SITC2分类）
"Table 14 Index Number of Imports by SITC2,Nov. 2024","Table 14 Index Number of Imports by SITC2,Nov. 2024","Table 14 Index Number of Imports by SITC2,Nov. 2024","Table 14 Index Number of Imports by SITC2,Nov. 2024","Table 14 Index Number of Imports by SITC2,Nov. 2024"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
SITC编码 	code,商品名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
0-4,初级产品,91.2,101.2,92.3
0,食品及活动物,97.1,90.7,88.1
00,活动物（03章动物除外）,102.6,38.5,39.5
01,肉及肉制品,96.4,106.8,102.9
02,乳品及蛋品,108.0,108.9,117.6
03,鱼（海生哺乳动物除外）、甲壳动物、软体动物、水生无脊椎动物及其制品,99.0,109.7,108.6
04,谷物及谷物制品,87.0,40.6,35.3
05,蔬菜及水果,100.0,98.7,98.7
06,糖、糖制品及蜂蜜,87.8,126.5,111.1
07,咖啡、茶、马黛茶、调味香料及其制品,116.4,94.3,109.7
08,动物饲料（不包括未碾磨谷物）,80.0,59.3,47.5
09,杂项食品,111.3,108.8,121.1
1,饮料及烟类,95.7,103.8,99.4
11,饮料,94.9,109.8,104.2
12,烟草及烟草制品,105.3,58.7,61.8
2,非食用原料（燃料除外）,95.7,96.0,91.9
21,生皮及生毛皮,90.2,94.2,85.0
22,含油子仁及果实,84.9,96.8,82.1
23,生橡胶（包括合成橡胶及再生橡胶）,131.1,103.5,135.7
24,软木及木材,101.6,92.2,93.7
25,纸浆及废纸,109.7,89.2,97.9
26,纺织纤维（不包括羊毛条及其他精梳羊毛）及其废料,96.7,55.4,53.6
27,天然肥料（不包括第56章的货品）及矿物（煤、石油及宝石除外）,79.9,92.1,73.6
28,金属矿砂及金属废料,95.9,98.0,94.0
29,其他动、植物原料,98.3,106.8,105.0
3,矿物燃料、润滑油及有关原料,85.9,109.4,94.0
32,煤、焦炭及煤砖,86.9,123.5,107.3
33,石油、石油产品及有关原料,83.8,110.9,92.9
34,天然气及人造气,94.7,95.3,90.3
35,电力,92.5,94.3,87.3
4,动、植物油、脂及蜡,111.7,67.7,75.6
41,动物油、脂,99.2,187.0,185.4
42,初榨、精制或分离的固定植物油、脂,110.3,60.0,66.1
43,已加工的动、植物油、脂;动植物蜡;动植物油、脂制成的未列名非食用混合物或制品,124.7,114.0,142.1
5-9,工业制品,100.0,97.3,97.3
5,化学品及有关产品,101.1,90.1,91.1
51,有机化学品,98.5,102.4,100.8
52,无机化学品,91.9,55.9,51.4
53,染料、鞣料及着色料,107.0,89.4,95.7
54,医药品,109.1,88.7,96.8
55,精油、香膏及芳香料;盥洗及光洁制品,105.9,89.0,94.2
56,肥料（272组货品除外）,91.1,90.5,82.4
57,初级形状的塑料,99.1,91.0,90.1
58,非初级形状的塑料,100.4,100.1,100.5
59,未列名化学原料及产品,98.1,97.9,96.1
6,按原料分类的制成品,103.9,93.2,96.9
61,皮革、皮革制品及已鞣毛皮,102.7,94.3,96.9
62,橡胶制品,104.5,87.7,91.7
63,软木及木制品（家俱除外）,114.4,86.1,98.5
64,纸、纸板及纸浆、纸或纸板制品,103.2,80.8,83.4
65,纺织纱线、织物未列名制品及有关产品,99.5,83.9,83.4
66,未列名非金属矿物制品,100.9,82.9,83.6
67,钢铁,91.5,109.1,99.9
68,有色金属,109.5,92.0,100.7
69,未列名金属制品,109.1,92.5,100.9
7,机械及运输设备,94.8,103.1,97.7
71,动力机械及设备,105.0,99.2,104.1
72,特种工业专用机械,83.6,106.6,89.2
73,金工机械,95.3,95.0,90.5
74,通用工业机械设备及零件,102.7,90.6,93.1
75,办公室用机械及自动数据处理设备,147.2,97.0,142.7
76,电信及声音的录制或重放装置及设备,96.3,82.2,79.2
77,未列名电力机械、装置、器具及其电气零件（包括相应家用电器的非电器零件,89.7,109.7,98.4
78,陆路车辆（包括气垫式）,102.7,76.7,78.7
79,其他运输设备,112.9,105.5,119.2
8,杂项制品,102.2,91.5,93.5
81,活动房屋;卫生、水道、供热及照明装置,93.7,56.4,52.8
82,家俱及其零件;寝俱、褥垫、弹簧床垫、软座垫及类似的填充制品,91.6,90.6,83.0
83,旅行用品、手提包及类似容器,96.2,91.3,87.8
84,服装及衣着附件,96.3,103.0,99.2
85,鞋靴,104.2,81.5,84.9
87,专业、科学及控制用仪器及设备,103.3,91.3,94.4
88,摄影器材及光学物品;钟表,118.6,83.3,98.8
89,未列名杂项制品,92.4,99.1,91.6
9,未分类的商品及交易品,133.3,82.9,110.5
97,金，非货币（不包括黄金矿砂及精矿）,134.2,83.7,112.3
98,其他,102.8,89.0,91.4
