表十六 2025年4月份全国进口商品贸易同比指数（国民经济行业分类）,表十六 2025年4月份全国进口商品贸易同比指数（国民经济行业分类）,表十六 2025年4月份全国进口商品贸易同比指数（国民经济行业分类）,表十六 2025年4月份全国进口商品贸易同比指数（国民经济行业分类）
"Table 16 Index Number of Imports by Industry,Apr. 2025","Table 16 Index Number of Imports by Industry,Apr. 2025","Table 16 Index Number of Imports by Industry,Apr. 2025","Table 16 Index Number of Imports by Industry,Apr. 2025"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
行业名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
农、林、牧、渔业,94.4,74.5,70.4
农业,93.7,68.9,64.6
林业,106.5,103.7,110.4
畜牧业,92.9,91.1,84.7
渔业,84.4,125.4,105.7
采矿业,91.1,107.1,97.5
煤炭开采和洗选业,75.1,82.9,62.2
石油和天然气开采业,86.4,104.9,90.6
黑色金属矿采选业,91.1,102.7,93.6
有色金属矿采选业,113.2,127.5,144.3
非金属矿采选业,89.5,121.4,108.6
制造业,105.6,99.0,104.5
消费品制造业,100.8,96.1,96.8
农副食品加工业,102.0,101.4,103.4
食品制造业,111.5,109.7,122.2
酒、饮料和精制茶制造业,97.0,89.3,86.6
烟草制品业,110.7,56.4,62.4
纺织业,98.9,88.2,87.2
纺织服装、服饰业,91.1,101.9,92.8
皮革、毛皮、羽毛及其制品和制鞋业,99.1,90.3,89.5
家具制造业,111.6,69.3,77.3
造纸和纸制品业,98.2,89.8,88.2
印刷和记录媒介复制业,91.0,152.1,138.5
文教、工美、体育和娱乐用品制造业,98.4,93.1,91.7
医药制造业,99.1,91.8,91.0
化学纤维制造业,100.5,95.5,96.0
原材料制造业,109.7,95.4,104.7
石油、煤炭及其他燃料加工业,98.5,82.8,81.6
化学原料和化学制品制造业,98.1,103.9,102.0
非金属矿物制品业,102.4,76.9,78.8
黑色金属冶炼和压延加工业,97.8,90.0,87.9
有色金属冶炼和压延加工业,124.3,96.1,119.5
装备制造业,104.7,102.4,107.2
金属制品业,106.8,95.6,102.1
通用设备制造业,108.6,94.0,102.1
专用设备制造业,94.6,101.6,96.1
汽车制造业,98.0,74.3,72.8
铁路、船舶、航空航天和其他运输设备制造业,105.0,91.8,96.4
电气机械和器材制造业,103.8,95.6,99.2
计算机、通信和其他电子设备制造业,106.4,108.2,115.1
仪器仪表制造业,104.6,99.0,103.5
木材加工和木、竹、藤、棕、草制品业,101.4,76.7,77.8
橡胶和塑料制品业,105.9,88.9,94.1
其他制造业,101.4,97.1,98.4
废弃资源综合利用业,108.3,94.0,101.8
电力、热力、燃气及水生产和供应业,94.5,118.5,111.9
电力、热力生产和供应业,94.5,118.5,111.9
科学研究和技术服务业,82.2,216.2,177.7
专业技术服务业,82.2,216.2,177.7
文化、体育和娱乐业,70.9,131.9,93.5
新闻和出版业,70.9,131.9,93.5
