表十五 2024年12月份全国进口商品贸易同比指数（BEC分类）,表十五 2024年12月份全国进口商品贸易同比指数（BEC分类）,表十五 2024年12月份全国进口商品贸易同比指数（BEC分类）,表十五 2024年12月份全国进口商品贸易同比指数（BEC分类）,表十五 2024年12月份全国进口商品贸易同比指数（BEC分类）
"Table 15 Index Number of Imports by BEC,Dec. 2024","Table 15 Index Number of Imports by BEC,Dec. 2024","Table 15 Index Number of Imports by BEC,Dec. 2024","Table 15 Index Number of Imports by BEC,Dec. 2024","Table 15 Index Number of Imports by BEC,Dec. 2024"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
BEC编码 	code,商品名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
1,农业、林业、渔业、食品、饮料、烟草,93.8,97.0,91.0
111,中间品,90.9,79.3,72.1
1111,初级品,88.0,73.1,64.4
1112,加工品,98.7,96.5,95.3
112,资本品,79.7,143.0,113.9
113,消费品,98.3,124.6,122.5
1131,初级品,98.3,123.9,121.8
1132,加工品,97.6,131.2,128.1
2,采矿、采石、炼油、燃料、化学品、电力、水、废物处理,91.9,102.1,93.8
211,中间品,91.4,103.0,94.2
2111,初级品,89.3,102.7,91.7
2112,加工品,101.4,103.8,105.2
212,资本品,89.1,112.8,100.5
213,消费品,110.2,66.7,73.5
2131,初级品,110.2,66.7,73.5
3,建筑、木材、玻璃、石材、基础金属、住房、电器、家具,102.7,104.4,107.2
311,中间品,106.3,103.4,109.9
3111,初级品,114.4,69.2,79.1
3112,加工品,106.0,105.8,112.2
312,资本品,87.5,109.9,96.2
313,消费品,95.4,104.9,100.1
3131,初级品,90.7,100.5,91.2
3132,加工品,96.8,106.3,102.9
4,纺织品、服装、鞋,115.3,102.8,118.5
411,中间品,119.2,102.7,122.4
4111,初级品,98.2,65.6,64.5
4112,加工品,120.6,105.6,127.4
412,资本品,98.9,97.7,96.6
413,消费品,96.0,105.3,101.1
4131,初级品,90.6,56.0,50.7
4132,加工品,96.0,105.4,101.2
5,运输设备和服务、旅行、邮政服务,95.7,92.3,88.4
511,中间品,96.2,92.9,89.4
5111,初级品,107.0,151.8,162.3
5112,加工品,96.2,92.9,89.3
512,资本品,81.0,184.4,149.4
513,消费品,97.6,75.8,74.0
5132,加工品,97.6,75.8,74.0
6,信息和通信技术、媒体、计算机、商业和金融服务,101.2,112.6,114.0
611,中间品,100.6,108.0,108.7
6112,加工品,100.6,108.0,108.7
612,资本品,104.8,135.0,141.6
613,消费品,99.3,90.4,89.7
6131,初级品,147.8,25.9,38.2
6132,加工品,99.2,90.6,89.8
7,健康、制药、教育、文化、体育,100.8,102.4,103.1
711,中间品,104.8,98.7,103.5
7112,加工品,104.8,98.7,103.5
712,资本品,100.8,97.6,98.4
713,消费品,97.0,109.2,106.0
7131,初级品,93.2,116.4,108.5
7132,加工品,98.8,106.2,104.9
8,政府、军队和其他,103.6,110.2,114.2
811,中间品,102.5,125.5,128.6
8112,加工品,102.5,125.5,128.6
812,资本品,106.3,91.6,97.4
813,消费品,102.3,108.9,111.4
8132,加工品,102.3,108.7,111.2
