表一 2023年9月份全国出口商品贸易同比指数（HS2分类）,表一 2023年9月份全国出口商品贸易同比指数（HS2分类）,表一 2023年9月份全国出口商品贸易同比指数（HS2分类）,表一 2023年9月份全国出口商品贸易同比指数（HS2分类）,表一 2023年9月份全国出口商品贸易同比指数（HS2分类）
"Table 1 Index Number of Exports by HS2,Sept. 2023","Table 1 Index Number of Exports by HS2,Sept. 2023","Table 1 Index Number of Exports by HS2,Sept. 2023","Table 1 Index Number of Exports by HS2,Sept. 2023","Table 1 Index Number of Exports by HS2,Sept. 2023"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
HS编码 code,商品名称 Description,价格指数 Unit value,数量指数 Quantum,价值指数 Value
总指数,总指数,92.1,107.9,99.4
1类,第一类 活动物；动物产品,95.8,97.0,92.9
01,第1章活动物,83.2,122.0,101.5
02,第2章肉及食用杂碎,94.8,108.1,102.4
03,第3章鱼、甲壳动物、软体动物及其他水生无脊椎动物,96.1,93.7,90.1
04,第4章乳品；蛋品；天然蜂蜜；其他食用动物产品,99.0,128.6,127.4
05,第5章其他动物产品,96.8,93.6,90.6
2类,第二类 植物产品,95.5,111.3,106.4
06,第6章活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,102.2,111.9,114.4
07,第7章食用蔬菜、根及块茎,100.4,110.8,111.3
08,第8章食用水果及坚果；甜瓜或柑橘属水果的果皮,87.4,117.1,102.3
09,第9章咖啡、茶、马黛茶及调味香料,89.9,113.3,101.8
10,第10章谷物,120.1,121.4,145.8
11,第11章制粉工业产品；麦芽；淀粉；菊粉；面筋,95.0,96.2,91.5
12,第12章含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,112.8,104.8,118.2
13,第13章虫胶；树胶、树脂及其他植物液、汁,80.6,101.6,81.9
14,第14章编结用植物材料；其他植物产品,87.1,160.4,139.7
3类,第三类 动、植物油、脂、蜡；精制食用油脂,81.7,98.1,80.1
15,第15章动、植物或微生物油、脂及其分解产品；精制的食用油脂；动、植物蜡,81.7,98.1,80.1
4类,第四类 食品；饮料、酒及醋；烟草及制品,95.2,123.7,117.8
16,第16章肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物、昆虫的制品,98.4,105.2,103.5
17,第17章糖及糖食,99.4,142.4,141.5
18,第18章可可及可可制品,95.0,106.7,101.3
19,第19章谷物、粮食粉、淀粉或乳的制品；糕饼点心,102.7,115.2,118.3
20,第20章蔬菜、水果、坚果或植物其他部分的制品,102.1,111.4,113.7
21,第21章杂项食品,97.4,134.3,130.8
22,第22章饮料、酒及醋,106.9,151.7,162.1
23,第23章食品工业的残渣及废料；配制的动物饲料,85.6,145.7,124.7
24,第24章烟草、烟草及烟草代用品的制品；非经燃烧吸用的产品，不论是否含有尼古丁；其他供人体摄入尼古丁的含尼古丁的产品,82.8,135.8,112.5
5类,第五类 矿产品,86.1,87.3,75.2
25,第25章盐；硫磺；泥土及石料；石膏料、石灰及水泥,90.3,83.6,75.5
26,第26章矿砂、矿渣及矿灰,93.2,96.1,89.6
27,第27章矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,85.5,87.0,74.4
6类,第六类 化学工业及其相关工业的产品,83.2,106.2,88.4
28,第28章无机化学品；贵金属、稀土金属、放射性元素及其同位素的有机及无机化合物,85.1,95.9,81.6
29,第29章有机化学品,86.7,100.5,87.2
30,第30章药品,94.2,95.5,90.0
31,第31章肥料,64.7,124.2,80.3
32,第32章鞣料浸膏及染料浸膏；鞣酸及其衍生物；染料、颜料及其他着色料；油漆及清漆；油灰及其他类似胶粘剂；墨水、油墨,85.6,136.9,117.2
33,第33章精油及香膏；芳香料制品及化妆盥洗品,97.8,121.4,118.8
34,第34章肥皂、有机表面活性剂、洗涤剂、润滑剂、人造蜡、调制蜡、光洁剂、蜡烛及类似品、塑型用膏、“牙科用蜡”及牙科用熟石膏制剂,82.9,134.4,111.4
35,第35章蛋白类物质；改性淀粉；胶；酶,88.0,116.5,102.5
36,第36章炸药；烟火制品；引火合金；易燃材料制品,101.4,56.1,56.9
37,第37章照相及电影用品,96.2,105.0,101.0
38,第38章杂项化学产品,74.6,112.0,83.6
7类,第七类 塑料及其制品；橡胶及其制品,87.0,121.4,105.6
39,第39章塑料及其制品,84.8,120.5,102.2
40,第40章橡胶及其制品,96.9,125.0,121.2
8类,第八类 革、毛皮及制品；箱包；肠线制品,91.2,104.6,95.4
41,第41章生皮（毛皮除外）及皮革,90.5,119.0,107.7
42,第42章皮革制品；鞍具及挽具；旅行用品、手提包及类似容器；动物肠线（蚕胶丝除外）制品,90.9,107.1,97.3
43,第43章毛皮、人造毛皮及其制品,96.0,67.7,65.0
9类,第九类 木及制品；木炭；软木；编结品,92.8,111.6,103.5
44,第44章木及木制品；木炭,91.5,112.7,103.1
45,第45章软木及软木制品,82.4,259.5,213.9
