表十六 2023年10月份全国进口商品贸易同比指数（国民经济行业分类）,表十六 2023年10月份全国进口商品贸易同比指数（国民经济行业分类）,表十六 2023年10月份全国进口商品贸易同比指数（国民经济行业分类）,表十六 2023年10月份全国进口商品贸易同比指数（国民经济行业分类）
"Table 16 Index Number of Imports by Industry,Oct. 2023","Table 16 Index Number of Imports by Industry,Oct. 2023","Table 16 Index Number of Imports by Industry,Oct. 2023","Table 16 Index Number of Imports by Industry,Oct. 2023"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
行业名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
农、林、牧、渔业,87.2,130.7,114.0
农业,86.0,140.5,120.8
林业,91.9,100.6,92.4
畜牧业,85.3,104.7,89.3
渔业,98.7,89.9,88.7
采矿业,97.7,115.9,113.2
煤炭开采和洗选业,74.3,132.4,98.3
石油和天然气开采业,93.1,114.5,106.6
黑色金属矿采选业,121.5,106.0,128.8
有色金属矿采选业,106.7,126.0,134.4
非金属矿采选业,87.5,135.1,118.2
制造业,97.7,105.8,103.3
消费品制造业,94.5,108.3,102.4
农副食品加工业,90.0,101.2,91.1
食品制造业,104.7,92.0,96.4
酒、饮料和精制茶制造业,106.5,103.0,109.7
烟草制品业,124.3,148.6,184.7
纺织业,102.1,133.7,136.5
纺织服装、服饰业,108.5,96.9,105.1
皮革、毛皮、羽毛及其制品和制鞋业,100.0,117.9,117.9
家具制造业,105.5,102.6,108.3
造纸和纸制品业,71.9,133.2,95.8
印刷和记录媒介复制业,65.6,151.4,99.4
文教、工美、体育和娱乐用品制造业,100.1,92.6,92.7
医药制造业,107.2,114.7,122.9
化学纤维制造业,92.3,136.0,125.4
原材料制造业,97.3,102.4,99.6
石油、煤炭及其他燃料加工业,92.0,139.1,128.0
化学原料和化学制品制造业,91.0,104.6,95.2
非金属矿物制品业,108.2,62.0,67.1
黑色金属冶炼和压延加工业,89.7,117.1,105.0
有色金属冶炼和压延加工业,108.1,92.4,99.9
装备制造业,98.4,106.3,104.7
金属制品业,103.2,95.8,98.9
通用设备制造业,103.6,96.8,100.3
专用设备制造业,112.7,121.1,136.4
汽车制造业,100.9,111.7,112.6
铁路、船舶、航空航天和其他运输设备制造业,107.2,86.3,92.5
电气机械和器材制造业,100.4,90.6,91.0
计算机、通信和其他电子设备制造业,95.8,107.0,102.5
仪器仪表制造业,98.3,106.2,104.4
木材加工和木、竹、藤、棕、草制品业,88.5,99.7,88.2
橡胶和塑料制品业,101.5,100.7,102.3
其他制造业,137.5,126.1,173.4
废弃资源综合利用业,107.7,124.3,133.8
电力、热力、燃气及水生产和供应业,91.5,53.2,48.7
电力、热力生产和供应业,91.5,53.2,48.7
