表十三 2023年9月份全国进口商品贸易同比指数（HS2分类）,表十三 2023年9月份全国进口商品贸易同比指数（HS2分类）,表十三 2023年9月份全国进口商品贸易同比指数（HS2分类）,表十三 2023年9月份全国进口商品贸易同比指数（HS2分类）,表十三 2023年9月份全国进口商品贸易同比指数（HS2分类）
"Table 13 Index Number of Imports by HS2,Sept. 2023","Table 13 Index Number of Imports by HS2,Sept. 2023","Table 13 Index Number of Imports by HS2,Sept. 2023","Table 13 Index Number of Imports by HS2,Sept. 2023","Table 13 Index Number of Imports by HS2,Sept. 2023"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
HS编码 code,商品名称 Description,价格指数 Unit value,数量指数 Quantum,价值指数 Value
总指数,总指数,97.0,102.2,99.2
1类,第一类 活动物；动物产品,86.7,96.2,83.4
01,第1章活动物,74.1,34.6,25.7
02,第2章肉及食用杂碎,82.6,91.8,75.8
03,第3章鱼、甲壳动物、软体动物及其他水生无脊椎动物,90.6,105.4,95.5
04,第4章乳品；蛋品；天然蜂蜜；其他食用动物产品,94.6,94.7,89.5
05,第5章其他动物产品,84.4,96.1,81.1
2类,第二类 植物产品,88.9,106.7,94.9
06,第6章活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,109.3,122.8,134.3
07,第7章食用蔬菜、根及块茎,90.5,159.1,144.0
08,第8章食用水果及坚果；甜瓜或柑橘属水果的果皮,98.2,172.2,169.2
09,第9章咖啡、茶、马黛茶及调味香料,96.2,76.2,73.3
10,第10章谷物,90.2,102.3,92.3
11,第11章制粉工业产品；麦芽；淀粉；菊粉；面筋,110.8,97.0,107.5
12,第12章含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,85.5,96.3,82.4
13,第13章虫胶；树胶、树脂及其他植物液、汁,86.1,99.0,85.3
14,第14章编结用植物材料；其他植物产品,96.9,101.2,98.1
3类,第三类 动、植物油、脂、蜡；精制食用油脂,80.4,113.9,91.5
15,第15章动、植物或微生物油、脂及其分解产品；精制的食用油脂；动、植物蜡,80.4,113.9,91.5
4类,第四类 食品；饮料、酒及醋；烟草及制品,113.8,85.5,97.2
16,第16章肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物、昆虫的制品,77.1,234.0,180.3
17,第17章糖及糖食,126.8,85.8,108.8
18,第18章可可及可可制品,114.8,103.7,119.0
19,第19章谷物、粮食粉、淀粉或乳的制品；糕饼点心,113.6,75.9,86.1
20,第20章蔬菜、水果、坚果或植物其他部分的制品,104.5,82.0,85.7
21,第21章杂项食品,128.5,79.6,102.3
22,第22章饮料、酒及醋,109.2,104.3,113.9
23,第23章食品工业的残渣及废料；配制的动物饲料,103.6,77.6,80.3
24,第24章烟草、烟草及烟草代用品的制品；非经燃烧吸用的产品，不论是否含有尼古丁；其他供人体摄入尼古丁的含尼古丁的产品,110.1,96.0,105.7
5类,第五类 矿产品,93.4,114.8,107.2
25,第25章盐；硫磺；泥土及石料；石膏料、石灰及水泥,92.6,181.6,168.3
26,第26章矿砂、矿渣及矿灰,111.7,102.7,114.8
27,第27章矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,86.6,118.2,102.4
6类,第六类 化学工业及其相关工业的产品,88.7,107.8,95.7
28,第28章无机化学品；贵金属、稀土金属、放射性元素及其同位素的有机及无机化合物,81.8,112.4,92.0
29,第29章有机化学品,98.6,92.6,91.3
30,第30章药品,82.7,137.9,114.0
31,第31章肥料,56.5,158.4,89.5
32,第32章鞣料浸膏及染料浸膏；鞣酸及其衍生物；染料、颜料及其他着色料；油漆及清漆；油灰及其他类似胶粘剂；墨水、油墨,100.6,105.7,106.3
33,第33章精油及香膏；芳香料制品及化妆盥洗品,88.9,91.8,81.6
34,第34章肥皂、有机表面活性剂、洗涤剂、润滑剂、人造蜡、调制蜡、光洁剂、蜡烛及类似品、塑型用膏、“牙科用蜡”及牙科用熟石膏制剂,103.5,87.1,90.2
35,第35章蛋白类物质；改性淀粉；胶；酶,95.2,107.6,102.4
36,第36章炸药；烟火制品；引火合金；易燃材料制品,117.9,59.3,69.9
37,第37章照相及电影用品,98.4,113.2,111.4
38,第38章杂项化学产品,85.8,108.3,92.9
7类,第七类 塑料及其制品；橡胶及其制品,93.1,97.7,91.0
39,第39章塑料及其制品,93.3,97.9,91.3
40,第40章橡胶及其制品,92.2,97.1,89.5
8类,第八类 革、毛皮及制品；箱包；肠线制品,114.0,99.8,113.8
41,第41章生皮（毛皮除外）及皮革,93.9,110.1,103.4
42,第42章皮革制品；鞍具及挽具；旅行用品、手提包及类似容器；动物肠线（蚕胶丝除外）制品,127.6,87.0,111.0
43,第43章毛皮、人造毛皮及其制品,102.0,184.4,188.1
9类,第九类 木及制品；木炭；软木；编结品,88.2,91.5,80.7
44,第44章木及木制品；木炭,88.1,91.4,80.6
45,第45章软木及软木制品,146.0,105.5,154.1
46,第46章稻草、秸秆、针茅或其他编结材料制品；篮筐及柳条编结品,139.1,72.7,101.2
10类,第十类 木浆等；废纸；纸、纸板及其制品,73.6,121.9,89.7
47,第47章木浆及其他纤维状纤维素浆；回收（废碎）纸及纸板,69.7,128.3,89.5
48,第48章纸及纸板；纸浆、纸或纸板制品,85.9,121.7,104.5
49,第49章书籍、报纸、印刷图画及其他印刷品；手稿、打字稿及设计图纸,109.2,55.1,60.1
11类,第十一类 纺织原料及纺织制品,94.4,121.5,114.7
50,第50章蚕丝,114.3,77.0,88.0
51,第51章羊毛、动物细毛或粗毛；马毛纱线及其机织物,86.9,81.0,70.4
52,第52章棉花,84.0,232.5,195.2
53,第53章其他植物纺织纤维；纸纱线及其机织物,140.6,108.0,151.9
