表十六 2024年11月份全国进口商品贸易同比指数（国民经济行业分类）,表十六 2024年11月份全国进口商品贸易同比指数（国民经济行业分类）,表十六 2024年11月份全国进口商品贸易同比指数（国民经济行业分类）,表十六 2024年11月份全国进口商品贸易同比指数（国民经济行业分类）
"Table 16 Index Number of Imports by Industry,Nov. 2024","Table 16 Index Number of Imports by Industry,Nov. 2024","Table 16 Index Number of Imports by Industry,Nov. 2024","Table 16 Index Number of Imports by Industry,Nov. 2024"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
行业名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
农、林、牧、渔业,91.0,81.4,74.0
农业,87.8,78.1,68.6
林业,117.0,87.4,102.2
畜牧业,99.3,78.1,77.5
渔业,95.8,132.8,127.2
采矿业,87.6,106.9,93.7
煤炭开采和洗选业,86.9,123.4,107.2
石油和天然气开采业,84.5,111.2,94.0
黑色金属矿采选业,78.6,97.9,77.0
有色金属矿采选业,118.0,100.1,118.1
非金属矿采选业,80.7,83.3,67.2
制造业,100.5,96.9,97.3
消费品制造业,101.8,92.9,94.6
农副食品加工业,96.8,94.0,90.9
食品制造业,109.8,113.4,124.5
酒、饮料和精制茶制造业,95.2,105.8,100.7
烟草制品业,105.2,80.4,84.6
纺织业,98.5,82.1,80.9
纺织服装、服饰业,96.3,102.3,98.6
皮革、毛皮、羽毛及其制品和制鞋业,100.8,89.1,89.8
家具制造业,92.2,91.9,84.8
造纸和纸制品业,108.4,87.3,94.6
印刷和记录媒介复制业,84.2,135.4,114.0
文教、工美、体育和娱乐用品制造业,90.9,81.4,74.0
医药制造业,108.4,88.8,96.3
化学纤维制造业,103.0,95.7,98.6
原材料制造业,109.1,90.0,98.2
石油、煤炭及其他燃料加工业,95.9,91.5,87.8
化学原料和化学制品制造业,100.2,93.4,93.5
非金属矿物制品业,107.9,55.9,60.4
黑色金属冶炼和压延加工业,91.4,109.5,100.1
有色金属冶炼和压延加工业,123.9,87.4,108.2
装备制造业,95.7,101.9,97.5
金属制品业,108.9,92.4,100.6
通用设备制造业,103.4,95.0,98.2
专用设备制造业,89.5,99.8,89.3
汽车制造业,102.6,76.1,78.1
铁路、船舶、航空航天和其他运输设备制造业,109.5,108.2,118.5
电气机械和器材制造业,99.0,95.2,94.2
计算机、通信和其他电子设备制造业,93.4,108.9,101.6
仪器仪表制造业,105.8,88.9,94.1
木材加工和木、竹、藤、棕、草制品业,104.2,91.0,94.9
橡胶和塑料制品业,102.4,96.1,98.5
其他制造业,99.9,91.7,91.6
废弃资源综合利用业,113.5,90.4,102.6
电力、热力、燃气及水生产和供应业,92.5,94.3,87.3
电力、热力生产和供应业,92.5,94.3,87.3
文化、体育和娱乐业,92.1,131.9,121.5
新闻和出版业,92.1,131.9,121.5
