表二 2025年6月份全国出口商品贸易同比指数（SITC2分类）,表二 2025年6月份全国出口商品贸易同比指数（SITC2分类）,表二 2025年6月份全国出口商品贸易同比指数（SITC2分类）,表二 2025年6月份全国出口商品贸易同比指数（SITC2分类）,表二 2025年6月份全国出口商品贸易同比指数（SITC2分类）
"Table 2 Index Number of Exports by SITC2,June 2025","Table 2 Index Number of Exports by SITC2,June 2025","Table 2 Index Number of Exports by SITC2,June 2025","Table 2 Index Number of Exports by SITC2,June 2025","Table 2 Index Number of Exports by SITC2,June 2025"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
SITC编码 	code,商品名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
0-4,初级产品,95.1,103.7,98.7
0,食品及活动物,94.9,101.2,96.0
00,活动物（03章动物除外）,91.8,102.8,94.3
01,肉及肉制品,94.5,116.2,109.8
02,乳品及蛋品,92.7,170.3,157.8
03,鱼（海生哺乳动物除外）、甲壳动物、软体动物、水生无脊椎动物及其制品,99.8,99.5,99.3
04,谷物及谷物制品,90.7,110.2,99.9
05,蔬菜及水果,88.6,99.2,87.9
06,糖、糖制品及蜂蜜,99.4,101.9,101.2
07,咖啡、茶、马黛茶、调味香料及其制品,98.6,96.9,95.6
08,动物饲料（不包括未碾磨谷物）,96.2,94.3,90.6
09,杂项食品,102.2,105.5,107.8
1,饮料及烟类,96.5,147.1,141.9
11,饮料,95.9,165.3,158.4
12,烟草及烟草制品,97.9,102.1,99.9
2,非食用原料（燃料除外）,94.1,97.3,91.5
21,生皮及生毛皮,92.1,129.6,119.4
22,含油子仁及果实,94.5,102.9,97.3
23,生橡胶（包括合成橡胶及再生橡胶）,99.7,122.8,122.5
24,软木及木材,91.4,119.1,108.8
25,纸浆及废纸,95.3,93.3,88.9
26,纺织纤维（不包括羊毛条及其他精梳羊毛）及其废料,89.4,112.6,100.7
27,天然肥料（不包括第56章的货品）及矿物（煤、石油及宝石除外）,95.3,91.2,86.9
28,金属矿砂及金属废料,86.5,64.4,55.7
29,其他动、植物原料,100.2,108.6,108.8
3,矿物燃料、润滑油及有关原料,94.1,108.5,102.1
32,煤、焦炭及煤砖,77.4,89.2,69.0
33,石油、石油产品及有关原料,94.8,109.9,104.2
34,天然气及人造气,102.1,103.7,105.9
35,电力,95.8,105.5,101.0
4,动、植物油、脂及蜡,114.9,87.1,100.1
41,动物油、脂,113.5,61.9,70.3
42,初榨、精制或分离的固定植物油、脂,96.9,179.4,173.9
43,已加工的动、植物油、脂;动植物蜡;动植物油、脂制成的未列名非食用混合物或制品,118.1,83.6,98.8
5-9,工业制品,100.7,106.8,107.6
5,化学品及有关产品,96.5,104.2,100.5
51,有机化学品,95.3,98.9,94.2
52,无机化学品,91.7,92.4,84.7
53,染料、鞣料及着色料,95.5,92.5,88.3
54,医药品,92.5,108.7,100.5
55,精油、香膏及芳香料;盥洗及光洁制品,99.6,113.2,112.8
56,肥料（272组货品除外）,117.8,137.4,161.8
57,初级形状的塑料,92.9,107.6,99.9
58,非初级形状的塑料,98.9,112.4,111.2
59,未列名化学原料及产品,98.8,101.3,100.1
6,按原料分类的制成品,98.4,102.5,100.9
61,皮革、皮革制品及已鞣毛皮,95.9,105.9,101.5
62,橡胶制品,100.0,95.5,95.5
63,软木及木制品（家俱除外）,96.8,102.2,98.9
64,纸、纸板及纸浆、纸或纸板制品,94.7,105.0,99.4
65,纺织纱线、织物未列名制品及有关产品,96.8,103.2,99.8
66,未列名非金属矿物制品,104.2,102.5,106.8
67,钢铁,92.4,112.5,104.0
68,有色金属,102.9,78.8,81.1
69,未列名金属制品,100.6,107.3,107.9
7,机械及运输设备,101.2,109.1,110.4
71,动力机械及设备,97.3,112.4,109.4
72,特种工业专用机械,100.9,117.9,119.0
73,金工机械,108.9,118.6,129.2
74,通用工业机械设备及零件,102.9,105.2,108.3
75,办公室用机械及自动数据处理设备,93.0,106.3,98.9
76,电信及声音的录制或重放装置及设备,98.8,104.2,102.9
77,未列名电力机械、装置、器具及其电气零件（包括相应家用电器的非电器零件,105.5,107.4,113.3
78,陆路车辆（包括气垫式）,98.3,115.3,113.3
79,其他运输设备,108.3,128.7,139.4
8,杂项制品,102.3,101.4,103.8
81,活动房屋;卫生、水道、供热及照明装置,106.4,103.4,110.0
82,家俱及其零件;寝俱、褥垫、弹簧床垫、软座垫及类似的填充制品,107.0,95.2,101.8
83,旅行用品、手提包及类似容器,97.4,96.6,94.1
84,服装及衣着附件,100.5,101.9,102.4
85,鞋靴,103.6,96.3,99.7
87,专业、科学及控制用仪器及设备,107.7,100.4,108.1
88,摄影器材及光学物品;钟表,105.2,96.8,101.9
89,未列名杂项制品,100.6,105.0,105.7
9,未分类的商品及交易品,131.6,108.5,142.8
97,金，非货币（不包括黄金矿砂及精矿）,142.5,165.5,235.8
98,其他,91.3,148.0,135.1
