表十四 2025年3月份全国进口商品贸易同比指数（SITC2分类）,表十四 2025年3月份全国进口商品贸易同比指数（SITC2分类）,表十四 2025年3月份全国进口商品贸易同比指数（SITC2分类）,表十四 2025年3月份全国进口商品贸易同比指数（SITC2分类）,表十四 2025年3月份全国进口商品贸易同比指数（SITC2分类）
"Table 14 Index Number of Imports by SITC2,Mar. 2025","Table 14 Index Number of Imports by SITC2,Mar. 2025","Table 14 Index Number of Imports by SITC2,Mar. 2025","Table 14 Index Number of Imports by SITC2,Mar. 2025","Table 14 Index Number of Imports by SITC2,Mar. 2025"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
SITC编码 	code,商品名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
0-4,初级产品,94.4,96.4,91.0
0,食品及活动物,99.1,90.5,89.7
00,活动物（03章动物除外）,111.5,90.8,101.3
01,肉及肉制品,105.3,92.6,97.5
02,乳品及蛋品,107.7,111.8,120.4
03,鱼（海生哺乳动物除外）、甲壳动物、软体动物、水生无脊椎动物及其制品,102.5,108.8,111.6
04,谷物及谷物制品,91.2,32.2,29.3
05,蔬菜及水果,92.7,96.8,89.7
06,糖、糖制品及蜂蜜,96.8,91.0,88.1
07,咖啡、茶、马黛茶、调味香料及其制品,110.9,118.0,130.9
08,动物饲料（不包括未碾磨谷物）,82.8,104.2,86.3
09,杂项食品,104.1,122.5,127.6
1,饮料及烟类,105.7,112.8,119.2
11,饮料,91.2,101.4,92.5
12,烟草及烟草制品,121.7,126.9,154.4
2,非食用原料（燃料除外）,96.4,94.3,90.9
21,生皮及生毛皮,91.8,86.9,79.8
22,含油子仁及果实,86.9,67.1,58.3
23,生橡胶（包括合成橡胶及再生橡胶）,125.0,116.2,145.2
24,软木及木材,99.0,91.3,90.4
25,纸浆及废纸,98.3,101.8,100.1
26,纺织纤维（不包括羊毛条及其他精梳羊毛）及其废料,92.6,41.7,38.6
27,天然肥料（不包括第56章的货品）及矿物（煤、石油及宝石除外）,111.6,87.2,97.3
28,金属矿砂及金属废料,95.7,99.3,95.0
29,其他动、植物原料,96.8,106.6,103.2
3,矿物燃料、润滑油及有关原料,91.4,98.8,90.3
32,煤、焦炭及煤砖,76.4,92.4,70.6
33,石油、石油产品及有关原料,92.0,102.3,94.1
34,天然气及人造气,96.8,86.6,83.9
35,电力,94.7,95.0,90.0
4,动、植物油、脂及蜡,115.1,108.1,124.5
41,动物油、脂,113.5,86.7,98.4
42,初榨、精制或分离的固定植物油、脂,113.4,109.7,124.5
43,已加工的动、植物油、脂;动植物蜡;动植物油、脂制成的未列名非食用混合物或制品,129.3,108.7,140.6
5-9,工业制品,101.0,99.4,100.4
5,化学品及有关产品,100.8,98.6,99.4
51,有机化学品,98.1,113.8,111.7
52,无机化学品,98.1,87.9,86.2
53,染料、鞣料及着色料,106.0,91.5,97.0
54,医药品,113.2,88.9,100.6
55,精油、香膏及芳香料;盥洗及光洁制品,92.9,101.7,94.5
56,肥料（272组货品除外）,90.8,101.6,92.2
57,初级形状的塑料,100.1,90.9,90.9
58,非初级形状的塑料,102.0,99.9,101.9
59,未列名化学原料及产品,96.0,108.3,104.0
6,按原料分类的制成品,102.2,95.9,97.9
61,皮革、皮革制品及已鞣毛皮,93.4,93.4,87.3
62,橡胶制品,108.7,84.4,91.8
63,软木及木制品（家俱除外）,114.5,84.8,97.1
64,纸、纸板及纸浆、纸或纸板制品,99.6,90.9,90.6
65,纺织纱线、织物未列名制品及有关产品,101.8,78.5,79.9
66,未列名非金属矿物制品,98.7,88.1,87.0
67,钢铁,95.8,115.6,110.8
68,有色金属,105.4,94.6,99.7
69,未列名金属制品,103.0,92.9,95.6
7,机械及运输设备,95.5,115.4,110.2
71,动力机械及设备,99.4,106.1,105.5
72,特种工业专用机械,93.4,96.4,90.1
73,金工机械,93.2,103.8,96.8
74,通用工业机械设备及零件,104.2,91.3,95.1
75,办公室用机械及自动数据处理设备,112.3,200.5,225.2
76,电信及声音的录制或重放装置及设备,95.1,90.1,85.8
77,未列名电力机械、装置、器具及其电气零件（包括相应家用电器的非电器零件,92.1,113.1,104.1
78,陆路车辆（包括气垫式）,96.4,73.1,70.5
79,其他运输设备,137.5,160.0,220.0
8,杂项制品,104.1,94.4,98.3
81,活动房屋;卫生、水道、供热及照明装置,89.6,77.7,69.6
82,家俱及其零件;寝俱、褥垫、弹簧床垫、软座垫及类似的填充制品,107.2,82.6,88.5
83,旅行用品、手提包及类似容器,99.8,82.6,82.5
84,服装及衣着附件,101.5,102.4,104.0
85,鞋靴,105.2,93.0,97.9
87,专业、科学及控制用仪器及设备,105.4,95.1,100.3
88,摄影器材及光学物品;钟表,107.3,87.3,93.7
89,未列名杂项制品,101.3,99.0,100.3
9,未分类的商品及交易品,136.8,40.2,54.9
97,金，非货币（不包括黄金矿砂及精矿）,139.9,38.2,53.4
98,其他,104.3,77.8,81.2
