表十五 2025年2月份全国进口商品贸易同比指数（BEC分类）,表十五 2025年2月份全国进口商品贸易同比指数（BEC分类）,表十五 2025年2月份全国进口商品贸易同比指数（BEC分类）,表十五 2025年2月份全国进口商品贸易同比指数（BEC分类）,表十五 2025年2月份全国进口商品贸易同比指数（BEC分类）
"Table 15 Index Number of Imports by BEC, Feb. 2025","Table 15 Index Number of Imports by BEC, Feb. 2025","Table 15 Index Number of Imports by BEC, Feb. 2025","Table 15 Index Number of Imports by BEC, Feb. 2025","Table 15 Index Number of Imports by BEC, Feb. 2025"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
BEC编码 	code,商品名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
1,农业、林业、渔业、食品、饮料、烟草,95.5,101.0,96.4
111,中间品,92.7,97.7,90.5
1111,初级品,91.8,91.1,83.7
1112,加工品,95.1,116.9,111.2
112,资本品,87.3,120.9,105.6
113,消费品,99.6,104.5,104.1
1131,初级品,99.2,105.2,104.3
1132,加工品,103.9,97.9,101.7
2,采矿、采石、炼油、燃料、化学品、电力、水、废物处理,95.5,101.0,96.5
211,中间品,95.2,101.1,96.2
2111,初级品,94.0,99.3,93.3
2112,加工品,100.8,108.7,109.6
212,资本品,106.0,101.6,107.7
213,消费品,96.8,94.9,91.8
2131,初级品,96.8,94.9,91.8
3,建筑、木材、玻璃、石材、基础金属、住房、电器、家具,103.1,113.5,117.0
311,中间品,105.4,112.0,118.0
3111,初级品,107.3,94.4,101.3
3112,加工品,105.3,113.1,119.1
312,资本品,91.0,122.6,111.6
313,消费品,100.2,115.9,116.1
3131,初级品,113.9,108.0,123.0
3132,加工品,95.4,119.3,113.9
4,纺织品、服装、鞋,125.4,64.7,81.1
411,中间品,130.7,60.3,78.8
4111,初级品,93.5,46.6,43.6
4112,加工品,133.1,61.1,81.4
412,资本品,94.1,113.8,107.1
413,消费品,97.4,96.6,94.1
4131,初级品,98.8,117.7,116.2
4132,加工品,97.4,96.6,94.1
5,运输设备和服务、旅行、邮政服务,100.0,104.1,104.1
511,中间品,100.5,102.8,103.3
5111,初级品,96.5,115.2,111.1
5112,加工品,100.5,102.7,103.3
512,资本品,130.5,185.0,241.4
513,消费品,91.4,78.7,71.9
5132,加工品,91.4,78.7,71.9
6,信息和通信技术、媒体、计算机、商业和金融服务,95.0,120.8,114.7
611,中间品,91.8,119.2,109.4
6112,加工品,91.8,119.2,109.4
612,资本品,115.1,123.5,142.2
613,消费品,103.2,115.4,119.0
6131,初级品,89.0,78.5,69.9
6132,加工品,103.2,115.5,119.2
7,健康、制药、教育、文化、体育,101.6,113.6,115.5
711,中间品,105.8,106.3,112.5
7112,加工品,105.8,106.3,112.5
712,资本品,102.5,114.3,117.2
713,消费品,97.6,120.3,117.4
7131,初级品,93.0,132.8,123.5
7132,加工品,100.1,114.5,114.5
8,政府、军队和其他,100.4,119.1,119.6
811,中间品,108.7,94.1,102.4
8112,加工品,108.7,94.1,102.4
812,资本品,98.5,152.2,149.9
813,消费品,88.8,123.1,109.3
8132,加工品,88.8,124.3,110.4
