表十三 2023年11月份全国进口商品贸易同比指数（HS2分类）,表十三 2023年11月份全国进口商品贸易同比指数（HS2分类）,表十三 2023年11月份全国进口商品贸易同比指数（HS2分类）,表十三 2023年11月份全国进口商品贸易同比指数（HS2分类）,表十三 2023年11月份全国进口商品贸易同比指数（HS2分类）
43,第43章毛皮、人造毛皮及其制品,101.5,97.6,99.1
9类,第九类 木及制品；木炭；软木；编结品,89.5,90.9,81.4
44,第44章木及木制品；木炭,89.4,90.9,81.3
45,第45章软木及软木制品,155.1,72.8,112.9
46,第46章稻草、秸秆、针茅或其他编结材料制品；篮筐及柳条编结品,141.0,80.2,113.0
10类,第十类 木浆等；废纸；纸、纸板及其制品,75.7,121.8,92.2
47,第47章木浆及其他纤维状纤维素浆；回收（废碎）纸及纸板,68.6,130.2,89.3
48,第48章纸及纸板；纸浆、纸或纸板制品,88.0,117.6,103.5
49,第49章书籍、报纸、印刷图画及其他印刷品；手稿、打字稿及设计图纸,137.2,66.2,90.9
11类,第十一类 纺织原料及纺织制品,89.8,123.6,111.0
50,第50章蚕丝,103.3,88.4,91.3
51,第51章羊毛、动物细毛或粗毛；马毛纱线及其机织物,89.2,103.9,92.7
52,第52章棉花,79.1,175.1,138.6
53,第53章其他植物纺织纤维；纸纱线及其机织物,132.0,86.0,113.5
54,第54章化学纤维长丝；化学纤维纺织材料制扁条及类似品,94.8,107.7,102.1
55,第55章化学纤维短纤,96.3,120.0,115.7
56,第56章絮胎、毡呢及无纺织物；特种纱线；线、绳、索、缆及其制品,99.0,95.7,94.8
57,第57章地毯及纺织材料的其他铺地制品,76.8,153.7,118.0
58,第58章特种机织物；簇绒织物；花边；装饰毯；装饰带；刺绣品,104.7,95.1,99.6
59,第59章浸渍、涂布、包覆或层压的纺织物；工业用纺织制品,108.8,82.5,89.8
60,第60章针织物及钩编织物,104.8,90.9,95.3
61,第61章针织或钩编的服装及衣着附件,82.6,110.0,90.8
62,第62章非针织或非钩编的服装及衣着附件,98.0,106.7,104.5
63,第63章其他纺织制成品；成套物品；旧衣着及旧纺织品；碎织物,101.8,89.9,91.5
12类,第十二类 鞋帽伞等；羽毛品；人造花；人发品,97.7,116.5,113.8
64,第64章鞋靴、护腿和类似品及其零件,103.3,112.8,116.5
65,第65章帽类及其零件,92.7,88.2,81.7
66,第66章雨伞、阳伞、手杖、鞭子、马鞭及其零件,67.7,141.7,95.9
67,第67章已加工羽毛、羽绒及其制品；人造花；人发制品,74.8,142.5,106.6
13类,第十三类 矿物材料制品；陶瓷品；玻璃及制品,114.2,81.8,93.4
68,第68章石料、石膏、水泥、石棉、云母及类似材料的制品,112.2,76.9,86.3
69,第69章陶瓷产品,98.2,92.0,90.3
70,第70章玻璃及其制品,117.9,81.7,96.3
14类,第十四类 珠宝、贵金属及制品；仿首饰；硬币,110.8,98.1,108.6
71,第71章天然或养殖珍珠、宝石或半宝石、贵金属、包贵金属及其制品；仿首饰；硬币,110.8,98.1,108.6
15类,第十五类 贱金属及其制品,95.8,103.7,99.3
72,第72章钢铁,85.9,98.1,84.3
73,第73章钢铁制品,108.3,91.6,99.1
74,第74章铜及其制品,104.3,103.6,108.0
75,第75章镍及其制品,77.6,85.0,65.9
76,第76章铝及其制品,100.4,126.8,127.3
78,第78章铅及其制品,105.1,99.8,104.9
79,第79章锌及其制品,86.7,301.4,261.3
80,第80章锡及其制品,123.7,103.9,128.6
81,第81章其他贱金属、金属陶瓷及其制品,70.0,158.7,111.1
82,第82章贱金属工具、器具、利口器、餐匙、餐叉及其零件,97.0,99.4,96.4
83,第83章贱金属杂项制品,103.6,91.6,94.9
16类,第十六类 机电、音像设备及其零件、附件,111.0,99.0,109.9
84,第84章核反应堆、锅炉、机器、机械器具及零件,101.9,117.5,119.7
85,第85章电机、电气设备及其零件；录音机及放声机、电视图像、声音的录制和重放设备及其零件、附件,113.5,94.2,106.9
17类,第十七类 车辆、航空器、船舶及运输设备,96.6,101.9,98.4
86,第86章铁道及电车道机车、车辆及其零件；铁道及电车道轨道固定装置及其零件；附件；各种机械（包括电动机械）交通信号设备,102.2,96.2,98.3
87,第87章车辆及其零件、附件，但铁道及电车道车辆除外,96.3,108.2,104.2
88,第88章航空器、航天器及其零件,100.9,67.7,68.3
89,第89章船舶及浮动结构体,91.9,44.2,40.7
18类,第十八类 光学、医疗等仪器；钟表；乐器,104.6,95.3,99.7
90,第90章光学、照相、电影、计量、检验、医疗或外科用仪器及设备、精密仪器及设备；上述物品的零件、附件,104.4,94.8,99.0
91,第91章钟表及其零件,108.8,110.2,119.8
92,第92章乐器及其零件、附件,98.2,71.4,70.1
19类,第十九类 武器、弹药及其零件、附件,64.6,359.5,232.3
93,第93章武器、弹药及其零件、附件,64.6,359.5,232.3
20类,第二十类 杂项制品,103.1,87.6,90.2
94,第94章家具；寝具、褥垫、弹簧床垫、软坐垫及类似的填充制品；未列名灯具及照明装置；发光标志、发光铭牌及类似品；活动房屋,109.0,84.9,92.5
95,第95章玩具、游戏品、运动用品及其零件、附件,93.8,94.7,88.9
96,第96章杂项制品,110.8,79.8,88.4
21类,第二十一类 艺术品、收藏品及古物,79.4,87.7,69.7
97,第97章艺术品、收藏品及古物,79.4,87.7,69.7
98,第98章特殊交易品及未分类商品,106.5,116.6,124.1
