表十三 2023年11月份全国进口商品贸易同比指数（HS2分类）,表十三 2023年11月份全国进口商品贸易同比指数（HS2分类）,表十三 2023年11月份全国进口商品贸易同比指数（HS2分类）,表十三 2023年11月份全国进口商品贸易同比指数（HS2分类）,表十三 2023年11月份全国进口商品贸易同比指数（HS2分类）
"Table 13 Index Number of Imports by HS2,Nov. 2023","Table 13 Index Number of Imports by HS2,Nov. 2023","Table 13 Index Number of Imports by HS2,Nov. 2023","Table 13 Index Number of Imports by HS2,Nov. 2023","Table 13 Index Number of Imports by HS2,Nov. 2023"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
HS编码 code,商品名称 Description,价格指数 Unit value,数量指数 Quantum,价值指数 Value
总指数,总指数,100.0,100.6,100.6
1类,第一类 活动物；动物产品,85.4,91.3,78.0
01,第1章活动物,63.6,108.4,68.9
02,第2章肉及食用杂碎,80.7,87.9,71.0
03,第3章鱼、甲壳动物、软体动物及其他水生无脊椎动物,92.8,94.1,87.4
04,第4章乳品；蛋品；天然蜂蜜；其他食用动物产品,86.6,94.4,81.8
05,第5章其他动物产品,88.6,89.4,79.2
2类,第二类 植物产品,87.9,115.1,101.2
06,第6章活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,109.5,108.3,118.7
07,第7章食用蔬菜、根及块茎,88.7,104.2,92.4
08,第8章食用水果及坚果；甜瓜或柑橘属水果的果皮,100.1,88.4,88.5
09,第9章咖啡、茶、马黛茶及调味香料,96.7,110.9,107.3
10,第10章谷物,81.4,187.1,152.3
11,第11章制粉工业产品；麦芽；淀粉；菊粉；面筋,113.4,98.8,112.0
12,第12章含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,86.7,106.4,92.2
13,第13章虫胶；树胶、树脂及其他植物液、汁,91.4,67.0,61.2
14,第14章编结用植物材料；其他植物产品,104.5,120.9,126.3
3类,第三类 动、植物油、脂、蜡；精制食用油脂,81.8,82.9,67.8
15,第15章动、植物或微生物油、脂及其分解产品；精制的食用油脂；动、植物蜡,81.8,82.9,67.8
4类,第四类 食品；饮料、酒及醋；烟草及制品,111.3,89.2,99.2
16,第16章肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物、昆虫的制品,86.2,150.2,129.4
17,第17章糖及糖食,124.0,75.8,94.0
18,第18章可可及可可制品,101.6,108.9,110.7
19,第19章谷物、粮食粉、淀粉或乳的制品；糕饼点心,112.2,66.3,74.4
20,第20章蔬菜、水果、坚果或植物其他部分的制品,103.9,119.5,124.3
21,第21章杂项食品,113.7,99.4,113.0
22,第22章饮料、酒及醋,114.6,73.6,84.4
23,第23章食品工业的残渣及废料；配制的动物饲料,103.7,113.5,117.7
24,第24章烟草、烟草及烟草代用品的制品；非经燃烧吸用的产品，不论是否含有尼古丁；其他供人体摄入尼古丁的含尼古丁的产品,129.5,83.8,108.5
5类,第五类 矿产品,96.3,100.6,96.9
25,第25章盐；硫磺；泥土及石料；石膏料、石灰及水泥,91.1,77.5,70.6
26,第26章矿砂、矿渣及矿灰,113.9,103.0,117.3
27,第27章矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,89.8,100.7,90.4
6类,第六类 化学工业及其相关工业的产品,92.1,101.8,93.7
28,第28章无机化学品；贵金属、稀土金属、放射性元素及其同位素的有机及无机化合物,85.6,108.6,93.0
29,第29章有机化学品,99.8,94.7,94.5
30,第30章药品,84.8,121.1,102.7
31,第31章肥料,55.2,194.8,107.4
32,第32章鞣料浸膏及染料浸膏；鞣酸及其衍生物；染料、颜料及其他着色料；油漆及清漆；油灰及其他类似胶粘剂；墨水、油墨,102.1,110.4,112.7
33,第33章精油及香膏；芳香料制品及化妆盥洗品,88.1,88.7,78.1
34,第34章肥皂、有机表面活性剂、洗涤剂、润滑剂、人造蜡、调制蜡、光洁剂、蜡烛及类似品、塑型用膏、“牙科用蜡”及牙科用熟石膏制剂,102.4,85.9,87.9
35,第35章蛋白类物质；改性淀粉；胶；酶,113.3,80.8,91.6
36,第36章炸药；烟火制品；引火合金；易燃材料制品,107.5,102.8,110.5
37,第37章照相及电影用品,113.2,95.7,108.3
38,第38章杂项化学产品,96.6,88.7,85.7
7类,第七类 塑料及其制品；橡胶及其制品,95.5,94.1,89.9
39,第39章塑料及其制品,94.8,94.2,89.3
40,第40章橡胶及其制品,98.1,93.8,92.0
8类,第八类 革、毛皮及制品；箱包；肠线制品,93.5,117.3,109.6
41,第41章生皮（毛皮除外）及皮革,91.2,114.5,104.5
42,第42章皮革制品；鞍具及挽具；旅行用品、手提包及类似容器；动物肠线（蚕胶丝除外）制品,93.3,122.6,114.3
