表十三 2025年5月份全国进口商品贸易同比指数（HS2分类）,表十三 2025年5月份全国进口商品贸易同比指数（HS2分类）,表十三 2025年5月份全国进口商品贸易同比指数（HS2分类）,表十三 2025年5月份全国进口商品贸易同比指数（HS2分类）,表十三 2025年5月份全国进口商品贸易同比指数（HS2分类）
"Table 13 Index Number of Imports by HS2,May 2025","Table 13 Index Number of Imports by HS2,May 2025","Table 13 Index Number of Imports by HS2,May 2025","Table 13 Index Number of Imports by HS2,May 2025","Table 13 Index Number of Imports by HS2,May 2025"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
HS编码 	code,商品名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
总指数,总指数,99.2,98.7,97.9
1类,第一类 活动物；动物产品,104.7,100.9,105.7
01,第1章活动物,103.7,505.5,524.2
02,第2章肉及食用杂碎,106.1,88.5,93.9
03,第3章鱼、甲壳动物、软体动物及其他水生无脊椎动物,101.5,109.8,111.4
04,第4章乳品；蛋品；天然蜂蜜；其他食用动物产品,110.7,102.6,113.6
05,第5章其他动物产品,94.7,99.0,93.7
2类,第二类 植物产品,94.8,108.6,103.0
06,第6章活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,113.5,100.2,113.8
07,第7章食用蔬菜、根及块茎,95.1,227.2,216.0
08,第8章食用水果及坚果；甜瓜或柑橘属水果的果皮,104.5,87.9,91.8
09,第9章咖啡、茶、马黛茶及调味香料,107.7,144.5,155.6
10,第10章谷物,93.1,47.0,43.7
11,第11章制粉工业产品；麦芽；淀粉；菊粉；面筋,73.9,186.1,137.6
12,第12章含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,91.5,130.0,118.9
13,第13章虫胶；树胶、树脂及其他植物液、汁,101.5,75.9,77.0
14,第14章编结用植物材料；其他植物产品,124.8,100.4,125.3
3类,第三类 动、植物油、脂、蜡；精制食用油脂,115.9,99.2,114.9
15,第15章动、植物或微生物油、脂及其分解产品；精制的食用油脂；动、植物蜡,115.9,99.2,114.9
4类,第四类 食品；饮料、酒及醋；烟草及制品,101.4,106.6,108.1
16,第16章肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物、昆虫的制品,93.1,115.2,107.2
17,第17章糖及糖食,78.5,167.3,131.4
18,第18章可可及可可制品,151.1,84.7,128.0
19,第19章谷物、粮食粉、淀粉或乳的制品；糕饼点心,110.4,94.0,103.7
20,第20章蔬菜、水果、坚果或植物其他部分的制品,102.7,97.7,100.3
21,第21章杂项食品,108.5,106.2,115.3
22,第22章饮料、酒及醋,100.7,92.1,92.8
23,第23章食品工业的残渣及废料；配制的动物饲料,87.9,126.6,111.3
24,第24章烟草、烟草及烟草代用品的制品；非经燃烧吸用的产品，不论是否含有尼古丁；其他供人体摄入尼古丁的含尼古丁的产品,112.4,95.4,107.2
5类,第五类 矿产品,88.9,97.9,87.0
25,第25章盐；硫磺；泥土及石料；石膏料、石灰及水泥,108.8,90.3,98.2
26,第26章矿砂、矿渣及矿灰,100.9,103.8,104.8
27,第27章矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,82.8,94.9,78.5
6类,第六类 化学工业及其相关工业的产品,93.2,105.8,98.6
28,第28章无机化学品；贵金属、稀土金属、放射性元素及其同位素的有机及无机化合物,98.0,100.0,98.0
29,第29章有机化学品,90.3,111.9,101.1
30,第30章药品,88.1,111.7,98.4
31,第31章肥料,94.6,102.4,96.8
32,第32章鞣料浸膏及染料浸膏；鞣酸及其衍生物；染料、颜料及其他着色料；油漆及清漆；油灰及其他类似胶粘剂；墨水、油墨,108.2,93.7,101.4
33,第33章精油及香膏；芳香料制品及化妆盥洗品,85.6,112.1,95.9
34,第34章肥皂、有机表面活性剂、洗涤剂、润滑剂、人造蜡、调制蜡、光洁剂、蜡烛及类似品、塑型用膏、“牙科用蜡”及牙科用熟石膏制剂,104.0,94.3,98.1
35,第35章蛋白类物质；改性淀粉；胶；酶,107.9,91.7,99.0
36,第36章炸药；烟火制品；引火合金；易燃材料制品,91.5,132.5,121.3
37,第37章照相及电影用品,108.8,89.7,97.6
38,第38章杂项化学产品,99.7,97.1,96.8
7类,第七类 塑料及其制品；橡胶及其制品,103.3,96.1,99.3
39,第39章塑料及其制品,100.9,92.1,92.9
40,第40章橡胶及其制品,112.1,112.1,125.6
8类,第八类 革、毛皮及制品；箱包；肠线制品,91.5,98.5,90.1
41,第41章生皮（毛皮除外）及皮革,94.7,85.1,80.6
42,第42章皮革制品；鞍具及挽具；旅行用品、手提包及类似容器；动物肠线（蚕胶丝除外）制品,90.8,110.1,99.9
43,第43章毛皮、人造毛皮及其制品,86.6,77.3,67.0
9类,第九类 木及制品；木炭；软木；编结品,100.3,81.0,81.3
44,第44章木及木制品；木炭,100.3,80.9,81.2
45,第45章软木及软木制品,77.2,147.4,113.8
46,第46章稻草、秸秆、针茅或其他编结材料制品；篮筐及柳条编结品,100.1,109.2,109.3
10类,第十类 木浆等；废纸；纸、纸板及其制品,95.4,105.2,100.3
47,第47章木浆及其他纤维状纤维素浆；回收（废碎）纸及纸板,97.6,107.1,104.6
48,第48章纸及纸板；纸浆、纸或纸板制品,99.3,88.7,88.1
49,第49章书籍、报纸、印刷图画及其他印刷品；手稿、打字稿及设计图纸,65.3,149.4,97.6
11类,第十一类 纺织原料及纺织制品,97.3,76.0,74.0
50,第50章蚕丝,93.9,77.1,72.4
51,第51章羊毛、动物细毛或粗毛；马毛纱线及其机织物,104.6,88.2,92.3
52,第52章棉花,95.5,38.8,37.1
53,第53章其他植物纺织纤维；纸纱线及其机织物,75.9,137.6,104.5
54,第54章化学纤维长丝；化学纤维纺织材料制扁条及类似品,104.4,80.6,84.2
55,第55章化学纤维短纤,101.4,86.1,87.4
56,第56章絮胎、毡呢及无纺织物；特种纱线；线、绳、索、缆及其制品,101.7,108.1,109.9
57,第57章地毯及纺织材料的其他铺地制品,86.2,99.7,86.0
58,第58章特种机织物；簇绒织物；花边；装饰毯；装饰带；刺绣品,104.2,79.9,83.3
59,第59章浸渍、涂布、包覆或层压的纺织物；工业用纺织制品,109.6,87.9,96.4
60,第60章针织物及钩编织物,96.1,87.3,83.9
61,第61章针织或钩编的服装及衣着附件,101.7,90.1,91.7
62,第62章非针织或非钩编的服装及衣着附件,87.7,102.6,90.0
63,第63章其他纺织制成品；成套物品；旧衣着及旧纺织品；碎织物,89.5,109.2,97.7
12类,第十二类 鞋帽伞等；羽毛品；人造花；人发品,112.9,79.1,89.3
64,第64章鞋靴、护腿和类似品及其零件,109.3,77.7,84.9
65,第65章帽类及其零件,64.7,148.2,95.9
66,第66章雨伞、阳伞、手杖、鞭子、马鞭及其零件,80.5,235.5,189.5
67,第67章已加工羽毛、羽绒及其制品；人造花；人发制品,142.3,76.1,108.2
13类,第十三类 矿物材料制品；陶瓷品；玻璃及制品,102.9,92.6,95.3
68,第68章石料、石膏、水泥、石棉、云母及类似材料的制品,90.1,112.5,101.4
69,第69章陶瓷产品,121.4,84.1,102.1
70,第70章玻璃及其制品,104.1,88.5,92.2
14类,第十四类 珠宝、贵金属及制品；仿首饰；硬币,135.7,73.8,100.2
71,第71章天然或养殖珍珠、宝石或半宝石、贵金属、包贵金属及其制品；仿首饰；硬币,135.7,73.8,100.2
15类,第十五类 贱金属及其制品,100.0,93.8,93.8
72,第72章钢铁,95.0,97.0,92.2
73,第73章钢铁制品,109.2,83.0,90.7
74,第74章铜及其制品,100.3,86.3,86.6
75,第75章镍及其制品,89.4,124.6,111.5
76,第76章铝及其制品,105.5,109.2,115.2
78,第78章铅及其制品,103.4,221.0,228.5
79,第79章锌及其制品,98.1,66.8,65.5
80,第80章锡及其制品,107.1,241.5,258.6
81,第81章其他贱金属、金属陶瓷及其制品,134.2,87.2,117.0
82,第82章贱金属工具、器具、利口器、餐匙、餐叉及其零件,93.6,93.5,87.5
83,第83章贱金属杂项制品,99.6,98.2,97.9
16类,第十六类 机电、音像设备及其零件、附件,104.5,106.8,111.6
84,第84章核反应堆、锅炉、机器、机械器具及零件,106.1,112.8,119.7
85,第85章电机、电气设备及其零件；录音机及放声机、电视图像、声音的录制和重放设备及其零件、附件,103.9,104.3,108.4
17类,第十七类 车辆、航空器、船舶及运输设备,97.3,76.4,74.3
86,第86章铁道及电车道机车、车辆及其零件；铁道及电车道轨道固定装置及其零件；附件；各种机械（包括电动机械）交通信号设备,98.4,101.5,99.8
87,第87章车辆及其零件、附件，但铁道及电车道车辆除外,97.4,77.2,75.2
88,第88章航空器、航天器及其零件,96.3,97.5,93.8
89,第89章船舶及浮动结构体,103.2,5.9,6.1
18类,第十八类 光学、医疗等仪器；钟表；乐器,102.2,93.5,95.5
90,第90章光学、照相、电影、计量、检验、医疗或外科用仪器及设备、精密仪器及设备；上述物品的零件、附件,101.5,95.2,96.6
91,第91章钟表及其零件,114.5,68.3,78.2
92,第92章乐器及其零件、附件,82.8,93.5,77.5
19类,第十九类 武器、弹药及其零件、附件,146.2,16.1,23.5
93,第93章武器、弹药及其零件、附件,146.2,16.1,23.5
