表十六 2023年12月份全国进口商品贸易同比指数（国民经济行业分类）,表十六 2023年12月份全国进口商品贸易同比指数（国民经济行业分类）,表十六 2023年12月份全国进口商品贸易同比指数（国民经济行业分类）,表十六 2023年12月份全国进口商品贸易同比指数（国民经济行业分类）
"Table 16 Index Number of Imports by Industry,Dec. 2023","Table 16 Index Number of Imports by Industry,Dec. 2023","Table 16 Index Number of Imports by Industry,Dec. 2023","Table 16 Index Number of Imports by Industry,Dec. 2023"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
行业名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
农、林、牧、渔业,89.9,114.2,102.7
农业,88.9,115.7,102.9
林业,96.4,92.0,88.7
畜牧业,88.8,98.9,87.8
渔业,102.3,143.8,147.2
采矿业,96.8,110.7,107.1
煤炭开采和洗选业,75.0,164.2,123.1
石油和天然气开采业,92.7,105.2,97.5
黑色金属矿采选业,122.8,111.9,137.4
有色金属矿采选业,100.3,116.7,117.0
非金属矿采选业,83.4,93.1,77.7
制造业,99.3,99.9,99.1
消费品制造业,95.6,94.0,89.8
农副食品加工业,91.5,90.5,82.8
食品制造业,106.0,85.6,90.7
酒、饮料和精制茶制造业,112.0,87.6,98.1
烟草制品业,113.8,224.5,255.3
纺织业,105.5,123.5,130.2
纺织服装、服饰业,107.0,115.3,123.4
皮革、毛皮、羽毛及其制品和制鞋业,114.7,101.5,116.4
家具制造业,102.5,95.0,97.3
造纸和纸制品业,75.9,140.3,106.4
印刷和记录媒介复制业,94.4,117.0,110.4
文教、工美、体育和娱乐用品制造业,111.0,31.8,35.3
医药制造业,97.5,104.5,101.9
化学纤维制造业,95.4,127.2,121.4
原材料制造业,97.3,94.3,91.7
石油、煤炭及其他燃料加工业,92.1,123.1,113.4
化学原料和化学制品制造业,94.5,99.7,94.3
非金属矿物制品业,110.8,80.5,89.2
黑色金属冶炼和压延加工业,82.2,122.1,100.4
有色金属冶炼和压延加工业,104.7,78.3,82.0
装备制造业,100.8,103.9,104.7
金属制品业,103.2,96.5,99.6
通用设备制造业,105.5,98.3,103.7
专用设备制造业,110.4,125.8,138.9
汽车制造业,99.4,119.5,118.9
铁路、船舶、航空航天和其他运输设备制造业,79.8,58.0,46.3
电气机械和器材制造业,100.8,91.6,92.4
计算机、通信和其他电子设备制造业,99.9,103.3,103.2
仪器仪表制造业,103.2,104.8,108.2
木材加工和木、竹、藤、棕、草制品业,91.7,101.7,93.2
橡胶和塑料制品业,107.8,96.7,104.2
其他制造业,115.7,90.6,104.8
废弃资源综合利用业,102.2,130.6,133.4
电力、热力、燃气及水生产和供应业,104.1,38.9,40.5
电力、热力生产和供应业,104.1,38.9,40.5
