表一 2024年9月份全国出口商品贸易同比指数（HS2分类）,表一 2024年9月份全国出口商品贸易同比指数（HS2分类）,表一 2024年9月份全国出口商品贸易同比指数（HS2分类）,表一 2024年9月份全国出口商品贸易同比指数（HS2分类）,表一 2024年9月份全国出口商品贸易同比指数（HS2分类）
"Table 1 Index Number of Exports by HS2,Sept. 2024","Table 1 Index Number of Exports by HS2,Sept. 2024","Table 1 Index Number of Exports by HS2,Sept. 2024","Table 1 Index Number of Exports by HS2,Sept. 2024","Table 1 Index Number of Exports by HS2,Sept. 2024"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
HS编码 code,商品名称 Description,价格指数 Unit value,数量指数 Quantum,价值指数 Value
总指数,总指数,95.1,106.8,101.6
1类,第一类 活动物；动物产品,92.2,113.2,104.3
01,第1章活动物,100.1,93.0,93.2
02,第2章肉及食用杂碎,93.4,139.0,129.8
03,第3章鱼、甲壳动物、软体动物及其他水生无脊椎动物,89.8,114.3,102.6
04,第4章乳品；蛋品；天然蜂蜜；其他食用动物产品,90.7,108.5,98.4
05,第5章其他动物产品,106.1,98.9,105.0
2类,第二类 植物产品,93.2,107.8,100.5
06,第6章活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,77.9,131.0,102.1
07,第7章食用蔬菜、根及块茎,96.4,110.3,106.3
08,第8章食用水果及坚果；甜瓜或柑橘属水果的果皮,96.0,115.8,111.1
09,第9章咖啡、茶、马黛茶及调味香料,87.1,95.4,83.1
10,第10章谷物,106.5,47.2,50.2
11,第11章制粉工业产品；麦芽；淀粉；菊粉；面筋,82.2,144.8,119.1
12,第12章含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,91.4,110.4,100.9
13,第13章虫胶；树胶、树脂及其他植物液、汁,82.7,107.5,88.9
14,第14章编结用植物材料；其他植物产品,89.5,116.2,104.0
3类,第三类 动、植物油、脂、蜡；精制食用油脂,94.6,110.1,104.2
15,第15章动、植物或微生物油、脂及其分解产品；精制的食用油脂；动、植物蜡,94.6,110.1,104.2
4类,第四类 食品；饮料、酒及醋；烟草及制品,93.9,103.0,96.7
16,第16章肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物、昆虫的制品,93.8,106.6,100.0
17,第17章糖及糖食,95.1,104.8,99.7
18,第18章可可及可可制品,106.8,116.7,124.7
19,第19章谷物、粮食粉、淀粉或乳的制品；糕饼点心,97.5,113.4,110.5
20,第20章蔬菜、水果、坚果或植物其他部分的制品,90.0,104.4,94.0
21,第21章杂项食品,86.3,99.1,85.5
22,第22章饮料、酒及醋,104.3,97.6,101.8
23,第23章食品工业的残渣及废料；配制的动物饲料,91.5,118.7,108.6
24,第24章烟草、烟草及烟草代用品的制品；非经燃烧吸用的产品，不论是否含有尼古丁；其他供人体摄入尼古丁的含尼古丁的产品,98.6,91.7,90.4
5类,第五类 矿产品,86.1,97.9,84.2
25,第25章盐；硫磺；泥土及石料；石膏料、石灰及水泥,91.5,108.9,99.6
26,第26章矿砂、矿渣及矿灰,89.4,108.7,97.2
27,第27章矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,85.5,96.6,82.7
6类,第六类 化学工业及其相关工业的产品,93.9,99.3,93.3
28,第28章无机化学品；贵金属、稀土金属、放射性元素及其同位素的有机及无机化合物,91.1,88.4,80.5
29,第29章有机化学品,96.2,105.0,101.0
30,第30章药品,88.0,107.6,94.7
31,第31章肥料,103.1,83.0,85.6
32,第32章鞣料浸膏及染料浸膏；鞣酸及其衍生物；染料、颜料及其他着色料；油漆及清漆；油灰及其他类似胶粘剂；墨水、油墨,93.8,105.3,98.7
33,第33章精油及香膏；芳香料制品及化妆盥洗品,90.0,115.1,103.7
34,第34章肥皂、有机表面活性剂、洗涤剂、润滑剂、人造蜡、调制蜡、光洁剂、蜡烛及类似品、塑型用膏、“牙科用蜡”及牙科用熟石膏制剂,98.9,105.7,104.5
35,第35章蛋白类物质；改性淀粉；胶；酶,93.2,103.8,96.7
36,第36章炸药；烟火制品；引火合金；易燃材料制品,96.7,247.2,239.2
37,第37章照相及电影用品,99.3,97.5,96.8
38,第38章杂项化学产品,89.4,89.5,80.0
7类,第七类 塑料及其制品；橡胶及其制品,91.8,107.9,99.0
39,第39章塑料及其制品,90.1,109.6,98.8
40,第40章橡胶及其制品,98.5,101.6,100.0
8类,第八类 革、毛皮及制品；箱包；肠线制品,85.4,101.8,86.9
41,第41章生皮（毛皮除外）及皮革,102.6,139.9,143.6
42,第42章皮革制品；鞍具及挽具；旅行用品、手提包及类似容器；动物肠线（蚕胶丝除外）制品,85.4,102.0,87.1
43,第43章毛皮、人造毛皮及其制品,74.2,75.5,56.0
9类,第九类 木及制品；木炭；软木；编结品,86.4,115.7,99.9
44,第44章木及木制品；木炭,87.7,116.1,101.8
45,第45章软木及软木制品,96.8,78.8,76.3
46,第46章稻草、秸秆、针茅或其他编结材料制品；篮筐及柳条编结品,71.9,112.6,81.0
10类,第十类 木浆等；废纸；纸、纸板及其制品,90.0,106.1,95.5
47,第47章木浆及其他纤维状纤维素浆；回收（废碎）纸及纸板,102.5,98.8,101.3
48,第48章纸及纸板；纸浆、纸或纸板制品,88.9,107.2,95.3
49,第49章书籍、报纸、印刷图画及其他印刷品；手稿、打字稿及设计图纸,96.9,99.5,96.4
11类,第十一类 纺织原料及纺织制品,92.0,103.7,95.4
50,第50章蚕丝,103.0,84.6,87.2
51,第51章羊毛、动物细毛或粗毛；马毛纱线及其机织物,97.2,67.0,65.1
52,第52章棉花,93.9,100.1,94.0
53,第53章其他植物纺织纤维；纸纱线及其机织物,126.5,85.6,108.4
54,第54章化学纤维长丝；化学纤维纺织材料制扁条及类似品,95.9,96.8,92.8
55,第55章化学纤维短纤,98.8,100.9,99.8
56,第56章絮胎、毡呢及无纺织物；特种纱线；线、绳、索、缆及其制品,89.6,108.0,96.8
57,第57章地毯及纺织材料的其他铺地制品,90.1,116.6,105.1
58,第58章特种机织物；簇绒织物；花边；装饰毯；装饰带；刺绣品,88.8,113.7,101.0
59,第59章浸渍、涂布、包覆或层压的纺织物；工业用纺织制品,97.6,100.6,98.2
60,第60章针织物及钩编织物,95.2,106.1,101.0
61,第61章针织或钩编的服装及衣着附件,91.4,106.0,97.0
62,第62章非针织或非钩编的服装及衣着附件,87.6,103.2,90.3
63,第63章其他纺织制成品；成套物品；旧衣着及旧纺织品；碎织物,91.7,105.5,96.8
12类,第十二类 鞋帽伞等；羽毛品；人造花；人发品,88.5,101.0,89.4
64,第64章鞋靴、护腿和类似品及其零件,88.4,99.4,87.9
