表十三 2025年6月份全国进口商品贸易同比指数（HS2分类）,表十三 2025年6月份全国进口商品贸易同比指数（HS2分类）,表十三 2025年6月份全国进口商品贸易同比指数（HS2分类）,表十三 2025年6月份全国进口商品贸易同比指数（HS2分类）,表十三 2025年6月份全国进口商品贸易同比指数（HS2分类）
"Table 13 Index Number of Imports by HS2,June 2025","Table 13 Index Number of Imports by HS2,June 2025","Table 13 Index Number of Imports by HS2,June 2025","Table 13 Index Number of Imports by HS2,June 2025","Table 13 Index Number of Imports by HS2,June 2025"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
HS编码 	code,商品名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
总指数,总指数,99.3,103.0,102.3
1类,第一类 活动物；动物产品,106.9,104.5,111.8
01,第1章活动物,108.3,493.9,535.0
02,第2章肉及食用杂碎,106.2,104.5,110.9
03,第3章鱼、甲壳动物、软体动物及其他水生无脊椎动物,106.7,105.0,112.0
04,第4章乳品；蛋品；天然蜂蜜；其他食用动物产品,110.7,93.3,103.3
05,第5章其他动物产品,101.1,98.1,99.2
2类,第二类 植物产品,93.1,106.8,99.4
06,第6章活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,109.6,119.5,130.9
07,第7章食用蔬菜、根及块茎,95.3,175.7,167.5
08,第8章食用水果及坚果；甜瓜或柑橘属水果的果皮,94.6,133.1,125.9
09,第9章咖啡、茶、马黛茶及调味香料,129.3,172.2,222.7
10,第10章谷物,95.5,50.6,48.3
11,第11章制粉工业产品；麦芽；淀粉；菊粉；面筋,75.2,199.2,149.8
12,第12章含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,91.4,104.9,95.9
13,第13章虫胶；树胶、树脂及其他植物液、汁,109.6,71.1,77.9
14,第14章编结用植物材料；其他植物产品,114.7,123.4,141.5
3类,第三类 动、植物油、脂、蜡；精制食用油脂,114.0,118.5,135.1
15,第15章动、植物或微生物油、脂及其分解产品；精制的食用油脂；动、植物蜡,114.0,118.5,135.1
4类,第四类 食品；饮料、酒及醋；烟草及制品,99.3,108.0,107.2
16,第16章肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物、昆虫的制品,97.9,112.8,110.5
17,第17章糖及糖食,95.9,159.8,153.2
18,第18章可可及可可制品,140.4,90.5,127.2
19,第19章谷物、粮食粉、淀粉或乳的制品；糕饼点心,101.3,112.4,113.8
20,第20章蔬菜、水果、坚果或植物其他部分的制品,108.1,98.7,106.7
21,第21章杂项食品,101.6,137.3,139.5
22,第22章饮料、酒及醋,92.6,108.7,100.6
23,第23章食品工业的残渣及废料；配制的动物饲料,88.8,106.6,94.7
24,第24章烟草、烟草及烟草代用品的制品；非经燃烧吸用的产品，不论是否含有尼古丁；其他供人体摄入尼古丁的含尼古丁的产品,110.7,56.5,62.5
5类,第五类 矿产品,88.6,103.8,92.0
25,第25章盐；硫磺；泥土及石料；石膏料、石灰及水泥,95.8,107.8,103.4
26,第26章矿砂、矿渣及矿灰,100.8,107.9,108.7
27,第27章矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,82.6,101.6,83.9
6类,第六类 化学工业及其相关工业的产品,98.1,100.7,98.8
28,第28章无机化学品；贵金属、稀土金属、放射性元素及其同位素的有机及无机化合物,94.5,116.5,110.2
29,第29章有机化学品,104.7,95.7,100.3
30,第30章药品,87.8,99.2,87.1
31,第31章肥料,99.1,82.3,81.6
32,第32章鞣料浸膏及染料浸膏；鞣酸及其衍生物；染料、颜料及其他着色料；油漆及清漆；油灰及其他类似胶粘剂；墨水、油墨,108.6,93.6,101.6
33,第33章精油及香膏；芳香料制品及化妆盥洗品,89.8,120.1,107.9
34,第34章肥皂、有机表面活性剂、洗涤剂、润滑剂、人造蜡、调制蜡、光洁剂、蜡烛及类似品、塑型用膏、“牙科用蜡”及牙科用熟石膏制剂,101.3,94.5,95.7
35,第35章蛋白类物质；改性淀粉；胶；酶,107.9,97.9,105.6
36,第36章炸药；烟火制品；引火合金；易燃材料制品,132.9,93.9,124.8
37,第37章照相及电影用品,108.7,99.7,108.4
38,第38章杂项化学产品,105.2,97.5,102.5
7类,第七类 塑料及其制品；橡胶及其制品,103.1,94.6,97.5
39,第39章塑料及其制品,101.6,89.5,91.0
40,第40章橡胶及其制品,108.5,114.4,124.1
8类,第八类 革、毛皮及制品；箱包；肠线制品,98.1,89.2,87.5
41,第41章生皮（毛皮除外）及皮革,93.9,79.8,74.9
42,第42章皮革制品；鞍具及挽具；旅行用品、手提包及类似容器；动物肠线（蚕胶丝除外）制品,100.5,101.0,101.5
43,第43章毛皮、人造毛皮及其制品,95.1,52.5,49.9
9类,第九类 木及制品；木炭；软木；编结品,99.0,89.7,88.8
44,第44章木及木制品；木炭,99.0,89.6,88.7
45,第45章软木及软木制品,119.9,92.8,111.3
46,第46章稻草、秸秆、针茅或其他编结材料制品；篮筐及柳条编结品,110.6,94.4,104.4
10类,第十类 木浆等；废纸；纸、纸板及其制品,97.1,105.3,102.2
47,第47章木浆及其他纤维状纤维素浆；回收（废碎）纸及纸板,94.9,116.9,111.0
48,第48章纸及纸板；纸浆、纸或纸板制品,98.1,83.0,81.4
49,第49章书籍、报纸、印刷图画及其他印刷品；手稿、打字稿及设计图纸,118.3,68.8,81.4
11类,第十一类 纺织原料及纺织制品,94.8,88.3,83.7
50,第50章蚕丝,98.2,102.9,101.0
51,第51章羊毛、动物细毛或粗毛；马毛纱线及其机织物,100.0,77.3,77.3
52,第52章棉花,95.6,56.3,53.8
53,第53章其他植物纺织纤维；纸纱线及其机织物,78.4,139.0,108.9
54,第54章化学纤维长丝；化学纤维纺织材料制扁条及类似品,99.4,78.9,78.5
55,第55章化学纤维短纤,103.6,80.0,82.8
56,第56章絮胎、毡呢及无纺织物；特种纱线；线、绳、索、缆及其制品,97.5,106.1,103.5
57,第57章地毯及纺织材料的其他铺地制品,91.4,99.8,91.3
58,第58章特种机织物；簇绒织物；花边；装饰毯；装饰带；刺绣品,102.8,92.8,95.5
59,第59章浸渍、涂布、包覆或层压的纺织物；工业用纺织制品,97.4,92.6,90.2
60,第60章针织物及钩编织物,99.4,79.5,79.0
61,第61章针织或钩编的服装及衣着附件,94.3,104.1,98.2
62,第62章非针织或非钩编的服装及衣着附件,89.5,120.0,107.4
63,第63章其他纺织制成品；成套物品；旧衣着及旧纺织品；碎织物,88.6,127.3,112.8
12类,第十二类 鞋帽伞等；羽毛品；人造花；人发品,112.4,91.7,103.1
64,第64章鞋靴、护腿和类似品及其零件,109.6,89.2,97.8
65,第65章帽类及其零件,107.9,125.6,135.6
66,第66章雨伞、阳伞、手杖、鞭子、马鞭及其零件,71.4,92.9,66.4
67,第67章已加工羽毛、羽绒及其制品；人造花；人发制品,126.9,97.4,123.6
13类,第十三类 矿物材料制品；陶瓷品；玻璃及制品,95.6,97.4,93.2
68,第68章石料、石膏、水泥、石棉、云母及类似材料的制品,93.3,109.4,102.1
69,第69章陶瓷产品,98.6,98.9,97.5
70,第70章玻璃及其制品,95.9,93.7,89.8
14类,第十四类 珠宝、贵金属及制品；仿首饰；硬币,135.8,112.0,152.1
71,第71章天然或养殖珍珠、宝石或半宝石、贵金属、包贵金属及其制品；仿首饰；硬币,135.8,112.0,152.1
15类,第十五类 贱金属及其制品,99.4,107.5,106.9
72,第72章钢铁,93.9,113.6,106.6
73,第73章钢铁制品,109.8,89.2,97.9
74,第74章铜及其制品,98.9,106.8,105.7
75,第75章镍及其制品,91.0,115.2,104.8
76,第76章铝及其制品,103.9,115.4,120.0
78,第78章铅及其制品,92.6,155.9,144.3
79,第79章锌及其制品,98.3,110.4,108.4
80,第80章锡及其制品,107.4,481.0,516.6
81,第81章其他贱金属、金属陶瓷及其制品,147.0,77.2,113.4
82,第82章贱金属工具、器具、利口器、餐匙、餐叉及其零件,110.1,77.4,85.2
83,第83章贱金属杂项制品,103.6,94.7,98.1
16类,第十六类 机电、音像设备及其零件、附件,105.3,104.7,110.2
84,第84章核反应堆、锅炉、机器、机械器具及零件,101.7,110.1,111.9
85,第85章电机、电气设备及其零件；录音机及放声机、电视图像、声音的录制和重放设备及其零件、附件,106.6,102.8,109.5
17类,第十七类 车辆、航空器、船舶及运输设备,107.7,79.6,85.7
86,第86章铁道及电车道机车、车辆及其零件；铁道及电车道轨道固定装置及其零件；附件；各种机械（包括电动机械）交通信号设备,104.5,83.7,87.5
87,第87章车辆及其零件、附件，但铁道及电车道车辆除外,99.4,70.5,70.1
88,第88章航空器、航天器及其零件,136.2,107.4,146.4
89,第89章船舶及浮动结构体,96.4,944.5,910.3
18类,第十八类 光学、医疗等仪器；钟表；乐器,105.8,100.1,106.0
90,第90章光学、照相、电影、计量、检验、医疗或外科用仪器及设备、精密仪器及设备；上述物品的零件、附件,105.4,101.4,106.9
91,第91章钟表及其零件,116.3,78.4,91.2
92,第92章乐器及其零件、附件,80.7,95.8,77.3
19类,第十九类 武器、弹药及其零件、附件,103.3,199.5,206.1
93,第93章武器、弹药及其零件、附件,103.3,199.5,206.1
20类,第二十类 杂项制品,106.6,129.1,137.7
94,第94章家具；寝具、褥垫、弹簧床垫、软坐垫及类似的填充制品；未列名灯具及照明装置；发光标志、发光铭牌及类似品；活动房屋,99.0,100.8,99.8
95,第95章玩具、游戏品、运动用品及其零件、附件,119.6,158.2,189.2
96,第96章杂项制品,96.7,109.6,106.0
21类,第二十一类 艺术品、收藏品及古物,76.8,331.1,254.3
97,第97章艺术品、收藏品及古物,76.8,331.1,254.3
22类,第二十二类 特殊交易品及未分类商品,139.2,64.6,89.9
98,第98章特殊交易品及未分类商品,139.2,64.6,89.9
