表二 2024年9月份全国出口商品贸易同比指数（SITC2分类）,表二 2024年9月份全国出口商品贸易同比指数（SITC2分类）,表二 2024年9月份全国出口商品贸易同比指数（SITC2分类）,表二 2024年9月份全国出口商品贸易同比指数（SITC2分类）,表二 2024年9月份全国出口商品贸易同比指数（SITC2分类）
"Table 2 Index Number of Exports by SITC2,Sept. 2024","Table 2 Index Number of Exports by SITC2,Sept. 2024","Table 2 Index Number of Exports by SITC2,Sept. 2024","Table 2 Index Number of Exports by SITC2,Sept. 2024","Table 2 Index Number of Exports by SITC2,Sept. 2024"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
SITC编码 code,商品名称 Description,价格指数 Unit value,数量指数 Quantum,价值指数 Value
0-4,初级产品,90.5,103.0,93.2
0,食品及活动物,92.6,108.1,100.1
00,活动物（03章动物除外）,100.1,93.0,93.2
01,肉及肉制品,94.6,125.5,118.8
02,乳品及蛋品,94.3,98.2,92.6
03,鱼（海生哺乳动物除外）、甲壳动物、软体动物、水生无脊椎动物及其制品,91.5,109.4,100.1
04,谷物及谷物制品,97.3,90.3,87.8
05,蔬菜及水果,94.1,110.0,103.5
06,糖、糖制品及蜂蜜,94.8,107.3,101.7
07,咖啡、茶、马黛茶、调味香料及其制品,89.9,98.6,88.7
08,动物饲料（不包括未碾磨谷物）,91.5,118.6,108.6
09,杂项食品,88.2,101.8,89.8
1,饮料及烟类,103.5,97.4,100.8
11,饮料,103.3,97.3,100.6
12,烟草及烟草制品,104.4,97.5,101.8
2,非食用原料（燃料除外）,94.4,104.4,98.6
21,生皮及生毛皮,119.5,103.7,123.9
22,含油子仁及果实,84.4,125.8,106.1
23,生橡胶（包括合成橡胶及再生橡胶）,107.0,103.2,110.5
24,软木及木材,84.9,98.2,83.4
25,纸浆及废纸,102.5,98.8,101.3
26,纺织纤维（不包括羊毛条及其他精梳羊毛）及其废料,100.0,88.6,88.6
27,天然肥料（不包括第56章的货品）及矿物（煤、石油及宝石除外）,92.5,104.5,96.6
28,金属矿砂及金属废料,92.1,116.5,107.3
29,其他动、植物原料,91.6,104.6,95.7
3,矿物燃料、润滑油及有关原料,85.5,96.6,82.7
32,煤、焦炭及煤砖,86.5,80.9,70.0
33,石油、石油产品及有关原料,83.6,96.9,81.0
34,天然气及人造气,107.4,102.1,109.6
35,电力,101.3,105.4,106.8
4,动、植物油、脂及蜡,94.7,108.3,102.5
41,动物油、脂,97.4,91.6,89.2
42,初榨、精制或分离的固定植物油、脂,89.1,94.7,84.4
43,已加工的动、植物油、脂;动植物蜡;动植物油、脂制成的未列名非食用混合物或制品,94.9,113.9,108.1
5-9,工业制品,95.3,107.0,102.0
5,化学品及有关产品,94.1,101.7,95.7
51,有机化学品,95.6,104.2,99.6
52,无机化学品,90.3,87.2,78.8
53,染料、鞣料及着色料,94.4,104.7,98.8
54,医药品,93.3,112.1,104.6
55,精油、香膏及芳香料;盥洗及光洁制品,93.3,110.1,102.6
56,肥料（272组货品除外）,102.9,82.7,85.1
57,初级形状的塑料,97.2,116.3,113.0
58,非初级形状的塑料,91.0,107.9,98.2
59,未列名化学原料及产品,91.9,91.6,84.2
6,按原料分类的制成品,91.9,109.5,100.7
61,皮革、皮革制品及已鞣毛皮,93.8,113.8,106.8
62,橡胶制品,97.2,100.2,97.4
63,软木及木制品（家俱除外）,87.8,116.4,102.2
64,纸、纸板及纸浆、纸或纸板制品,89.1,108.2,96.4
65,纺织纱线、织物未列名制品及有关产品,94.5,102.9,97.3
66,未列名非金属矿物制品,86.6,98.1,85.0
67,钢铁,90.6,127.2,115.2
68,有色金属,102.2,112.9,115.3
69,未列名金属制品,89.4,111.1,99.4
7,机械及运输设备,96.4,108.0,104.1
71,动力机械及设备,95.6,105.5,100.9
72,特种工业专用机械,105.1,108.2,113.7
73,金工机械,98.2,99.5,97.8
74,通用工业机械设备及零件,98.8,105.0,103.8
75,办公室用机械及自动数据处理设备,104.8,98.9,103.7
76,电信及声音的录制或重放装置及设备,95.3,99.9,95.3
77,未列名电力机械、装置、器具及其电气零件（包括相应家用电器的非电器零件,92.7,107.4,99.6
78,陆路车辆（包括气垫式）,94.1,126.8,119.3
79,其他运输设备,112.7,163.0,183.7
8,杂项制品,90.0,102.7,92.4
81,活动房屋;卫生、水道、供热及照明装置,85.2,102.9,87.6
82,家俱及其零件;寝俱、褥垫、弹簧床垫、软座垫及类似的填充制品,82.2,110.4,90.7
83,旅行用品、手提包及类似容器,84.9,102.7,87.2
84,服装及衣着附件,89.8,104.8,94.1
85,鞋靴,88.4,99.4,87.9
87,专业、科学及控制用仪器及设备,95.3,101.7,97.0
88,摄影器材及光学物品;钟表,102.4,97.4,99.8
89,未列名杂项制品,92.4,100.2,92.6
9,未分类的商品及交易品,141.0,122.1,172.1
96,硬币（金币除外），没有法定货币,148.3,56.7,84.2
97,金，非货币（不包括黄金矿砂及精矿）,129.5,600.1,777.0
98,其他,143.2,93.2,133.5
