表二 2023年9月份全国出口商品贸易同比指数（SITC2分类）,表二 2023年9月份全国出口商品贸易同比指数（SITC2分类）,表二 2023年9月份全国出口商品贸易同比指数（SITC2分类）,表二 2023年9月份全国出口商品贸易同比指数（SITC2分类）,表二 2023年9月份全国出口商品贸易同比指数（SITC2分类）
"Table 2 Index Number of Exports by SITC2,Sept. 2023","Table 2 Index Number of Exports by SITC2,Sept. 2023","Table 2 Index Number of Exports by SITC2,Sept. 2023","Table 2 Index Number of Exports by SITC2,Sept. 2023","Table 2 Index Number of Exports by SITC2,Sept. 2023"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
SITC编码 code,商品名称 Description,价格指数 Unit value,数量指数 Quantum,价值指数 Value
0-4,初级产品,90.9,99.3,90.3
0,食品及活动物,96.9,113.0,109.5
00,活动物（03章动物除外）,83.2,122.0,101.5
01,肉及肉制品,99.9,102.4,102.3
02,乳品及蛋品,97.0,134.3,130.2
03,鱼（海生哺乳动物除外）、甲壳动物、软体动物、水生无脊椎动物及其制品,96.8,99.4,96.2
04,谷物及谷物制品,111.8,121.1,135.4
05,蔬菜及水果,97.5,113.3,110.5
06,糖、糖制品及蜂蜜,99.6,134.5,133.9
07,咖啡、茶、马黛茶、调味香料及其制品,89.4,112.5,100.6
08,动物饲料（不包括未碾磨谷物）,85.6,145.5,124.5
09,杂项食品,99.0,130.0,128.7
1,饮料及烟类,109.2,135.1,147.5
11,饮料,107.8,148.7,160.3
12,烟草及烟草制品,112.1,103.9,116.4
2,非食用原料（燃料除外）,90.4,98.0,88.6
21,生皮及生毛皮,76.8,56.3,43.2
22,含油子仁及果实,120.2,85.9,103.3
23,生橡胶（包括合成橡胶及再生橡胶）,80.7,131.9,106.4
24,软木及木材,89.4,73.4,65.6
25,纸浆及废纸,68.3,58.6,40.0
26,纺织纤维（不包括羊毛条及其他精梳羊毛）及其废料,86.1,107.8,92.8
27,天然肥料（不包括第56章的货品）及矿物（煤、石油及宝石除外）,91.8,82.6,75.9
28,金属矿砂及金属废料,93.6,93.9,88.0
29,其他动、植物原料,91.8,103.7,95.2
3,矿物燃料、润滑油及有关原料,85.5,87.0,74.4
32,煤、焦炭及煤砖,69.7,75.4,52.5
33,石油、石油产品及有关原料,85.8,90.2,77.4
34,天然气及人造气,95.9,60.2,57.7
35,电力,103.6,85.7,88.8
4,动、植物油、脂及蜡,81.7,98.0,80.1
41,动物油、脂,150.7,111.2,167.6
42,初榨、精制或分离的固定植物油、脂,85.1,157.1,133.6
43,已加工的动、植物油、脂;动植物蜡;动植物油、脂制成的未列名非食用混合物或制品,74.7,91.5,68.3
5-9,工业制品,92.1,108.4,99.9
5,化学品及有关产品,83.3,110.4,92.0
51,有机化学品,87.0,98.3,85.5
52,无机化学品,84.9,95.9,81.4
53,染料、鞣料及着色料,85.3,136.8,116.7
54,医药品,89.0,98.1,87.3
55,精油、香膏及芳香料;盥洗及光洁制品,94.0,129.9,122.1
56,肥料（272组货品除外）,64.7,124.2,80.3
57,初级形状的塑料,81.7,126.9,103.7
58,非初级形状的塑料,87.5,119.9,104.9
59,未列名化学原料及产品,76.7,120.2,92.3
6,按原料分类的制成品,88.0,113.2,99.7
61,皮革、皮革制品及已鞣毛皮,95.4,104.9,100.0
62,橡胶制品,99.1,123.6,122.5
63,软木及木制品（家俱除外）,91.5,114.5,104.8
64,纸、纸板及纸浆、纸或纸板制品,83.0,117.1,97.2
65,纺织纱线、织物未列名制品及有关产品,94.3,108.8,102.6
66,未列名非金属矿物制品,81.9,109.7,89.8
67,钢铁,80.2,129.1,103.5
68,有色金属,97.0,105.7,102.5
69,未列名金属制品,85.1,111.5,94.9
7,机械及运输设备,95.4,105.9,101.0
71,动力机械及设备,101.9,99.2,101.2
72,特种工业专用机械,86.1,115.4,99.4
73,金工机械,103.9,120.5,125.1
74,通用工业机械设备及零件,94.3,112.2,105.8
75,办公室用机械及自动数据处理设备,90.7,101.2,91.8
76,电信及声音的录制或重放装置及设备,92.2,102.9,94.9
77,未列名电力机械、装置、器具及其电气零件（包括相应家用电器的非电器零件,98.1,104.8,102.9
78,陆路车辆（包括气垫式）,100.5,117.6,118.2
79,其他运输设备,100.6,89.0,89.5
8,杂项制品,88.7,110.3,97.8
81,活动房屋;卫生、水道、供热及照明装置,79.7,117.2,93.5
82,家俱及其零件;寝俱、褥垫、弹簧床垫、软座垫及类似的填充制品,84.5,124.3,105.0
83,旅行用品、手提包及类似容器,90.5,108.1,97.8
84,服装及衣着附件,93.3,104.2,97.3
85,鞋靴,85.9,103.6,89.0
87,专业、科学及控制用仪器及设备,99.5,108.5,107.9
88,摄影器材及光学物品;钟表,95.3,105.9,101.0
89,未列名杂项制品,86.8,111.7,97.0
9,未分类的商品及交易品,121.9,107.7,131.3
96,硬币（金币除外），没有法定货币,64.8,221.8,143.7
97,金，非货币（不包括黄金矿砂及精矿）,118.8,217.6,258.6
98,其他,122.1,103.3,126.1
