表十五 2025年5月份全国进口商品贸易同比指数（BEC分类）,表十五 2025年5月份全国进口商品贸易同比指数（BEC分类）,表十五 2025年5月份全国进口商品贸易同比指数（BEC分类）,表十五 2025年5月份全国进口商品贸易同比指数（BEC分类）,表十五 2025年5月份全国进口商品贸易同比指数（BEC分类）
"Table 15 Index Number of Imports by BEC,May 2025","Table 15 Index Number of Imports by BEC,May 2025","Table 15 Index Number of Imports by BEC,May 2025","Table 15 Index Number of Imports by BEC,May 2025","Table 15 Index Number of Imports by BEC,May 2025"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
BEC编码 	code,商品名称 	Description,价格指数 	Unit value,数量指数 	Quantum,价值指数 	Value
1,农业、林业、渔业、食品、饮料、烟草,98.6,104.7,103.2
111,中间品,95.4,110.7,105.7
1111,初级品,94.8,110.4,104.7
1112,加工品,97.6,111.7,109.0
112,资本品,66.9,89.5,59.9
113,消费品,104.4,97.9,102.2
1131,初级品,104.0,98.1,102.0
1132,加工品,109.4,95.0,104.0
2,采矿、采石、炼油、燃料、化学品、电力、水、废物处理,90.4,98.6,89.1
211,中间品,90.1,99.3,89.5
2111,初级品,88.5,98.9,87.5
2112,加工品,97.0,100.9,97.9
212,资本品,98.5,101.3,99.7
213,消费品,88.7,73.3,64.9
2131,初级品,88.7,73.3,64.9
3,建筑、木材、玻璃、石材、基础金属、住房、电器、家具,102.5,96.2,98.6
311,中间品,103.2,94.5,97.6
3111,初级品,107.4,90.7,97.4
3112,加工品,103.1,94.7,97.6
312,资本品,98.6,105.9,104.4
313,消费品,102.6,95.7,98.2
3131,初级品,102.3,113.9,116.5
3132,加工品,102.7,91.3,93.8
4,纺织品、服装、鞋,127.7,75.0,95.7
411,中间品,130.9,73.2,95.8
4111,初级品,96.2,39.1,37.7
4112,加工品,132.5,75.0,99.4
412,资本品,104.8,119.3,125.0
413,消费品,103.9,87.3,90.7
4131,初级品,89.0,65.9,58.7
4132,加工品,104.0,87.3,90.8
5,运输设备和服务、旅行、邮政服务,98.2,87.3,85.8
511,中间品,99.1,95.1,94.2
5111,初级品,95.6,77.3,73.9
5112,加工品,99.1,95.1,94.2
512,资本品,87.9,62.5,54.9
513,消费品,97.8,77.0,75.3
5132,加工品,97.8,77.0,75.3
6,信息和通信技术、媒体、计算机、商业和金融服务,105.0,108.1,113.5
611,中间品,102.4,104.9,107.5
6112,加工品,102.4,104.9,107.5
612,资本品,118.8,118.6,140.8
613,消费品,86.5,141.4,122.3
6131,初级品,77.8,32.5,25.3
6132,加工品,86.5,141.6,122.5
7,健康、制药、教育、文化、体育,95.9,102.0,97.8
711,中间品,93.2,106.0,98.8
7112,加工品,93.2,106.0,98.8
712,资本品,102.6,93.9,96.3
713,消费品,96.4,101.4,97.7
7131,初级品,85.9,110.8,95.2
7132,加工品,102.2,96.8,99.0
8,政府、军队和其他,72.0,133.3,96.0
811,中间品,61.3,164.5,100.9
8112,加工品,61.3,164.5,100.9
812,资本品,93.1,95.4,88.8
813,消费品,79.5,135.9,108.1
8131,初级品,77.5,138.0,106.9
8132,加工品,79.6,135.9,108.1
